Scenario_Name,CollisionObstacleID,ExtremeRiskObstacleID
DEU_Bremen-7_23_T-1,none,none
DEU_Weimar-68_1_T-3,none,none
ESP_Vigo-99_28_T-1,none,none
ESP_Vigo-70_2_T-1,none,3393
DEU_Muehlhausen-5_1_T-1,none,none
DEU_Schwetzingen-174_1_T-4,none,none
DEU_Schweitenkirchen-5_1_T-36,none,none
DEU_Weimar-57_1_T-1,none,17
DEU_Bonn-38_4_T-1,none,30228
DEU_Hanover-38_33_T-1,none,none
DEU_Bremen-1_10_T-1,none,none
DEU_Nuremberg-27_1_T-1,none,none
ESP_Bilbao-6_9_T-1,none,none
CHN_Beijing-3_5_T-1,none,none
USA_Austin-46_4_T-1,none,none
USA_Washington-32_46_T-1,none,none
ESP_Barcelona-44_19_T-1,none,none
ESP_Barcelona-10_44_T-1,none,30714
DEU_Backnang-2_1_T-1,none,none
DEU_Schopfloch-6_1_T-2,none,none
GRC_NeaSmyrni-117_1_T-6,none,none
BEL_Brussels-51_2_T-1,none,none
USA_Austin-64_7_T-1,none,3334
DEU_Nuremberg-30_6_T-1,none,30604
BEL_Antwerp-13_5_T-1,none,none
USA_Washington-12_38_T-1,none,none
GRC_NeaSmyrni-73_1_T-10,none,none
DEU_Flensburg-62_1_T-1,none,367
ESP_Barcelona-21_6_T-1,none,none
ESP_Barcelona-44_27_T-1,none,none
DEU_Bonn-19_2_T-1,none,none
DEU_Kiel-52_2_T-1,none,30667
ESP_Bilbao-13_20_T-1,none,none
DEU_Salzwedel-74_1_T-4,none,20041
DEU_Bonn-35_11_T-1,none,none
USA_Austin-77_10_T-1,none,3349
DEU_Guetersloh-32_1_T-1,none,31
DEU_Salzwedel-80_1_T-2,none,none
ESP_Vigo-99_34_T-1,none,3523
FRA_Dijon-13_1_T-1,none,30374
ESP_Barcelona-39_27_T-1,none,none
DEU_Hanover-45_17_T-1,none,30700
DEU_Wolfsburg-39_1_T-8,none,none
DEU_Nuremberg-24_13_T-1,none,30715
GRC_ArchaioLimani-46_1_T-2,none,none
CHN_Qingdao-18_2_T-1,none,30655
ARG_Carcarana-1_8_T-1,none,341
BEL_Antwerp-10_7_T-1,none,30736
ESP_Vigo-63_4_T-1,none,none
FRA_Dijon-28_4_T-1,none,none
DEU_Leipzig-13_19_T-1,none,none
ESP_Barcelona-3_6_T-1,none,30756
USA_Phoenix-17_14_T-1,none,3655
ESP_Vigo-99_21_T-1,none,none
ESP_Barcelona-38_52_T-1,none,none
DEU_Memmingen-1_1_T-5,none,none
DEU_Lengede-44_1_T-6,none,none
DEU_Schweitenkirchen-4_1_T-12,none,9
DEU_Leipzig-37_8_T-1,none,3071
USA_Austin-8_1_T-1,none,none
DEU_Memmingen-138_1_T-4,none,20033
DEU_Leipzig-13_7_T-1,none,none
ITA_Siderno-5_3_T-1,none,none
GRC_NeaSmyrni-98_1_T-1,none,20043
USA_Washington-34_15_T-1,none,none
GRC_NeaSmyrni-154_1_T-2,none,none
DEU_Schwetzingen-112_1_T-1,none,none
DEU_Bonn-38_18_T-1,none,none
ESP_Barcelona-6_18_T-1,none,none
DEU_Nuremberg-6_21_T-1,none,30803
ESP_Barcelona-12_43_T-1,none,30716
DEU_Aschaffenburg-64_5_T-1,none,none
USA_Washington-12_15_T-1,none,30610
ESP_Barcelona-3_13_T-1,none,none
DEU_Aschaffenburg-15_26_T-1,none,none
DEU_Schwetzingen-180_1_T-2,none,none
ESP_Bilbao-23_16_T-1,none,none
ESP_Vigo-70_3_T-1,none,3395
ESP_Ceuta-5_2_T-1,none,none
ITA_Empoli-2_5_T-1,none,38
DEU_Schwetzingen-74_1_T-4,none,none
DEU_Aschaffenburg-21_21_T-1,none,none
ESP_Barcelona-39_11_T-1,none,none
DEU_Leipzig-63_24_T-1,none,none
DEU_Schwetzingen-10_1_T-5,none,none
USA_Phoenix-17_19_T-1,none,none
DEU_Nuremberg-29_9_T-1,none,30782
FRA_Dijon-24_4_T-1,none,none
BEL_Zwevegem-1_6_T-1,none,333
DEU_Nuremberg-6_34_T-1,none,30796
DEU_Hennigsdorf-5_3_T-1,none,30
ESP_Barcelona-49_21_T-1,none,none
GRC_NeaSmyrni-31_1_T-12,none,none
DEU_Bremen-7_12_T-1,none,none
GRC_NeaSmyrni-87_1_T-1,none,none
DEU_Muehlhausen-10_5_T-1,none,32
DEU_Bremen-33_33_T-1,none,none
ITA_Empoli-7_2_T-1,none,357
BEL_Brussels-82_4_T-1,none,none
DEU_Hanover-44_28_T-1,none,none
