Scenario_Name,CollisionCheck,RiskCheck
DEU_Bremen-7_23_T-1,0,0
DEU_Weimar-68_1_T-3,0,0
ESP_Vigo-99_28_T-1,0,0
ESP_Vigo-70_2_T-1,0,1
DEU_Muehlhausen-5_1_T-1,1,0
DEU_Schwetzingen-174_1_T-4,1,0
DEU_Schweitenkirchen-5_1_T-36,1,0
DEU_Weimar-57_1_T-1,0,0
DEU_Bonn-38_4_T-1,0,0
DEU_Hanover-38_33_T-1,0,0
DEU_Bremen-1_10_T-1,0,1
DEU_Nuremberg-27_1_T-1,0,0
ESP_Bilbao-6_9_T-1,1,0
CHN_Beijing-3_5_T-1,1,0
USA_Austin-46_4_T-1,1,0
USA_Washington-32_46_T-1,1,0
ESP_Barcelona-44_19_T-1,1,0
ESP_Barcelona-10_44_T-1,0,0
DEU_Backnang-2_1_T-1,1,0
DEU_Schopfloch-6_1_T-2,1,0
GRC_NeaSmyrni-117_1_T-6,1,0
BEL_Brussels-51_2_T-1,0,0
USA_Austin-64_7_T-1,1,0
DEU_Nuremberg-30_6_T-1,0,0
BEL_Antwerp-13_5_T-1,1,0
USA_Washington-12_38_T-1,1,0
GRC_NeaSmyrni-73_1_T-10,1,0
DEU_Flensburg-62_1_T-1,0,0
ESP_Barcelona-21_6_T-1,0,1
ESP_Barcelona-44_27_T-1,0,0
DEU_Bonn-19_2_T-1,1,0
DEU_Kiel-52_2_T-1,0,0
ESP_Bilbao-13_20_T-1,0,1
DEU_Salzwedel-74_1_T-4,1,0
DEU_Bonn-35_11_T-1,1,0
USA_Austin-77_10_T-1,1,0
DEU_Guetersloh-32_1_T-1,0,1
DEU_Salzwedel-80_1_T-2,1,0
ESP_Vigo-99_34_T-1,0,1
FRA_Dijon-13_1_T-1,1,0
ESP_Barcelona-39_27_T-1,1,0
DEU_Hanover-45_17_T-1,1,0
DEU_Wolfsburg-39_1_T-8,1,0
DEU_Nuremberg-24_13_T-1,1,0
GRC_ArchaioLimani-46_1_T-2,1,0
CHN_Qingdao-18_2_T-1,1,0
ARG_Carcarana-1_8_T-1,0,0
BEL_Antwerp-10_7_T-1,1,0
ESP_Vigo-63_4_T-1,0,1
FRA_Dijon-28_4_T-1,1,0
DEU_Leipzig-13_19_T-1,1,0
ESP_Barcelona-3_6_T-1,1,0
USA_Phoenix-17_14_T-1,0,0
ESP_Vigo-99_21_T-1,0,0
ESP_Barcelona-38_52_T-1,0,0
DEU_Memmingen-1_1_T-5,1,0
DEU_Lengede-44_1_T-6,0,0
DEU_Schweitenkirchen-4_1_T-12,0,0
DEU_Leipzig-37_8_T-1,1,0
USA_Austin-8_1_T-1,0,1
DEU_Memmingen-138_1_T-4,1,0
DEU_Leipzig-13_7_T-1,1,0
ITA_Siderno-5_3_T-1,1,0
GRC_NeaSmyrni-98_1_T-1,1,0
USA_Washington-34_15_T-1,1,0
GRC_NeaSmyrni-154_1_T-2,1,0
DEU_Schwetzingen-112_1_T-1,1,0
DEU_Bonn-38_18_T-1,1,0
ESP_Barcelona-6_18_T-1,0,0
DEU_Nuremberg-6_21_T-1,1,0
ESP_Barcelona-12_43_T-1,1,0
DEU_Aschaffenburg-64_5_T-1,1,0
USA_Washington-12_15_T-1,0,1
ESP_Barcelona-3_13_T-1,1,0
DEU_Aschaffenburg-15_26_T-1,1,0
DEU_Schwetzingen-180_1_T-2,0,0
ESP_Bilbao-23_16_T-1,0,1
ESP_Vigo-70_3_T-1,0,1
ESP_Ceuta-5_2_T-1,1,0
ITA_Empoli-2_5_T-1,0,0
DEU_Schwetzingen-74_1_T-4,1,0
DEU_Aschaffenburg-21_21_T-1,1,0
ESP_Barcelona-39_11_T-1,0,0
DEU_Leipzig-63_24_T-1,1,0
DEU_Schwetzingen-10_1_T-5,0,0
USA_Phoenix-17_19_T-1,1,0
DEU_Nuremberg-29_9_T-1,1,0
FRA_Dijon-24_4_T-1,1,0
BEL_Zwevegem-1_6_T-1,1,0
DEU_Nuremberg-6_34_T-1,1,0
DEU_Hennigsdorf-5_3_T-1,1,0
ESP_Barcelona-49_21_T-1,1,0
GRC_NeaSmyrni-31_1_T-12,1,0
DEU_Bremen-7_12_T-1,1,0
GRC_NeaSmyrni-87_1_T-1,1,0
DEU_Muehlhausen-10_5_T-1,1,0
DEU_Bremen-33_33_T-1,0,1
ITA_Empoli-7_2_T-1,0,1
BEL_Brussels-82_4_T-1,0,1
DEU_Hanover-44_28_T-1,0,1
Total,61,15
