Scenario_Name,CollisionObstacleID,ExtremeRiskObstacleID
DEU_Bremen-7_23_T-1,30306,30298
DEU_Weimar-68_1_T-3,6,6
ESP_Vigo-99_28_T-1,3517,3517
ESP_Vigo-70_2_T-1,3393,3393
DEU_Muehlhausen-5_1_T-1,330,none
DEU_Schwetzingen-174_1_T-4,20073,20071
DEU_Schweitenkirchen-5_1_T-36,625,none
DEU_Weimar-57_1_T-1,17,17
DEU_Bonn-38_4_T-1,30228,30231
DEU_Hanover-38_33_T-1,30685,30685
DEU_Bremen-1_10_T-1,30308,none
DEU_Nuremberg-27_1_T-1,30626,30626
ESP_Bilbao-6_9_T-1,30693,30693
CHN_Beijing-3_5_T-1,3107,3107
USA_Austin-46_4_T-1,3277,none
USA_Washington-32_46_T-1,30570,30561
ESP_Barcelona-44_19_T-1,30743,none
ESP_Barcelona-10_44_T-1,30735,30735
DEU_Backnang-2_1_T-1,33,none
DEU_Schopfloch-6_1_T-2,20057,none
GRC_NeaSmyrni-117_1_T-6,20039,none
BEL_Brussels-51_2_T-1,30196,30196
USA_Austin-64_7_T-1,3337,3337
DEU_Nuremberg-30_6_T-1,none,none
BEL_Antwerp-13_5_T-1,30674,30678
USA_Washington-12_38_T-1,30629,30610
GRC_NeaSmyrni-73_1_T-10,20100,20090
DEU_Flensburg-62_1_T-1,361,360
ESP_Barcelona-21_6_T-1,30681,30681
ESP_Barcelona-44_27_T-1,none,none
DEU_Bonn-19_2_T-1,30202,none
DEU_Kiel-52_2_T-1,none,none
ESP_Bilbao-13_20_T-1,30801,30801
DEU_Salzwedel-74_1_T-4,20071,none
DEU_Bonn-35_11_T-1,30200,none
USA_Austin-77_10_T-1,3349,3327
DEU_Guetersloh-32_1_T-1,none,none
DEU_Salzwedel-80_1_T-2,20029,none
ESP_Vigo-99_34_T-1,3523,3523
FRA_Dijon-13_1_T-1,30374,30374
ESP_Barcelona-39_27_T-1,30810,30805
DEU_Hanover-45_17_T-1,30700,30700
DEU_Wolfsburg-39_1_T-8,20148,20141
DEU_Nuremberg-24_13_T-1,30716,30716
GRC_ArchaioLimani-46_1_T-2,10,10
CHN_Qingdao-18_2_T-1,30655,30656
ARG_Carcarana-1_8_T-1,341,338
BEL_Antwerp-10_7_T-1,30736,none
ESP_Vigo-63_4_T-1,3044,3044
FRA_Dijon-28_4_T-1,30532,30530
DEU_Leipzig-13_19_T-1,3254,3254
ESP_Barcelona-3_6_T-1,none,none
USA_Phoenix-17_14_T-1,3658,3655
ESP_Vigo-99_21_T-1,none,none
ESP_Barcelona-38_52_T-1,30739,30734
DEU_Memmingen-1_1_T-5,20052,none
DEU_Lengede-44_1_T-6,109,98
DEU_Schweitenkirchen-4_1_T-12,426,2
DEU_Leipzig-37_8_T-1,3074,3075
USA_Austin-8_1_T-1,3301,none
DEU_Memmingen-138_1_T-4,none,none
DEU_Leipzig-13_7_T-1,3254,none
ITA_Siderno-5_3_T-1,344,344
GRC_NeaSmyrni-98_1_T-1,20051,none
USA_Washington-34_15_T-1,30579,none
GRC_NeaSmyrni-154_1_T-2,20066,none
DEU_Schwetzingen-112_1_T-1,20046,20045
DEU_Bonn-38_18_T-1,30234,30232
ESP_Barcelona-6_18_T-1,30739,30739
DEU_Nuremberg-6_21_T-1,30803,30797
ESP_Barcelona-12_43_T-1,30716,30720
DEU_Aschaffenburg-64_5_T-1,30195,30187
USA_Washington-12_15_T-1,30614,30606
ESP_Barcelona-3_13_T-1,30764,30762
DEU_Aschaffenburg-15_26_T-1,30426,30426
DEU_Schwetzingen-180_1_T-2,none,none
ESP_Bilbao-23_16_T-1,30921,30921
ESP_Vigo-70_3_T-1,3395,3395
ESP_Ceuta-5_2_T-1,325,31
ITA_Empoli-2_5_T-1,none,none
DEU_Schwetzingen-74_1_T-4,20064,20053
DEU_Aschaffenburg-21_21_T-1,none,none
ESP_Barcelona-39_11_T-1,none,none
DEU_Leipzig-63_24_T-1,3261,none
DEU_Schwetzingen-10_1_T-5,20130,20071
USA_Phoenix-17_19_T-1,3667,3667
DEU_Nuremberg-29_9_T-1,30786,30788
FRA_Dijon-24_4_T-1,30504,30504
BEL_Zwevegem-1_6_T-1,333,333
DEU_Nuremberg-6_34_T-1,30787,30787
DEU_Hennigsdorf-5_3_T-1,342,31
ESP_Barcelona-49_21_T-1,30784,30786
GRC_NeaSmyrni-31_1_T-12,20084,none
DEU_Bremen-7_12_T-1,30299,30298
GRC_NeaSmyrni-87_1_T-1,20039,none
DEU_Muehlhausen-10_5_T-1,315,none
DEU_Bremen-33_33_T-1,30267,none
ITA_Empoli-7_2_T-1,none,none
BEL_Brussels-82_4_T-1,30233,30233
DEU_Hanover-44_28_T-1,30730,30733
