Scenario_Name,CollisionObstacleID,ExtremeRiskObstacleID
DEU_Bremen-7_23_T-1,30306,30306
DEU_Weimar-68_1_T-3,60,60
ESP_Vigo-99_28_T-1,none,3517
ESP_Vigo-70_2_T-1,3393,none
DEU_Muehlhausen-5_1_T-1,330,none
DEU_Schwetzingen-174_1_T-4,20111,none
DEU_Schweitenkirchen-5_1_T-36,625,none
DEU_Weimar-57_1_T-1,17,17
DEU_Bonn-38_4_T-1,30233,none
DEU_Hanover-38_33_T-1,30688,30604
DEU_Bremen-1_10_T-1,30308,none
DEU_Nuremberg-27_1_T-1,30628,30625
ESP_Bilbao-6_9_T-1,30693,none
CHN_Beijing-3_5_T-1,none,3107
USA_Austin-46_4_T-1,3277,3277
USA_Washington-32_46_T-1,none,none
ESP_Barcelona-44_19_T-1,30743,none
ESP_Barcelona-10_44_T-1,30749,30744
DEU_Backnang-2_1_T-1,33,none
DEU_Schopfloch-6_1_T-2,20057,none
GRC_NeaSmyrni-117_1_T-6,20039,none
BEL_Brussels-51_2_T-1,30196,none
USA_Austin-64_7_T-1,3338,none
DEU_Nuremberg-30_6_T-1,30604,30604
BEL_Antwerp-13_5_T-1,30674,30673
USA_Washington-12_38_T-1,30629,none
GRC_NeaSmyrni-73_1_T-10,20100,20104
DEU_Flensburg-62_1_T-1,none,367
ESP_Barcelona-21_6_T-1,30681,30681
ESP_Barcelona-44_27_T-1,30760,30760
DEU_Bonn-19_2_T-1,30202,none
DEU_Kiel-52_2_T-1,30666,30666
ESP_Bilbao-13_20_T-1,30801,none
DEU_Salzwedel-74_1_T-4,20071,none
DEU_Bonn-35_11_T-1,30200,none
USA_Austin-77_10_T-1,3349,none
DEU_Guetersloh-32_1_T-1,33,33
DEU_Salzwedel-80_1_T-2,20029,none
ESP_Vigo-99_34_T-1,3523,none
FRA_Dijon-13_1_T-1,30374,30374
ESP_Barcelona-39_27_T-1,30810,30807
DEU_Hanover-45_17_T-1,30700,none
DEU_Wolfsburg-39_1_T-8,20148,none
DEU_Nuremberg-24_13_T-1,30711,30716
GRC_ArchaioLimani-46_1_T-2,21,none
CHN_Qingdao-18_2_T-1,30655,30655
ARG_Carcarana-1_8_T-1,341,341
BEL_Antwerp-10_7_T-1,30736,none
ESP_Vigo-63_4_T-1,3044,3044
FRA_Dijon-28_4_T-1,30532,30530
DEU_Leipzig-13_19_T-1,3254,none
ESP_Barcelona-3_6_T-1,30764,30754
USA_Phoenix-17_14_T-1,3658,3655
ESP_Vigo-99_21_T-1,3515,3515
ESP_Barcelona-38_52_T-1,30739,30736
DEU_Memmingen-1_1_T-5,20052,none
DEU_Lengede-44_1_T-6,none,none
DEU_Schweitenkirchen-4_1_T-12,426,221
DEU_Leipzig-37_8_T-1,3074,none
USA_Austin-8_1_T-1,3301,3301
DEU_Memmingen-138_1_T-4,20036,none
DEU_Leipzig-13_7_T-1,3254,3260
ITA_Siderno-5_3_T-1,344,none
GRC_NeaSmyrni-98_1_T-1,20051,none
USA_Washington-34_15_T-1,30581,30579
GRC_NeaSmyrni-154_1_T-2,20066,none
DEU_Schwetzingen-112_1_T-1,20046,none
DEU_Bonn-38_18_T-1,30230,30237
ESP_Barcelona-6_18_T-1,30746,30746
DEU_Nuremberg-6_21_T-1,30803,30803
ESP_Barcelona-12_43_T-1,30716,none
DEU_Aschaffenburg-64_5_T-1,30195,none
USA_Washington-12_15_T-1,30614,none
ESP_Barcelona-3_13_T-1,30764,none
DEU_Aschaffenburg-15_26_T-1,30441,none
DEU_Schwetzingen-180_1_T-2,20094,none
ESP_Bilbao-23_16_T-1,none,none
ESP_Vigo-70_3_T-1,3395,none
ESP_Ceuta-5_2_T-1,325,none
ITA_Empoli-2_5_T-1,358,358
DEU_Schwetzingen-74_1_T-4,20064,none
DEU_Aschaffenburg-21_21_T-1,30285,30285
ESP_Barcelona-39_11_T-1,30813,30813
DEU_Leipzig-63_24_T-1,3261,none
DEU_Schwetzingen-10_1_T-5,20130,none
USA_Phoenix-17_19_T-1,3657,3667
DEU_Nuremberg-29_9_T-1,30786,none
FRA_Dijon-24_4_T-1,none,none
BEL_Zwevegem-1_6_T-1,333,333
DEU_Nuremberg-6_34_T-1,30796,none
DEU_Hennigsdorf-5_3_T-1,342,none
ESP_Barcelona-49_21_T-1,30784,none
GRC_NeaSmyrni-31_1_T-12,20084,none
DEU_Bremen-7_12_T-1,30299,30299
GRC_NeaSmyrni-87_1_T-1,20039,none
DEU_Muehlhausen-10_5_T-1,315,none
DEU_Bremen-33_33_T-1,30274,30274
ITA_Empoli-7_2_T-1,317,317
BEL_Brussels-82_4_T-1,30233,none
DEU_Hanover-44_28_T-1,30730,30730
