Scenario_Name,CollisionObstacleID,ExtremeRiskObstacleID
DEU_Bremen-7_23_T-1,30304,none
DEU_Weimar-68_1_T-3,60,6
ESP_Vigo-99_28_T-1,3511,3517
ESP_Vigo-70_2_T-1,3393,none
DEU_Muehlhausen-5_1_T-1,330,none
DEU_Schwetzingen-174_1_T-4,20111,none
DEU_Schweitenkirchen-5_1_T-36,625,none
DEU_Weimar-57_1_T-1,none,17
DEU_Bonn-38_4_T-1,30233,30228
DEU_Hanover-38_33_T-1,30688,none
DEU_Bremen-1_10_T-1,30294,none
DEU_Nuremberg-27_1_T-1,30625,30628
ESP_Bilbao-6_9_T-1,30693,none
CHN_Beijing-3_5_T-1,3107,3100
USA_Austin-46_4_T-1,3277,none
USA_Washington-32_46_T-1,30570,30561
ESP_Barcelona-44_19_T-1,30743,30748
ESP_Barcelona-10_44_T-1,30749,none
DEU_Backnang-2_1_T-1,33,none
DEU_Schopfloch-6_1_T-2,20057,none
GRC_NeaSmyrni-117_1_T-6,20039,none
BEL_Brussels-51_2_T-1,30196,none
USA_Austin-64_7_T-1,3338,none
DEU_Nuremberg-30_6_T-1,30601,none
BEL_Antwerp-13_5_T-1,30673,30674
USA_Washington-12_38_T-1,30629,30613
GRC_NeaSmyrni-73_1_T-10,20100,none
DEU_Flensburg-62_1_T-1,367,360
ESP_Barcelona-21_6_T-1,30681,none
ESP_Barcelona-44_27_T-1,30760,30748
DEU_Bonn-19_2_T-1,30202,none
DEU_Kiel-52_2_T-1,30666,30677
ESP_Bilbao-13_20_T-1,30801,none
DEU_Salzwedel-74_1_T-4,20071,none
DEU_Bonn-35_11_T-1,30200,30201
USA_Austin-77_10_T-1,3349,3327
DEU_Guetersloh-32_1_T-1,33,none
DEU_Salzwedel-80_1_T-2,20029,none
ESP_Vigo-99_34_T-1,3523,none
FRA_Dijon-13_1_T-1,30374,none
ESP_Barcelona-39_27_T-1,30810,30807
DEU_Hanover-45_17_T-1,30700,30694
DEU_Wolfsburg-39_1_T-8,20048,none
DEU_Nuremberg-24_13_T-1,30711,30716
GRC_ArchaioLimani-46_1_T-2,21,none
CHN_Qingdao-18_2_T-1,30655,30655
ARG_Carcarana-1_8_T-1,341,357
BEL_Antwerp-10_7_T-1,30736,none
ESP_Vigo-63_4_T-1,3044,3044
FRA_Dijon-28_4_T-1,30532,none
DEU_Leipzig-13_19_T-1,3254,3243
ESP_Barcelona-3_6_T-1,30764,none
USA_Phoenix-17_14_T-1,3658,3655
ESP_Vigo-99_21_T-1,3515,none
ESP_Barcelona-38_52_T-1,30739,none
DEU_Memmingen-1_1_T-5,20052,20044
DEU_Lengede-44_1_T-6,109,45
DEU_Schweitenkirchen-4_1_T-12,426,221
DEU_Leipzig-37_8_T-1,3074,none
USA_Austin-8_1_T-1,3301,none
DEU_Memmingen-138_1_T-4,20036,none
DEU_Leipzig-13_7_T-1,3254,none
ITA_Siderno-5_3_T-1,344,none
GRC_NeaSmyrni-98_1_T-1,20051,none
USA_Washington-34_15_T-1,30579,none
GRC_NeaSmyrni-154_1_T-2,20066,none
DEU_Schwetzingen-112_1_T-1,20045,20046
DEU_Bonn-38_18_T-1,30234,30230
ESP_Barcelona-6_18_T-1,30746,30718
DEU_Nuremberg-6_21_T-1,30803,none
ESP_Barcelona-12_43_T-1,30716,none
DEU_Aschaffenburg-64_5_T-1,30195,none
USA_Washington-12_15_T-1,30610,none
ESP_Barcelona-3_13_T-1,30754,none
DEU_Aschaffenburg-15_26_T-1,none,30441
DEU_Schwetzingen-180_1_T-2,20080,none
ESP_Bilbao-23_16_T-1,30921,none
ESP_Vigo-70_3_T-1,3391,3395
ESP_Ceuta-5_2_T-1,325,31
ITA_Empoli-2_5_T-1,358,358
DEU_Schwetzingen-74_1_T-4,none,none
DEU_Aschaffenburg-21_21_T-1,30281,30285
ESP_Barcelona-39_11_T-1,30813,none
DEU_Leipzig-63_24_T-1,3261,3265
DEU_Schwetzingen-10_1_T-5,20130,20088
USA_Phoenix-17_19_T-1,3667,3657
DEU_Nuremberg-29_9_T-1,30786,none
FRA_Dijon-24_4_T-1,30504,none
BEL_Zwevegem-1_6_T-1,333,none
DEU_Nuremberg-6_34_T-1,30787,none
DEU_Hennigsdorf-5_3_T-1,30,none
ESP_Barcelona-49_21_T-1,30784,30786
GRC_NeaSmyrni-31_1_T-12,20086,20086
DEU_Bremen-7_12_T-1,30399,30298
GRC_NeaSmyrni-87_1_T-1,20039,none
DEU_Muehlhausen-10_5_T-1,315,none
DEU_Bremen-33_33_T-1,30274,30267
ITA_Empoli-7_2_T-1,310,none
BEL_Brussels-82_4_T-1,30233,none
DEU_Hanover-44_28_T-1,30730,30733
