Scenario Name,Engine,Timestep (s),Response Time (s),Tokens Used
BEL_Antwerp-1_14_T-1,openai,9.5,60.37705731391907,
DEU_Bremen-7_23_T-1,openai,4.9,24.473914861679077,
DEU_Weimar-68_1_T-3,openai,9.600000000000001,23.822296857833862,
ESP_Vigo-99_28_T-1,openai,4.6000000000000005,19.606566905975342,
ESP_Vigo-70_2_T-1,openai,8.8,13.908461093902588,
DEU_Muehlhausen-5_1_T-1,openai,1.3,36.056291341781616,
DEU_Schwetzingen-174_1_T-4,openai,3.6,38.561365604400635,
DEU_Schweitenkirchen-5_1_T-36,openai,5.800000000000001,12.310829162597656,
DEU_Weimar-57_1_T-1,openai,9.200000000000001,18.801898956298828,
DEU_Bonn-38_4_T-1,openai,3.6,20.572152376174927,
DEU_Hanover-38_33_T-1,openai,7.0,16.755082607269287,
DEU_Bremen-1_10_T-1,openai,14.3,19.682265758514404,
DEU_Nuremberg-27_1_T-1,openai,5.300000000000001,26.481270790100098,
ESP_Bilbao-6_9_T-1,openai,13.5,27.16213631629944,
CHN_Beijing-3_5_T-1,openai,9.200000000000001,37.17812943458557,
USA_Austin-46_4_T-1,openai,6.4,15.203394651412964,
USA_Washington-32_46_T-1,openai,4.1000000000000005,28.182042598724365,
ESP_Barcelona-44_19_T-1,openai,2.5,14.153490781784058,
ESP_Barcelona-10_44_T-1,openai,10.200000000000001,47.66668915748596,
DEU_Backnang-2_1_T-1,openai,2.0,18.08319664001465,
DEU_Schopfloch-6_1_T-2,openai,4.9,92.11176943778992,
GRC_NeaSmyrni-117_1_T-6,openai,3.6,16.72163462638855,
BEL_Brussels-51_2_T-1,openai,3.9000000000000004,15.094257116317749,
USA_Austin-64_7_T-1,openai,4.3,21.385583877563477,
DEU_Nuremberg-30_6_T-1,openai,5.4,17.342041492462158,
BEL_Antwerp-13_5_T-1,openai,7.300000000000001,31.94988179206848,
USA_Washington-12_38_T-1,openai,3.3000000000000003,48.960182905197144,
GRC_NeaSmyrni-73_1_T-10,openai,3.7,7.206096649169922,
DEU_Flensburg-62_1_T-1,openai,5.300000000000001,36.92378115653992,
ESP_Barcelona-21_6_T-1,openai,9.8,17.154739379882812,
ESP_Barcelona-44_27_T-1,openai,5.300000000000001,55.98661136627197,
DEU_Bonn-19_2_T-1,openai,12.100000000000001,16.01170778274536,
DEU_Kiel-52_2_T-1,openai,3.8000000000000003,25.8342125415802,
ESP_Bilbao-13_20_T-1,openai,2.2,20.015389680862427,
DEU_Salzwedel-74_1_T-4,openai,7.4,29.420663833618164,
DEU_Bonn-35_11_T-1,openai,3.7,23.408846378326416,
USA_Austin-77_10_T-1,openai,6.0,11.767650365829468,
DEU_Guetersloh-32_1_T-1,openai,1.7000000000000002,18.952759504318237,
DEU_Salzwedel-80_1_T-2,openai,13.100000000000001,36.82414484024048,
ESP_Vigo-99_34_T-1,openai,14.0,19.6784930229187,
FRA_Dijon-13_1_T-1,openai,3.7,75.19283318519592,
ESP_Barcelona-39_27_T-1,openai,3.4000000000000004,19.206770658493042,
DEU_Hanover-45_17_T-1,openai,7.7,16.80178713798523,
DEU_Wolfsburg-39_1_T-8,openai,0.7000000000000001,30.727216005325317,
DEU_Nuremberg-24_13_T-1,openai,8.4,40.43032479286194,
GRC_ArchaioLimani-46_1_T-2,openai,5.300000000000001,32.27920913696289,
CHN_Qingdao-18_2_T-1,openai,4.1000000000000005,14.31740689277649,
ARG_Carcarana-1_8_T-1,openai,3.1,17.13726258277893,
BEL_Antwerp-10_7_T-1,openai,1.7000000000000002,18.163809061050415,
ESP_Vigo-63_4_T-1,openai,8.3,14.386248111724854,
FRA_Dijon-28_4_T-1,openai,2.1,21.611165523529053,
DEU_Leipzig-13_19_T-1,openai,4.2,47.93250918388367,
ESP_Barcelona-3_6_T-1,openai,3.6,14.759230852127075,
USA_Phoenix-17_14_T-1,openai,6.6000000000000005,17.399980545043945,
ESP_Vigo-99_21_T-1,openai,14.5,17.32062339782715,
ESP_Barcelona-38_52_T-1,openai,3.6,65.17490029335022,
