Scenario Name,Engine,Timestep (s),Response Time (s)
DEU_Bremen-7_23_T-1,openai,4.9,58.943334102630615
DEU_Weimar-68_1_T-3,openai,9.6,19.372682332992554
ESP_Vigo-99_28_T-1,openai,4.6,29.834959745407104
ESP_Vigo-70_2_T-1,openai,8.8,13.453310489654541
DEU_Muehlhausen-5_1_T-1,openai,1.3,27.879327535629272
DEU_Schwetzingen-174_1_T-4,openai,3.6,25.63991928100586
DEU_Schweitenkirchen-5_1_T-36,openai,5.8,24.058188915252686
DEU_Weimar-57_1_T-1,openai,9.2,62.27885293960571
DEU_Bonn-38_4_T-1,openai,3.6,32.701070070266724
DEU_Hanover-38_33_T-1,openai,7.0,37.622807264328
DEU_Bremen-1_10_T-1,openai,14.3,20.214540004730225
DEU_Nuremberg-27_1_T-1,openai,5.3,16.727519273757935
ESP_Bilbao-6_9_T-1,openai,13.5,23.167810440063477
CHN_Beijing-3_5_T-1,openai,9.2,32.902456521987915
USA_Austin-46_4_T-1,openai,6.4,12.593226909637451
USA_Washington-32_46_T-1,openai,4.1,49.98717403411865
ESP_Barcelona-44_19_T-1,openai,2.5,20.468631744384766
ESP_Barcelona-10_44_T-1,openai,10.2,26.458309173583984
DEU_Backnang-2_1_T-1,openai,2.0,34.74189853668213
DEU_Schopfloch-6_1_T-2,openai,4.9,20.817678213119507
GRC_NeaSmyrni-117_1_T-6,openai,3.6,44.27510142326355
BEL_Brussels-51_2_T-1,openai,3.9,20.3071608543396
USA_Austin-64_7_T-1,openai,4.3,24.297962427139282
DEU_Nuremberg-30_6_T-1,openai,5.4,13.349555253982544
BEL_Antwerp-13_5_T-1,openai,7.3,27.98981475830078
USA_Washington-12_38_T-1,openai,3.3,28.80612826347351
GRC_NeaSmyrni-73_1_T-10,openai,3.7,22.980002403259277
DEU_Flensburg-62_1_T-1,openai,5.3,16.922880172729492
ESP_Barcelona-21_6_T-1,openai,9.8,17.95347762107849
ESP_Barcelona-44_27_T-1,openai,5.3,52.767101764678955
DEU_Bonn-19_2_T-1,openai,12.1,14.991835117340088
DEU_Kiel-52_2_T-1,openai,3.8,42.84717512130737
ESP_Bilbao-13_20_T-1,openai,2.2,37.21774196624756
DEU_Salzwedel-74_1_T-4,openai,7.4,54.816927909851074
DEU_Bonn-35_11_T-1,openai,3.7,41.40395641326904
USA_Austin-77_10_T-1,openai,6.0,18.150993585586548
DEU_Guetersloh-32_1_T-1,openai,1.7,30.753432989120483
DEU_Salzwedel-80_1_T-2,openai,13.1,53.68227291107178
ESP_Vigo-99_34_T-1,openai,14.0,26.349345207214355
FRA_Dijon-13_1_T-1,openai,3.7,41.198413372039795
ESP_Barcelona-39_27_T-1,openai,3.4,17.400455236434937
