Scenario Name,Engine,Timestep (s),Response Time (s)
DEU_Bremen-7_23_T-1,openai,49.0,51.08884572982788
DEU_Weimar-68_1_T-3,openai,96.0,33.02474546432495
ESP_Vigo-99_28_T-1,openai,46.0,23.616748332977295
ESP_Vigo-70_2_T-1,openai,88.0,14.659254789352417
DEU_Muehlhausen-5_1_T-1,openai,13.0,23.880863189697266
DEU_Schwetzingen-174_1_T-4,openai,36.0,33.01564049720764
DEU_Schweitenkirchen-5_1_T-36,openai,58.0,20.685538291931152
DEU_Weimar-57_1_T-1,openai,92.0,62.968247175216675
DEU_Bonn-38_4_T-1,openai,36.0,27.192158937454224
DEU_Hanover-38_33_T-1,openai,70.0,15.501248598098755
DEU_Bremen-1_10_T-1,openai,143.0,26.188884496688843
DEU_Nuremberg-27_1_T-1,openai,53.0,22.703677892684937
ESP_Bilbao-6_9_T-1,openai,135.0,23.22492814064026
CHN_Beijing-3_5_T-1,openai,92.0,23.36239767074585
USA_Austin-46_4_T-1,openai,64.0,8.039437294006348
USA_Washington-32_46_T-1,openai,41.0,36.37912940979004
ESP_Barcelona-44_19_T-1,openai,25.0,20.127785682678223
ESP_Barcelona-10_44_T-1,openai,102.0,18.98615550994873
DEU_Backnang-2_1_T-1,openai,20.0,21.52517008781433
DEU_Schopfloch-6_1_T-2,openai,49.0,19.616183280944824
GRC_NeaSmyrni-117_1_T-6,openai,36.0,30.324570894241333
BEL_Brussels-51_2_T-1,openai,39.0,28.91661834716797
USA_Austin-64_7_T-1,openai,43.0,33.23454022407532
DEU_Nuremberg-30_6_T-1,openai,54.0,17.370983123779297
BEL_Antwerp-13_5_T-1,openai,73.0,24.418025016784668
USA_Washington-12_38_T-1,openai,33.0,15.531444072723389
GRC_NeaSmyrni-73_1_T-10,openai,37.0,23.905643701553345
DEU_Flensburg-62_1_T-1,openai,53.0,36.19538140296936
ESP_Barcelona-21_6_T-1,openai,98.0,18.350451231002808
ESP_Barcelona-44_27_T-1,openai,53.0,40.00302457809448
DEU_Bonn-19_2_T-1,openai,121.0,15.770289182662964
DEU_Kiel-52_2_T-1,openai,38.0,47.07472610473633
ESP_Bilbao-13_20_T-1,openai,22.0,43.039976835250854
DEU_Salzwedel-74_1_T-4,openai,74.0,38.34434986114502
DEU_Bonn-35_11_T-1,openai,37.0,21.378296613693237
USA_Austin-77_10_T-1,openai,60.0,28.073282957077026
DEU_Guetersloh-32_1_T-1,openai,17.0,19.84941840171814
DEU_Salzwedel-80_1_T-2,openai,131.0,30.757311820983887
ESP_Vigo-99_34_T-1,openai,140.0,24.423479557037354
FRA_Dijon-13_1_T-1,openai,37.0,18.647093534469604
ESP_Barcelona-39_27_T-1,openai,34.0,13.324552774429321
DEU_Hanover-45_17_T-1,openai,77.0,13.955562353134155
DEU_Wolfsburg-39_1_T-8,openai,7.0,18.04496717453003
DEU_Nuremberg-24_13_T-1,openai,84.0,28.309065341949463
GRC_ArchaioLimani-46_1_T-2,openai,53.0,26.24540686607361
CHN_Qingdao-18_2_T-1,openai,41.0,11.353224277496338
ARG_Carcarana-1_8_T-1,openai,31.0,19.942461729049683
BEL_Antwerp-10_7_T-1,openai,17.0,26.715285062789917
ESP_Vigo-63_4_T-1,openai,83.0,11.890541553497314
FRA_Dijon-28_4_T-1,openai,21.0,17.404626846313477
DEU_Leipzig-13_19_T-1,openai,42.0,24.29001235961914
ESP_Barcelona-3_6_T-1,openai,36.0,42.17545986175537
USA_Phoenix-17_14_T-1,openai,66.0,16.98391342163086
ESP_Vigo-99_21_T-1,openai,145.0,20.303264379501343
ESP_Barcelona-38_52_T-1,openai,36.0,47.18426513671875
DEU_Memmingen-1_1_T-5,openai,41.0,26.880240201950073
DEU_Lengede-44_1_T-6,openai,69.0,16.189133882522583
DEU_Schweitenkirchen-4_1_T-12,openai,54.0,26.99932885169983
DEU_Leipzig-37_8_T-1,openai,31.0,15.520960807800293
USA_Austin-8_1_T-1,openai,41.0,21.153380632400513
DEU_Memmingen-138_1_T-4,openai,70.0,36.42292261123657
DEU_Leipzig-13_7_T-1,openai,40.0,33.44789242744446
ITA_Siderno-5_3_T-1,openai,24.0,21.74929642677307
GRC_NeaSmyrni-98_1_T-1,openai,47.0,23.125401258468628
USA_Washington-34_15_T-1,openai,117.0,15.751821756362915
GRC_NeaSmyrni-154_1_T-2,openai,31.0,29.566418409347534
DEU_Schwetzingen-112_1_T-1,openai,35.0,14.814914464950562
DEU_Bonn-38_18_T-1,openai,98.0,17.499738454818726
ESP_Barcelona-6_18_T-1,openai,49.0,21.52484440803528
DEU_Nuremberg-6_21_T-1,openai,67.0,28.107245683670044
ESP_Barcelona-12_43_T-1,openai,130.0,14.661665201187134
DEU_Aschaffenburg-64_5_T-1,openai,23.0,24.36112952232361
USA_Washington-12_15_T-1,openai,30.0,32.88033890724182
ESP_Barcelona-3_13_T-1,openai,46.0,27.070606470108032
DEU_Aschaffenburg-15_26_T-1,openai,70.0,29.875082969665527
DEU_Schwetzingen-180_1_T-2,openai,92.0,34.14636468887329
ESP_Bilbao-23_16_T-1,openai,50.0,13.350329875946045
ESP_Vigo-70_3_T-1,openai,40.0,13.256589412689209
ESP_Ceuta-5_2_T-1,openai,12.0,13.727259397506714
ITA_Empoli-2_5_T-1,openai,26.0,26.985860586166382
DEU_Schwetzingen-74_1_T-4,openai,34.0,36.8280508518219
DEU_Aschaffenburg-21_21_T-1,openai,64.0,25.834368228912354
ESP_Barcelona-39_11_T-1,openai,92.0,19.73685121536255
DEU_Leipzig-63_24_T-1,openai,53.0,21.298444509506226
DEU_Schwetzingen-10_1_T-5,openai,65.0,13.931076288223267
USA_Phoenix-17_19_T-1,openai,116.0,23.924298763275146
DEU_Nuremberg-29_9_T-1,openai,26.0,15.119450569152832
FRA_Dijon-24_4_T-1,openai,107.0,11.89970874786377
BEL_Zwevegem-1_6_T-1,openai,28.0,27.35892128944397
DEU_Nuremberg-6_34_T-1,openai,38.0,17.404934883117676
DEU_Hennigsdorf-5_3_T-1,openai,28.0,18.12616467475891
ESP_Barcelona-49_21_T-1,openai,43.0,11.729121685028076
GRC_NeaSmyrni-31_1_T-12,openai,36.0,16.3134663105011
DEU_Bremen-7_12_T-1,openai,68.0,38.2051420211792
GRC_NeaSmyrni-87_1_T-1,openai,4.0,14.427879333496094
DEU_Muehlhausen-10_5_T-1,openai,12.0,19.88958477973938
DEU_Bremen-33_33_T-1,openai,53.0,19.035429000854492
ITA_Empoli-7_2_T-1,openai,22.0,20.75538444519043
BEL_Brussels-82_4_T-1,openai,29.0,13.810245752334595
DEU_Hanover-44_28_T-1,openai,57.0,19.685949563980103
BEL_Antwerp-1_14_T-1,openai,98.0,48.3263304233551
