Scenario Name,Engine,Timestep (s),Response Time (s)
DEU_Bremen-7_23_T-1,openai,4.9,58.956477880477905
DEU_Weimar-68_1_T-3,openai,9.6,22.016156673431396
ESP_Vigo-99_28_T-1,openai,4.6,29.856125116348267
ESP_Vigo-70_2_T-1,openai,8.8,16.680535554885864
DEU_Muehlhausen-5_1_T-1,openai,1.3,36.99275588989258
DEU_Schwetzingen-174_1_T-4,openai,3.6,48.86619544029236
DEU_Schweitenkirchen-5_1_T-36,openai,5.8,27.626139640808105
DEU_Weimar-57_1_T-1,openai,9.2,31.649474143981934
DEU_Bonn-38_4_T-1,openai,3.6,27.266002416610718
DEU_Hanover-38_33_T-1,openai,7.0,29.912177562713623
DEU_Bremen-1_10_T-1,openai,14.3,57.66830348968506
DEU_Nuremberg-27_1_T-1,openai,5.3,18.228711366653442
ESP_Bilbao-6_9_T-1,openai,13.5,28.717851161956787
CHN_Beijing-3_5_T-1,openai,9.2,35.64744424819946
USA_Austin-46_4_T-1,openai,6.4,7.914506196975708
USA_Washington-32_46_T-1,openai,4.1,25.536527156829834
ESP_Barcelona-44_19_T-1,openai,2.5,11.79870319366455
ESP_Barcelona-10_44_T-1,openai,10.2,43.63547229766846
DEU_Backnang-2_1_T-1,openai,2.0,22.242156267166138
DEU_Schopfloch-6_1_T-2,openai,4.9,31.571975708007812
GRC_NeaSmyrni-117_1_T-6,openai,3.6,38.21651744842529
BEL_Brussels-51_2_T-1,openai,3.9,36.99324560165405
USA_Austin-64_7_T-1,openai,4.3,34.635979890823364
DEU_Nuremberg-30_6_T-1,openai,5.4,14.668946266174316
BEL_Antwerp-13_5_T-1,openai,7.3,30.138115406036377
USA_Washington-12_38_T-1,openai,3.3,15.839981079101562
GRC_NeaSmyrni-73_1_T-10,openai,3.7,106.53876614570618
DEU_Flensburg-62_1_T-1,openai,5.3,28.833346843719482
ESP_Barcelona-21_6_T-1,openai,9.8,29.628145933151245
ESP_Barcelona-44_27_T-1,openai,5.3,18.29841947555542
DEU_Bonn-19_2_T-1,openai,12.1,19.114673614501953
DEU_Kiel-52_2_T-1,openai,3.8,45.913689374923706
ESP_Bilbao-13_20_T-1,openai,2.2,28.53759741783142
DEU_Salzwedel-74_1_T-4,openai,7.4,19.029447555541992
DEU_Bonn-35_11_T-1,openai,3.7,25.935415506362915
USA_Austin-77_10_T-1,openai,6.0,19.789308309555054
DEU_Guetersloh-32_1_T-1,openai,1.7,30.33297085762024
DEU_Salzwedel-80_1_T-2,openai,13.1,41.444480657577515
ESP_Vigo-99_34_T-1,openai,14.0,24.95087456703186
FRA_Dijon-13_1_T-1,openai,3.7,42.52061057090759
ESP_Barcelona-39_27_T-1,openai,3.4,16.42422103881836
DEU_Hanover-45_17_T-1,openai,7.7,17.638061046600342
DEU_Wolfsburg-39_1_T-8,openai,0.7,27.593998193740845
DEU_Nuremberg-24_13_T-1,openai,8.4,46.28314995765686
GRC_ArchaioLimani-46_1_T-2,openai,5.3,42.98984456062317
CHN_Qingdao-18_2_T-1,openai,4.1,21.88157081604004
ARG_Carcarana-1_8_T-1,openai,3.1,23.37221670150757
BEL_Antwerp-10_7_T-1,openai,1.7,50.612600564956665
ESP_Vigo-63_4_T-1,openai,8.3,24.806445121765137
FRA_Dijon-28_4_T-1,openai,2.1,33.71558237075806
DEU_Leipzig-13_19_T-1,openai,4.2,40.98833250999451
ESP_Barcelona-3_6_T-1,openai,3.6,50.62215709686279
USA_Phoenix-17_14_T-1,openai,6.6,21.63589572906494
ESP_Vigo-99_21_T-1,openai,14.5,31.376948356628418
ESP_Barcelona-38_52_T-1,openai,3.6,28.583657026290894
DEU_Memmingen-1_1_T-5,openai,4.1,46.31762409210205
DEU_Lengede-44_1_T-6,openai,6.9,30.342649459838867
DEU_Schweitenkirchen-4_1_T-12,openai,5.4,30.860787630081177
DEU_Leipzig-37_8_T-1,openai,3.1,16.33045744895935
USA_Austin-8_1_T-1,openai,4.1,25.719117164611816
DEU_Memmingen-138_1_T-4,openai,7.0,34.232768297195435
DEU_Leipzig-13_7_T-1,openai,4.0,64.33865761756897
ITA_Siderno-5_3_T-1,openai,2.4,25.014018297195435
GRC_NeaSmyrni-98_1_T-1,openai,4.7,34.409507513046265
USA_Washington-34_15_T-1,openai,11.7,28.716721534729004
GRC_NeaSmyrni-154_1_T-2,openai,3.1,53.88703274726868
DEU_Schwetzingen-112_1_T-1,openai,3.5,19.995093822479248
DEU_Bonn-38_18_T-1,openai,9.8,28.49384117126465
ESP_Barcelona-6_18_T-1,openai,4.9,19.392154693603516
DEU_Nuremberg-6_21_T-1,openai,6.7,92.55736088752747
ESP_Barcelona-12_43_T-1,openai,13.0,17.1439208984375
DEU_Aschaffenburg-64_5_T-1,openai,2.3,33.612340211868286
USA_Washington-12_15_T-1,openai,3.0,62.805909395217896
ESP_Barcelona-3_13_T-1,openai,4.6,42.481043577194214
DEU_Aschaffenburg-15_26_T-1,openai,7.0,19.729262351989746
DEU_Schwetzingen-180_1_T-2,openai,9.2,36.15761661529541
ESP_Bilbao-23_16_T-1,openai,5.0,8.732770681381226
ESP_Vigo-70_3_T-1,openai,4.0,15.599333047866821
ESP_Ceuta-5_2_T-1,openai,1.2,12.434788942337036
ITA_Empoli-2_5_T-1,openai,2.6,27.188952445983887
DEU_Schwetzingen-74_1_T-4,openai,3.4,66.88585615158081
DEU_Aschaffenburg-21_21_T-1,openai,6.4,28.84471035003662
ESP_Barcelona-39_11_T-1,openai,9.2,30.691341161727905
DEU_Leipzig-63_24_T-1,openai,5.3,45.67981719970703
DEU_Schwetzingen-10_1_T-5,openai,6.5,20.209222555160522
USA_Phoenix-17_19_T-1,openai,11.6,28.898921728134155
DEU_Nuremberg-29_9_T-1,openai,2.6,41.50101113319397
FRA_Dijon-24_4_T-1,openai,10.7,10.876454830169678
BEL_Zwevegem-1_6_T-1,openai,2.8,33.81621980667114
DEU_Nuremberg-6_34_T-1,openai,3.8,21.632071495056152
DEU_Hennigsdorf-5_3_T-1,openai,2.8,22.008103132247925
ESP_Barcelona-49_21_T-1,openai,4.3,12.564629793167114
GRC_NeaSmyrni-31_1_T-12,openai,3.6,23.481027126312256
DEU_Bremen-7_12_T-1,openai,6.8,50.801398038864136
GRC_NeaSmyrni-87_1_T-1,openai,0.4,22.062889099121094
DEU_Muehlhausen-10_5_T-1,openai,1.2,32.59202194213867
DEU_Bremen-33_33_T-1,openai,5.3,24.30590581893921
ITA_Empoli-7_2_T-1,openai,2.2,30.125755786895752
BEL_Brussels-82_4_T-1,openai,2.9,13.253155708312988
DEU_Hanover-44_28_T-1,openai,5.7,14.446289300918579
BEL_Antwerp-1_14_T-1,openai,9.8,23.16580629348755
