Scenario Name,Engine,Timestep (s),Response Time (s)
DEU_Bremen-7_23_T-1,gemini,49.0,31.60744881629944
DEU_Weimar-68_1_T-3,gemini,96.0,35.43973779678345
ESP_Vigo-99_28_T-1,gemini,46.0,21.16794466972351
ESP_Vigo-70_2_T-1,gemini,88.0,11.52638864517212
DEU_Muehlhausen-5_1_T-1,gemini,13.0,23.315712690353394
DEU_Schwetzingen-174_1_T-4,gemini,36.0,23.433204889297485
DEU_Schweitenkirchen-5_1_T-36,gemini,58.0,29.848785877227783
DEU_Weimar-57_1_T-1,gemini,92.0,20.321139574050903
DEU_Bonn-38_4_T-1,gemini,36.0,19.52444553375244
DEU_Hanover-38_33_T-1,gemini,70.0,25.862332582473755
DEU_Bremen-1_10_T-1,gemini,143.0,23.20008659362793
DEU_Nuremberg-27_1_T-1,gemini,53.0,15.732296705245972
ESP_Bilbao-6_9_T-1,gemini,135.0,22.009650230407715
CHN_Beijing-3_5_T-1,gemini,92.0,26.80673360824585
USA_Austin-46_4_T-1,gemini,64.0,7.906210660934448
USA_Washington-32_46_T-1,gemini,41.0,35.06072807312012
ESP_Barcelona-44_19_T-1,gemini,25.0,16.445932865142822
ESP_Barcelona-10_44_T-1,gemini,102.0,64.47275733947754
DEU_Backnang-2_1_T-1,gemini,20.0,21.070059776306152
DEU_Schopfloch-6_1_T-2,gemini,49.0,56.810951709747314
GRC_NeaSmyrni-117_1_T-6,gemini,36.0,20.75788640975952
BEL_Brussels-51_2_T-1,gemini,39.0,18.705852031707764
USA_Austin-64_7_T-1,gemini,43.0,17.00184178352356
DEU_Nuremberg-30_6_T-1,gemini,54.0,10.972127437591553
BEL_Antwerp-13_5_T-1,gemini,73.0,20.850709915161133
USA_Washington-12_38_T-1,gemini,33.0,23.583940982818604
GRC_NeaSmyrni-73_1_T-10,gemini,37.0,35.277639389038086
DEU_Flensburg-62_1_T-1,gemini,53.0,18.701608180999756
ESP_Barcelona-21_6_T-1,gemini,98.0,16.076605558395386
ESP_Barcelona-44_27_T-1,gemini,53.0,36.0968279838562
DEU_Bonn-19_2_T-1,gemini,121.0,15.301895380020142
DEU_Kiel-52_2_T-1,gemini,38.0,28.25713276863098
ESP_Bilbao-13_20_T-1,gemini,22.0,21.64961075782776
DEU_Salzwedel-74_1_T-4,gemini,74.0,32.857481241226196
DEU_Bonn-35_11_T-1,gemini,37.0,20.756304502487183
USA_Austin-77_10_T-1,gemini,60.0,21.362854957580566
DEU_Guetersloh-32_1_T-1,gemini,17.0,19.884453296661377
DEU_Salzwedel-80_1_T-2,gemini,131.0,33.50105619430542
ESP_Vigo-99_34_T-1,gemini,140.0,18.17149543762207
FRA_Dijon-13_1_T-1,gemini,37.0,29.79094696044922
ESP_Barcelona-39_27_T-1,gemini,34.0,12.967164754867554
DEU_Hanover-45_17_T-1,gemini,77.0,10.428277254104614
DEU_Wolfsburg-39_1_T-8,gemini,7.0,23.11860179901123
DEU_Nuremberg-24_13_T-1,gemini,84.0,35.29732298851013
GRC_ArchaioLimani-46_1_T-2,gemini,53.0,35.6049861907959
CHN_Qingdao-18_2_T-1,gemini,41.0,12.862054824829102
ARG_Carcarana-1_8_T-1,gemini,31.0,19.009122133255005
BEL_Antwerp-10_7_T-1,gemini,17.0,22.711859941482544
ESP_Vigo-63_4_T-1,gemini,83.0,10.883055686950684
FRA_Dijon-28_4_T-1,gemini,21.0,20.790996074676514
DEU_Leipzig-13_19_T-1,gemini,42.0,22.48614192008972
