Scenario Name,Engine,Timestep (s),Response Time (s)
DEU_Bremen-7_23_T-1,gemini,4.9,54.75629687309265
DEU_Weimar-68_1_T-3,gemini,9.6,26.469459295272827
ESP_Vigo-99_28_T-1,gemini,4.6,32.12261486053467
ESP_Vigo-70_2_T-1,gemini,8.8,15.660914421081543
DEU_Muehlhausen-5_1_T-1,gemini,1.3,28.95253014564514
DEU_Schwetzingen-174_1_T-4,gemini,3.6,31.11900234222412
DEU_Schweitenkirchen-5_1_T-36,gemini,5.8,21.52866768836975
DEU_Weimar-57_1_T-1,gemini,9.2,28.99574565887451
DEU_Bonn-38_4_T-1,gemini,3.6,27.34549379348755
DEU_Hanover-38_33_T-1,gemini,7.0,82.91813921928406
DEU_Bremen-1_10_T-1,gemini,14.3,43.796550273895264
DEU_Nuremberg-27_1_T-1,gemini,5.3,20.775025844573975
ESP_Bilbao-6_9_T-1,gemini,13.5,33.48483324050903
CHN_Beijing-3_5_T-1,gemini,9.2,44.79277324676514
USA_Austin-46_4_T-1,gemini,6.4,9.488056898117065
USA_Washington-32_46_T-1,gemini,4.1,54.239906549453735
ESP_Barcelona-44_19_T-1,gemini,2.5,22.832626581192017
ESP_Barcelona-10_44_T-1,gemini,10.2,105.0027232170105
DEU_Backnang-2_1_T-1,gemini,2.0,26.587345123291016
DEU_Schopfloch-6_1_T-2,gemini,4.9,116.39595627784729
GRC_NeaSmyrni-117_1_T-6,gemini,3.6,54.14001154899597
BEL_Brussels-51_2_T-1,gemini,3.9,24.531792163848877
USA_Austin-64_7_T-1,gemini,4.3,22.518054246902466
DEU_Nuremberg-30_6_T-1,gemini,5.4,11.66118597984314
BEL_Antwerp-13_5_T-1,gemini,7.3,32.83651566505432
USA_Washington-12_38_T-1,gemini,3.3,71.34139704704285
GRC_NeaSmyrni-73_1_T-10,gemini,3.7,26.905460834503174
DEU_Flensburg-62_1_T-1,gemini,5.3,26.056199073791504
ESP_Barcelona-21_6_T-1,gemini,9.8,29.262821674346924
ESP_Barcelona-44_27_T-1,gemini,5.3,22.42575430870056
DEU_Bonn-19_2_T-1,gemini,12.1,17.785078525543213
DEU_Kiel-52_2_T-1,gemini,3.8,19.61453342437744
ESP_Bilbao-13_20_T-1,gemini,2.2,37.488688230514526
DEU_Salzwedel-74_1_T-4,gemini,7.4,65.20321488380432
DEU_Bonn-35_11_T-1,gemini,3.7,28.844682693481445
USA_Austin-77_10_T-1,gemini,6.0,21.16637420654297
DEU_Guetersloh-32_1_T-1,gemini,1.7,31.706205368041992
DEU_Salzwedel-80_1_T-2,gemini,13.1,58.75300598144531
ESP_Vigo-99_34_T-1,gemini,14.0,29.245357513427734
FRA_Dijon-13_1_T-1,gemini,3.7,49.94027304649353
ESP_Barcelona-39_27_T-1,gemini,3.4,16.988991737365723
DEU_Hanover-45_17_T-1,gemini,7.7,14.212323427200317
DEU_Wolfsburg-39_1_T-8,gemini,0.7,15.908426284790039
DEU_Nuremberg-24_13_T-1,gemini,8.4,58.6778609752655
GRC_ArchaioLimani-46_1_T-2,gemini,5.3,37.080501079559326
CHN_Qingdao-18_2_T-1,gemini,4.1,12.332139015197754
ARG_Carcarana-1_8_T-1,gemini,3.1,25.371010541915894
BEL_Antwerp-10_7_T-1,gemini,1.7,36.11906623840332
ESP_Vigo-63_4_T-1,gemini,8.3,19.634441137313843
FRA_Dijon-28_4_T-1,gemini,2.1,35.212003231048584
DEU_Leipzig-13_19_T-1,gemini,4.2,32.3236780166626
ESP_Barcelona-3_6_T-1,gemini,3.6,56.93559408187866
USA_Phoenix-17_14_T-1,gemini,6.6,23.21058416366577
ESP_Vigo-99_21_T-1,gemini,14.5,27.440269708633423
ESP_Barcelona-38_52_T-1,gemini,3.6,72.05363869667053
DEU_Memmingen-1_1_T-5,gemini,4.1,49.85741376876831
DEU_Lengede-44_1_T-6,gemini,6.9,146.39173126220703
DEU_Schweitenkirchen-4_1_T-12,gemini,5.4,29.00929021835327
DEU_Leipzig-37_8_T-1,gemini,3.1,15.349562406539917
USA_Austin-8_1_T-1,gemini,4.1,20.070958614349365
DEU_Memmingen-138_1_T-4,gemini,7.0,38.3675479888916
DEU_Leipzig-13_7_T-1,gemini,4.0,58.6381630897522
