obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
324,1,-188.95456,-55.099661,2.8840388,0.63444585,0.5065643,5460
324,2,-189.01918,-55.082641,2.8840408,0.70198775,0.67541885,5460
324,3,-189.09033,-55.0639,2.8840431,0.76952962,0.67541855,5460
324,4,-189.16801,-55.043439,2.8840456,0.83707146,0.67426605,5460
324,5,-189.25222,-55.021258,2.8952143,0.90438283,0.67297945,5460
324,6,-189.34343,-54.9994,2.9161596,0.97166735,0.67391135,5460
324,7,-189.44164,-54.977886,2.9259379,1.0391651,0.67502575,5460
324,8,-189.54645,-54.954927,2.9259389,1.1066725,0.675074,5460
324,9,-189.65785,-54.930523,2.9259399,1.1741799,0.675074,5460
324,10,-189.77585,-54.904675,2.925941,1.2416873,0.675074,5460
324,11,-189.90044,-54.877383,2.9259421,1.3091947,0.675074,5460
324,12,-190.03162,-54.848646,2.9259433,1.3767021,0.675074,5460
324,13,-190.1694,-54.818465,2.9259445,1.4442095,0.675074,5460
324,14,-190.31377,-54.786839,2.9259458,1.5117169,0.6750735,5460
324,15,-190.46474,-54.75377,2.9259472,1.5792242,0.674727,3563
324,16,-190.6223,-54.719256,2.9262225,1.6466623,0.6724555,3563
324,17,-190.78646,-54.68339,2.9279684,1.7137153,0.670789,3563
324,18,-190.95725,-54.646603,2.9294398,1.7808201,0.6728855,3563
324,19,-191.13464,-54.608394,2.9294398,1.8482924,0.674723,3563
324,20,-191.31862,-54.568766,2.9294398,1.9157647,0.6747225,3563
324,21,-191.5092,-54.527716,2.9294398,1.9832369,0.6747225,3563
324,22,-191.70638,-54.485246,2.9294399,2.0507092,0.674723,3563
324,23,-191.91015,-54.441354,2.9294399,2.1181815,0.6746185,3563
324,24,-192.12052,-54.396043,2.9298402,2.1856329,0.674411,3563
324,25,-192.33751,-54.349485,2.9306275,2.2530637,0.6744055,3563
324,26,-192.56114,-54.301685,2.9310144,2.320514,0.674601,3563
324,27,-192.79136,-54.252475,2.9310144,2.3879839,0.6746985,3563
324,28,-193.02819,-54.201855,2.9310144,2.4554537,0.674698,3563
324,29,-193.27161,-54.149825,2.9310144,2.5229235,0.674666,3563
324,30,-193.52163,-54.096384,2.9311248,2.5903869,0.6745655,3563
324,31,-193.77825,-54.04159,2.9314612,2.6578366,0.6745275,3563
324,32,-194.0415,-53.985507,2.9316873,2.7252924,0.674623,3563
324,33,-194.31135,-53.928018,2.9316873,2.7927612,0.674753,3563
338,1,-177.65686,-96.220201,1.3633089,1.5369898,0.317722,3841
338,2,-177.62477,-96.067745,1.3633016,1.5795574,0.429185,3841
338,3,-177.59178,-95.911066,1.3635003,1.6228268,0.433943,3841
338,4,-177.55797,-95.750128,1.3637742,1.666346,0.435189,3841
338,5,-177.52327,-95.584913,1.3638343,1.7098646,0.435383,3841
338,6,-177.4877,-95.415453,1.3638285,1.7534226,0.437273,3841
338,7,-177.45121,-95.241713,1.363804,1.7973192,0.439576,3841
338,8,-177.41382,-95.063662,1.3638229,1.8413378,0.439549,3841
338,9,-177.37553,-94.881305,1.3638269,1.885229,0.438717,3841
338,10,-177.33634,-94.694663,1.3638263,1.9290812,0.439913,3841
338,11,-177.29625,-94.503722,1.3638999,1.9732116,0.4411535,3841
338,12,-177.25527,-94.308437,1.3640271,2.0173119,0.4416705,3841
338,13,-177.21342,-94.108855,1.3640726,2.0615457,0.4429785,3841
