ego_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id,goal_lanelet_id,time_horizon
1,0,-150.9417,-63.0989,2.920454854018004,1.9318,-0.001,3560,,33.0
1,1,-151.1303,-63.0565,2.920454854018004,1.9317,0.0,3560,,33.0
1,2,-151.3165,-63.0026,2.8598207863164262,1.932,0.0036,3560,,33.0
1,3,-151.5001,-62.9381,2.803753775070798,1.9379,0.0568,3560,,33.0
1,4,-151.6846,-62.8777,2.825217515735434,1.9544,0.1088,3560,,33.0
1,5,-151.8679,-62.8085,2.780611712127615,1.9809,0.1579,3560,,33.0
1,6,-152.0512,-62.7324,2.7480805533855888,2.0027,0.1396,3560,,33.0
1,7,-152.2389,-62.6646,2.7949621493268393,2.0359,0.1958,3560,,33.0
1,8,-152.4278,-62.5913,2.7714424271717855,2.08,0.249,5459,,33.0
1,9,-152.6407,-62.59,3.135486576354117,2.0915,0.0986,5459,,33.0
1,10,-152.8406,-62.5316,2.857356780427365,2.1093,0.0839,5459,,33.0
1,11,-153.0393,-62.4613,2.801536821135161,2.1243,0.0724,5459,,33.0
1,12,-153.2363,-62.3798,2.7493272366197044,2.1382,0.1058,5459,,33.0
1,13,-153.4356,-62.3025,2.7715975738141507,2.1646,0.1657,5459,,33.0
1,14,-153.6339,-62.2155,2.728150957400043,2.202,0.2177,5459,,33.0
1,15,-153.8335,-62.1237,2.7105200755980983,2.223,0.1081,5459,,33.0
1,16,-154.0388,-62.0405,2.7565595239288374,2.2425,0.102,5459,,33.0
1,17,-154.2434,-61.9493,2.7222804810891215,2.2605,0.0963,5459,,33.0
1,18,-154.4472,-61.8512,2.6929725864048537,2.2702,0.0594,5459,,33.0
1,19,-154.6543,-61.7582,2.7195220171139,2.2798,0.0597,5459,,33.0
1,20,-154.8611,-61.6626,2.708571757311246,2.2891,0.0589,5459,,33.0
1,21,-155.0667,-61.5619,2.6861495879748896,2.2911,0.0046,5459,,33.0
1,22,-155.276,-61.4688,2.7230580540857012,2.2851,-0.033,5459,,33.0
1,23,-155.4848,-61.3748,2.718579428374159,2.2716,-0.0687,5459,,33.0
1,24,-155.6931,-61.2824,2.724081241057694,2.2608,-0.0566,5459,,33.0
1,25,-155.9031,-61.1979,2.7590354179909693,2.2419,-0.0951,5459,,33.0
1,26,-156.1116,-61.1133,2.7561345962252304,2.2155,-0.1312,5459,,33.0
1,27,-156.3179,-61.0293,2.754917117559468,2.2054,-0.0186,5459,,33.0
1,28,-156.5217,-60.9439,2.7447824598391897,2.1995,-0.0015,5459,,33.0
1,29,-156.7237,-60.8573,2.7365813787164477,2.196,0.0073,5459,,33.0
1,30,-156.9251,-60.7707,2.7355029761670324,2.197,0.0251,5459,,33.0
1,31,-157.1287,-60.6893,2.7612556531696355,2.1965,0.0157,5459,,33.0
