timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,324.0,Front,38.65,0.53,34.14,0.0,-1.3,-0.02,-0.49,0.13,26.31,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
1.0,338.0,Front-left,18.61,38.17,14.1,36.56,-1.91,-1.54,0.07,0.31,7.38,23.79,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,341.0,Behind,-15.21,-0.21,-10.7,0.0,0.07,0.03,-1.55,0.33,143.46,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
1.0,357.0,Front,14.68,0.35,10.17,0.0,-3.72,1.09,0.14,-0.13,2.74,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
1.0,360.0,Behind,-24.31,-0.34,-19.81,0.0,0.77,0.04,-0.25,0.05,25.76,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
1.0,3104.0,Front-right,20.68,-7.81,16.17,-6.2,-3.24,-3.97,0.6,1.01,4.99,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,3111.0,Front-left,45.12,4.11,40.62,2.5,-5.85,-0.05,1.05,-0.22,6.94,47.22,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,3118.0,Front-left,66.98,4.4,62.47,2.79,-4.61,-0.03,0.74,-0.16,13.55,79.88,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,3126.0,Front-left,79.0,4.56,74.49,2.95,-6.25,-0.06,0.09,-0.02,11.92,50.71,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,324.0,Front-left,38.42,2.88,33.91,1.27,-1.23,0.02,-0.65,0.17,27.56,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
2.0,338.0,Front-left,16.08,39.08,11.57,37.47,-1.81,-1.58,0.09,0.42,6.37,23.79,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,341.0,Behind,-15.15,-1.12,-10.64,0.0,0.29,0.17,-2.25,0.47,36.71,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
2.0,357.0,Front,14.25,1.33,9.74,0.0,-3.8,0.99,0.19,-0.18,2.56,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
2.0,360.0,Rear-right,-24.17,-1.79,-19.66,-0.18,0.79,0.2,-0.44,0.09,24.86,0.88,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
2.0,3104.0,Front-right,20.83,-6.96,16.32,-5.35,-2.87,-4.25,0.92,1.69,5.68,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
2.0,3111.0,Front-left,44.2,6.8,39.69,5.19,-5.97,-0.3,1.13,-0.24,6.65,17.33,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,3118.0,Front-left,66.12,8.43,61.61,6.82,-4.7,-0.2,0.67,-0.14,13.1,33.36,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,3126.0,Front-left,77.95,9.31,73.44,7.7,-6.26,-0.32,-0.01,0.0,11.74,23.97,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,324.0,Front-left,38.08,5.03,33.57,3.42,-1.17,0.06,-0.6,0.15,28.67,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
3.0,338.0,Front-left,13.69,39.76,9.18,38.15,-1.73,-1.61,0.14,0.41,5.32,23.71,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,341.0,Rear-right,-15.03,-1.93,-10.52,-0.32,0.51,0.32,-2.32,0.48,20.7,1.01,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
3.0,357.0,Front-left,13.76,2.22,9.26,0.61,-3.88,0.89,0.24,-0.19,2.38,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
3.0,360.0,Rear-right,-23.96,-3.1,-19.45,-1.49,0.83,0.36,-0.66,0.13,23.47,4.11,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
3.0,3104.0,Front-right,20.92,-6.22,16.41,-4.61,-2.65,-4.51,1.05,1.83,6.19,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
3.0,3111.0,Front-left,43.15,9.22,38.64,7.61,-6.05,-0.54,1.45,-0.31,6.38,14.11,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,3118.0,Front-left,65.07,12.09,60.56,10.48,-4.73,-0.36,0.45,-0.1,12.8,28.75,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,3126.0,Front-left,76.68,13.61,72.17,12.0,-6.22,-0.56,-0.31,0.06,11.61,21.41,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
4.0,324.0,Front-left,38.06,4.22,33.55,2.61,-1.12,0.05,-0.55,0.14,29.99,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
4.0,338.0,Front-left,14.36,39.29,9.85,37.68,-1.77,-1.66,0.19,0.39,5.56,22.75,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
4.0,341.0,Behind,-15.0,-1.58,-10.49,0.0,0.74,0.29,-2.17,0.45,14.14,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
4.0,357.0,Front-left,13.42,2.02,8.91,0.41,-3.9,0.95,0.28,-0.21,2.28,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
4.0,360.0,Rear-right,-23.93,-2.56,-19.42,-0.95,0.9,0.31,-0.56,0.1,21.48,3.03,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
4.0,3104.0,Front-right,20.51,-7.13,16.0,-5.52,-2.72,-4.71,0.92,1.55,5.89,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
4.0,3111.0,Front-left,42.72,8.24,38.22,6.63,-6.26,-0.47,1.94,-0.42,6.1,14.1,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
4.0,3118.0,Front-left,64.84,10.66,60.33,9.05,-4.8,-0.31,0.84,-0.19,12.58,29.29,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
4.0,3126.0,Front-left,76.33,11.91,71.83,10.3,-6.19,-0.46,-0.25,0.04,11.6,22.27,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
5.0,324.0,Front-left,37.73,5.92,33.22,4.31,-1.08,0.1,-0.5,0.11,30.69,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
