obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
30735,1,-280.154,61.9949,-1.9807,8.4709,0.1562,55
30736,1,-270.5026,68.4685,1.8541,8.3617,1.5491,1225
30737,1,-274.9176,74.0626,-1.9792,7.1375,1.5367,943
30738,1,-263.6707,91.4411,1.1678,7.5493,-0.8127,59
30739,1,-239.4056,59.1814,2.9883,7.4903,0.3232,379
30740,1,-272.0269,35.5893,1.4852,7.5726,0.7359,336
30741,1,-268.7876,54.7994,1.0967,6.4586,-4.9015,1146
30743,1,-293.601,22.2823,1.1607,13.761,-0.0649,56
30744,1,-200.8273,46.2363,2.6941,8.7653,0.6556,379
30745,1,-273.0239,23.9043,1.4873,5.9145,0.974,336
30746,1,-159.1932,25.5223,2.6771,6.6377,0.0813,379
30747,1,-274.5923,4.106,1.4923,8.6977,-0.715,336
30735,2,-280.4913,61.2187,-1.9808,8.4496,-0.5394,55
30736,2,-270.6805,69.2745,1.7879,8.5472,1.9208,1226
30737,2,-275.2055,73.3977,-1.9794,7.2948,1.8931,943
30738,2,-263.3737,92.1377,1.1677,7.5562,-0.658,59
30739,2,-240.145,59.2943,2.99,7.4845,0.2091,379
30740,2,-271.9626,36.3397,1.4852,7.5135,-0.7031,336
30741,2,-268.5001,55.3336,1.077,5.9685,-4.9015,1146
30743,2,-293.0513,23.5469,1.1607,13.8127,0.9314,56
30744,2,-201.6181,46.6157,2.6942,8.7678,-0.1158,379
30745,2,-272.9738,24.5002,1.4869,5.9713,-0.3409,336
30746,2,-159.784,25.8182,2.6771,6.627,0.791,379
30747,2,-274.5246,4.9675,1.4923,8.6582,0.6611,336
30735,3,-280.8291,60.4416,-1.9808,8.4531,-0.7704,55
30736,3,-270.8086,70.1124,1.7224,8.7295,1.7056,1226
30737,3,-275.4997,72.7185,-1.9795,7.4343,1.2483,943
30738,3,-263.0769,92.8339,1.1677,7.5497,-0.7222,59
30739,3,-240.8857,59.4064,2.9913,7.5012,0.378,379
30740,3,-271.8983,37.0885,1.4852,7.5199,0.1666,336
30741,3,-268.2282,55.8214,1.0622,5.4783,-4.9015,1146
30743,3,-292.5018,24.8109,1.1607,13.8023,0.7693,56
30744,3,-202.4089,46.995,2.6944,8.7799,0.3942,379
30745,3,-272.9232,25.1003,1.4866,6.0292,0.274,336
30746,3,-160.3749,26.1143,2.6771,6.6017,-0.286,379
30747,3,-274.4575,5.8208,1.4923,8.5692,0.3999,336
30735,4,-281.1661,59.6665,-1.9808,8.4638,0.4727,55
30736,4,-270.8684,70.9551,1.6417,8.7809,-0.033,1226
30737,4,-275.7959,72.0348,-1.9796,7.4552,0.1061,943
30738,4,-262.7792,93.5319,1.1676,7.5996,0.4541,59
30739,4,-241.6282,59.518,2.9923,7.5087,0.0404,379
30740,4,-271.8337,37.8423,1.4852,7.5665,0.0425,336
30741,4,-267.9479,56.3408,1.076,5.2208,-0.2684,1146
30743,4,-291.9532,26.0731,1.1607,13.7483,-0.5889,56
30744,4,-203.1976,47.3731,2.6944,8.7678,0.8455,379
30745,4,-272.8717,25.7088,1.4863,6.1323,1.0203,336
30746,4,-160.9679,26.4114,2.6771,6.6291,-0.143,379
30747,4,-274.3909,6.6675,1.4923,8.48,-0.5226,336
30735,5,-281.5031,58.8912,-1.9808,8.4643,0.4466,55
30736,5,-270.8711,71.8129,1.5739,8.779,-0.9146,1226
30737,5,-276.095,71.3448,-1.9798,7.5197,-0.0412,943
