timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,30753.0,Front-right,119.67,-34.68,115.16,-33.07,-7.17,0.0,0.52,2.32,16.07,inf,Obstacle is driving toward the ego car longitudinally from front. No lateral relative motion.
1.0,30754.0,Rear-left,-40.79,66.27,-36.28,64.66,-13.0,-1.87,0.49,2.71,inf,34.62,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.
1.0,30755.0,Front-right,13.61,-4.34,9.11,-2.73,1.25,-2.03,0.05,1.37,inf,inf,Obstacle is moving away longitudinally in front. Obstacle is moving away laterally to the right.
1.0,30756.0,Rear-left,-12.11,1.84,-7.6,0.23,-1.78,-1.29,-1.56,-1.93,inf,0.18,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.
1.0,30757.0,Front-right,120.77,-41.69,116.27,-40.08,-7.16,0.06,0.56,2.31,16.24,648.33,Obstacle is driving toward the ego car longitudinally from front. Obstacle is driving toward the ego car laterally from the right.
1.0,30759.0,Front-right,8.09,-19.15,3.59,-17.54,-6.49,-9.67,1.06,2.24,0.55,inf,Obstacle is driving toward the ego car longitudinally from front. Obstacle is moving away laterally to the right.
1.0,30760.0,Rear-left,-33.0,6.95,-28.49,5.34,-3.51,-0.91,1.22,3.71,inf,5.9,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.
1.0,30761.0,Front-right,119.62,-49.52,115.11,-47.91,-7.1,0.42,0.84,2.2,16.21,113.4,Obstacle is driving toward the ego car longitudinally from front. Obstacle is driving toward the ego car laterally from the right.
1.0,30762.0,Right,0.02,-5.57,0.0,-3.96,-2.42,1.81,0.34,3.6,0.0,2.18,Exact longitudinal alignment or co. Obstacle is driving toward the ego car laterally from the right.
1.0,30763.0,Rear-right,-9.29,-11.64,-4.78,-10.03,-3.85,2.64,0.46,2.46,inf,3.79,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.
1.0,30764.0,Rear-right,-17.66,-18.41,-13.15,-16.8,-4.39,2.25,-0.06,3.51,inf,7.46,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.
1.0,30766.0,Rear-right,-25.83,-25.04,-21.32,-23.43,-4.71,1.99,0.26,2.87,inf,11.77,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.
1.0,30767.0,Rear-right,-34.11,-31.67,-29.6,-30.06,-4.77,1.87,0.57,2.23,inf,16.04,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.
1.0,30768.0,Rear-left,-22.7,4.4,-18.19,2.79,-2.43,-1.17,1.0,3.28,inf,2.4,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.
1.0,30769.0,Front-right,117.62,-57.98,113.12,-56.37,-7.02,1.28,0.83,2.22,16.11,44.16,Obstacle is driving toward the ego car longitudinally from front. Obstacle is driving toward the ego car laterally from the right.
1.0,30770.0,Rear-left,-42.78,9.37,-38.27,7.76,-4.31,-0.71,1.11,3.5,inf,10.96,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.
1.0,30772.0,Rear-right,-42.72,-38.4,-38.21,-36.79,-4.59,2.03,0.45,2.49,inf,18.15,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.
1.0,30773.0,Front-right,117.92,-67.5,113.41,-65.89,-6.76,2.23,1.53,1.89,16.79,29.58,Obstacle is driving toward the ego car longitudinally from front. Obstacle is driving toward the ego car laterally from the right.
1.0,30774.0,Rear-left,-52.43,11.76,-47.92,10.15,-4.73,-0.6,0.68,2.63,inf,16.82,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.
1.0,30775.0,Rear-right,-51.59,-45.52,-47.08,-43.91,-4.39,2.29,0.38,2.61,inf,19.21,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.
1.0,30776.0,Rear-left,-62.31,14.21,-57.8,12.6,-4.64,-0.63,0.58,2.43,inf,20.11,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.
1.0,30777.0,Front-right,115.68,-78.51,111.17,-76.9,-6.53,3.09,0.41,2.37,17.04,24.9,Obstacle is driving toward the ego car longitudinally from front. Obstacle is driving toward the ego car laterally from the right.
1.0,30778.0,Rear-left,-26.42,67.21,-21.91,65.6,-6.22,0.3,0.61,1.3,inf,inf,Obstacle is moving away in behind longitudinally . Obstacle is moving away laterally to the left.
1.0,30779.0,Rear-right,-60.16,-53.14,-55.66,-51.53,-4.46,2.67,0.36,2.58,inf,19.3,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.
1.0,30780.0,Rear-left,-72.66,16.78,-68.15,15.17,-4.28,-0.72,0.46,2.2,inf,21.19,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.
1.0,30781.0,Rear-left,-18.27,69.82,-13.76,68.21,-7.17,0.0,0.52,2.32,inf,inf,Obstacle is moving away in behind longitudinally . No lateral relative motion.
1.0,30782.0,Front-right,113.29,-89.75,108.78,-88.14,-6.39,3.49,1.71,1.76,17.03,25.28,Obstacle is driving toward the ego car longitudinally from front. Obstacle is driving toward the ego car laterally from the right.
1.0,30783.0,Rear-left,-72.74,52.18,-68.24,50.57,-0.91,2.1,0.56,1.96,inf,inf,Obstacle is moving away in behind longitudinally . Obstacle is moving away laterally to the left.
1.0,30786.0,Front-right,110.84,-100.71,106.33,-99.1,-6.36,3.59,0.6,2.29,16.73,27.59,Obstacle is driving toward the ego car longitudinally from front. Obstacle is driving toward the ego car laterally from the right.
1.0,30791.0,Front-right,108.58,-110.41,104.08,-108.8,-6.53,2.72,0.63,2.27,15.95,40.01,Obstacle is driving toward the ego car longitudinally from front. Obstacle is driving toward the ego car laterally from the right.
2.0,30753.0,Front-right,117.9,-38.08,113.39,-36.47,-6.6,0.0,0.62,3.14,17.17,inf,Obstacle is driving toward the ego car longitudinally from front. No lateral relative motion.
2.0,30754.0,Rear-left,-40.21,67.24,-35.7,65.63,-12.49,-1.7,0.57,3.65,inf,38.58,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.
2.0,30755.0,Front-right,13.58,-4.95,9.08,-3.34,1.76,-2.27,0.71,3.34,inf,inf,Obstacle is moving away longitudinally in front. Obstacle is moving away laterally to the right.
2.0,30756.0,Rear-left,-12.29,2.05,-7.78,0.44,-1.71,-1.32,-1.47,-1.11,inf,0.33,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.
2.0,30757.0,Front-right,118.8,-45.11,114.29,-43.5,-6.6,0.05,0.67,3.12,17.33,797.25,Obstacle is driving toward the ego car longitudinally from front. Obstacle is driving toward the ego car laterally from the right.
2.0,30759.0,Front-right,6.84,-20.34,2.33,-18.73,-6.28,-9.67,0.16,3.22,0.37,inf,Obstacle is driving toward the ego car longitudinally from front. Obstacle is moving away laterally to the right.
2.0,30760.0,Rear-left,-33.16,7.78,-28.65,6.17,-2.93,-1.02,0.2,2.32,inf,6.05,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the left.
2.0,30761.0,Front-right,117.43,-52.87,112.92,-51.26,-6.53,0.39,0.92,3.02,17.29,131.33,Obstacle is driving toward the ego car longitudinally from front. Obstacle is driving toward the ego car laterally from the right.
2.0,30762.0,Right,-0.39,-5.4,0.0,-3.79,-1.62,1.64,0.38,5.01,0.0,2.31,Exact longitudinal alignment or co. Obstacle is driving toward the ego car laterally from the right.
2.0,30763.0,Rear-right,-10.0,-11.11,-5.49,-9.5,-3.0,2.68,-0.62,5.73,inf,3.55,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.
2.0,30764.0,Rear-right,-18.63,-17.68,-14.12,-16.07,-3.67,2.24,-0.29,4.98,inf,7.16,Obstacle is moving away in behind longitudinally . Obstacle is driving toward the ego car laterally from the right.
