obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
30193,1,259.9878,40.3518,2.7007,6.1617,0.337,1746
30194,1,274.3353,66.0888,1.0443,7.9583,0.0331,84
30196,1,283.5131,25.5978,2.7132,6.3942,-0.0484,648
30197,1,296.2559,19.7798,2.7132,6.4359,0.2296,648
30198,1,308.9337,13.9958,2.7149,6.3617,0.2957,648
30199,1,320.9841,8.5876,2.7299,6.011,0.4073,648
30200,1,332.0619,4.1097,2.7962,5.1655,1.0757,648
30201,1,340.3724,1.1812,2.8031,2.618,1.5439,-1
30193,2,259.4312,40.6143,2.701,6.1612,0.2358,1746
30194,2,274.7323,66.772,1.0443,7.9004,-0.0625,84
30196,2,282.9342,25.8621,2.7132,6.3632,-0.0067,648
30197,2,295.6739,20.0455,2.7132,6.3991,0.0491,648
30198,2,308.3517,14.2606,2.7145,6.3581,-1.43,648
30199,2,320.4301,8.831,2.7276,6.0721,0.8319,648
30200,2,331.5741,4.2893,2.7887,5.2076,0.2216,648
30201,2,340.1096,1.2737,2.8031,2.8444,2.3387,-1
30193,3,258.8749,40.8764,2.7012,6.1518,0.0252,1746
30194,3,275.131,67.458,1.0443,7.9555,0.8432,84
30196,3,282.3544,26.1268,2.7132,6.3565,-0.6899,648
30197,3,295.0906,20.3118,2.7132,6.4395,1.094,648
30198,3,307.771,14.525,2.7143,6.3837,0.1342,648
30199,3,319.8754,9.076,2.7257,6.0665,0.1011,648
30200,3,331.0842,4.4732,2.7825,5.2438,0.3403,648
30201,3,339.8298,1.3722,2.8031,3.0244,2.2896,-1
30193,4,258.3199,41.1385,2.7004,6.141,0.0726,1746
30194,4,275.5297,68.144,1.0443,7.9414,0.2775,84
30196,4,281.7755,26.3911,2.7132,6.3568,-0.2619,648
30197,4,294.5115,20.5762,2.7132,6.3662,0.0203,648
30198,4,307.1887,14.7903,2.7141,6.3978,-0.04,648
30199,4,319.3227,9.3211,2.7242,6.0596,0.5566,648
30200,4,330.5902,4.6616,2.7773,5.2808,-0.3325,648
30201,4,339.5332,1.4765,2.8031,3.1778,1.3741,-1
30193,5,257.7821,41.3959,2.6951,5.8601,-4.2142,1746
30194,5,275.9285,68.8304,1.0443,7.9578,0.7613,84
30196,5,281.1972,26.6552,2.7132,6.3576,-0.0198,648
30197,5,293.929,20.8421,2.7132,6.4202,0.6941,648
30198,5,306.6104,15.0539,2.7139,6.3743,0.7443,648
