timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,30193.0,Front-left,13.65,2.18,9.14,0.57,-0.14,1.16,-0.5,0.29,63.91,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
1.0,30194.0,Front-right,17.21,-27.07,12.71,-25.46,-5.37,-7.92,-0.18,0.17,2.36,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,30196.0,Behind,-14.05,0.25,-9.54,0.0,0.07,1.28,-0.15,0.12,136.69,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
1.0,30197.0,Rear-right,-27.78,-2.55,-23.27,-0.94,0.11,1.29,-0.41,0.24,210.24,0.73,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
1.0,30198.0,Rear-right,-41.43,-5.35,-36.92,-3.74,0.04,1.28,-0.47,0.27,1031.15,2.91,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
1.0,30199.0,Rear-right,-54.35,-8.07,-49.84,-6.46,-0.33,1.3,-0.57,0.31,inf,4.97,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30200.0,Rear-right,-65.94,-10.98,-61.43,-9.37,-1.24,1.45,-1.21,0.51,inf,6.46,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30201.0,Rear-right,-74.38,-13.51,-69.88,-11.9,-3.69,0.75,-1.65,0.66,inf,15.82,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,30193.0,Front-left,13.66,2.13,9.15,0.52,-0.07,1.09,-0.51,0.31,133.89,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
2.0,30194.0,Front-right,16.34,-28.06,11.83,-26.45,-5.41,-7.87,-0.32,0.15,2.19,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
2.0,30196.0,Behind,-14.04,0.54,-9.54,0.0,0.12,1.2,-0.29,0.21,81.98,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
2.0,30197.0,Rear-right,-27.8,-2.1,-23.29,-0.49,0.15,1.21,-0.34,0.23,153.64,0.41,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
2.0,30198.0,Rear-right,-41.48,-4.73,-36.98,-3.12,0.11,1.21,1.01,-0.38,336.87,2.59,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
2.0,30199.0,Rear-right,-54.47,-7.3,-49.97,-5.69,-0.19,1.23,-1.06,0.54,inf,4.63,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,30200.0,Rear-right,-66.19,-10.05,-61.68,-8.44,-1.11,1.36,-0.5,0.29,inf,6.19,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,30201.0,Rear-right,-74.89,-12.54,-70.39,-10.93,-3.4,0.78,-2.5,0.99,inf,13.93,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
3.0,30193.0,Front-left,13.68,2.05,9.17,0.44,-0.0,1.0,-0.36,0.24,2074.57,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
3.0,30194.0,Front-right,15.41,-29.06,10.9,-27.45,-5.45,-7.93,0.09,0.96,2.0,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
3.0,30196.0,Behind,-14.03,0.84,-9.52,0.0,0.18,1.11,0.29,-0.05,51.55,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
3.0,30197.0,Rear-right,-27.81,-1.61,-23.3,-0.0,0.27,1.13,-1.33,0.69,87.49,0.0,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
3.0,30198.0,Rear-right,-41.53,-4.06,-37.02,-2.45,0.21,1.13,-0.46,0.29,176.16,2.18,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
3.0,30199.0,Rear-right,-54.59,-6.46,-50.08,-4.85,-0.11,1.14,-0.43,0.27,inf,4.26,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
3.0,30200.0,Rear-right,-66.43,-9.04,-61.92,-7.43,-0.99,1.27,-0.66,0.35,inf,5.83,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
3.0,30201.0,Rear-right,-75.38,-11.46,-70.88,-9.85,-3.16,0.79,-2.5,0.99,inf,12.39,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
4.0,30193.0,Front-left,13.68,2.08,9.17,0.47,0.09,0.97,-0.57,0.38,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
4.0,30194.0,Front-right,14.72,-29.93,10.21,-28.32,-5.39,-7.92,-0.36,0.58,1.89,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
4.0,30196.0,Behind,-14.0,1.01,-9.5,0.0,0.29,1.08,-0.27,0.24,32.58,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
4.0,30197.0,Behind,-27.8,-1.38,-23.29,0.0,0.3,1.09,-0.52,0.35,77.43,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
4.0,30198.0,Rear-right,-41.53,-3.76,-37.02,-2.15,0.33,1.1,-0.47,0.33,111.87,1.96,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
4.0,30199.0,Rear-right,-54.63,-6.09,-50.13,-4.48,-0.01,1.1,-1.01,0.57,inf,4.08,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
4.0,30200.0,Rear-right,-66.56,-8.61,-62.06,-7.0,-0.84,1.23,-0.19,0.23,inf,5.68,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
4.0,30201.0,Rear-right,-75.74,-11.02,-71.24,-9.41,-2.9,0.82,-1.8,0.8,inf,11.47,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
5.0,30193.0,Front-left,13.71,1.85,9.2,0.24,-0.02,0.76,3.16,-1.4,370.0,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
5.0,30194.0,Front-right,13.48,-31.04,8.97,-29.43,-5.43,-7.95,-0.26,1.08,1.65,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
5.0,30196.0,Behind,-13.95,1.42,-9.44,0.0,0.45,0.94,-0.63,0.41,20.88,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
5.0,30197.0,Behind,-27.79,-0.65,-23.29,0.0,0.51,0.95,-1.28,0.71,45.28,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
5.0,30198.0,Rear-right,-41.58,-2.72,-37.07,-1.11,0.47,0.95,-1.32,0.73,79.18,1.17,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
5.0,30199.0,Rear-right,-54.76,-4.76,-50.25,-3.15,0.14,0.96,0.36,-0.03,362.11,3.3,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
5.0,30200.0,Rear-right,-66.82,-6.99,-62.32,-5.38,-0.61,1.11,-0.87,0.51,inf,4.86,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
5.0,30201.0,Rear-right,-76.26,-9.23,-71.75,-7.62,-2.57,0.79,-2.57,1.1,inf,9.61,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
6.0,30193.0,Front,13.71,1.6,9.2,0.0,-0.31,0.56,3.31,-1.49,29.68,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
6.0,30194.0,Front-right,12.21,-32.13,7.7,-30.52,-5.47,-7.94,-0.36,1.32,1.41,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
6.0,30196.0,Rear-left,-13.89,1.81,-9.38,0.2,0.5,0.79,0.44,-0.07,18.84,inf,Obstacle is driving toward the ego car from behind. Obstacle is moving away laterally to the left.
6.0,30197.0,Behind,-27.76,0.05,-23.25,0.0,0.64,0.8,-0.19,0.22,36.59,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
6.0,30198.0,Rear-right,-41.59,-1.71,-37.08,-0.1,0.62,0.81,-0.33,0.29,60.07,0.12,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
6.0,30199.0,Rear-right,-54.84,-3.45,-50.33,-1.84,0.37,0.83,-1.8,0.95,135.69,2.23,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
6.0,30200.0,Rear-right,-67.02,-5.39,-62.52,-3.78,-0.37,0.98,-1.67,0.84,inf,3.85,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
6.0,30201.0,Rear-right,-76.69,-7.45,-72.19,-5.84,-2.26,0.76,-2.15,0.98,inf,7.73,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
7.0,30193.0,Front,13.66,1.4,9.15,0.0,-0.52,0.41,2.95,-1.31,17.59,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
7.0,30194.0,Front-right,11.07,-33.13,6.56,-31.52,-5.38,-7.91,-1.08,0.9,1.22,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
7.0,30196.0,Rear-left,-13.82,2.12,-9.31,0.51,0.59,0.53,1.1,-0.39,15.76,inf,Obstacle is driving toward the ego car from behind. Obstacle is moving away laterally to the left.
7.0,30197.0,Behind,-27.7,0.61,-23.19,0.0,0.84,0.69,-1.59,0.89,27.75,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
7.0,30198.0,Behind,-41.56,-0.9,-37.05,0.0,0.86,0.69,-0.44,0.37,43.29,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
7.0,30199.0,Rear-right,-54.86,-2.4,-50.36,-0.79,0.62,0.71,-1.6,0.89,81.34,1.11,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
