obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
30,1,-563.93418,449.74643,-4.0549929,0.42759529,0.4085555,38854
30,2,-563.96168,449.78266,-4.0530812,0.48206935,0.5447405,38854
30,3,-563.99247,449.82323,-4.0630937,0.53654339,0.54474015,38854
30,4,-564.02656,449.86813,-4.0630902,0.59101738,0.5447396,38854
30,5,-564.06394,449.91738,-4.0630863,0.64549131,0.544739,38854
30,6,-564.10462,449.97096,-4.063082,0.69996518,0.5441341,38854
30,7,-564.14859,450.02888,-4.0563876,0.75431813,0.54421885,38854
30,8,-564.19666,450.09049,-4.0259253,0.80880895,0.5455197,38854
30,9,-564.25118,450.15389,-4.0021523,0.86342207,0.54544895,38854
30,10,-564.30926,450.22142,-4.0021464,0.91789874,0.54476675,38854
30,11,-564.37088,450.29308,-4.0021401,0.97237542,0.5447668,38854
30,12,-564.43606,450.36887,-4.0021334,1.0268521,0.5447664,38854
30,13,-564.50479,450.44879,-4.0021264,1.0813287,0.5447655,38854
30,14,-564.57707,450.53284,-4.002119,1.1358052,0.544765,38854
30,15,-564.65291,450.62102,-4.0021112,1.1902817,0.544764,38854
30,16,-564.73229,450.71333,-4.0021031,1.244758,0.544762,38854
30,17,-564.81524,450.80977,-4.0020946,1.2992341,0.5447595,38854
30,18,-564.90173,450.91034,-4.0020857,1.3537099,0.544757,38854
30,19,-564.99178,451.01503,-4.0020765,1.4081855,0.5435425,38854
30,20,-565.08538,451.12386,-3.9958497,1.4624184,0.544041,38854
30,21,-565.1839,451.23556,-3.961585,1.5169937,0.546989,38854
30,22,-565.2924,451.3455,-3.9335363,1.5718162,0.546536,38854
30,23,-565.40472,451.4593,-3.9335238,1.6263009,0.544845,38854
30,24,-565.52088,451.57699,-3.9335109,1.6807852,0.5448405,38854
30,25,-565.64087,451.69855,-3.9334975,1.735269,0.5448355,38854
30,26,-565.76468,451.82398,-3.9334836,1.7897523,0.5448295,38854
30,27,-565.89233,451.95329,-3.9334694,1.8442349,0.5448225,38854
30,28,-566.0238,452.08648,-3.9334548,1.8987168,0.5421025,38854
30,29,-566.15911,452.22354,-3.913329,1.9526554,0.542876,38854
30,30,-566.30372,452.3587,-3.8774796,2.007292,0.5491115,38854
30,31,-566.4567,452.49292,-3.8617391,2.0624777,0.548396,38854
30,32,-566.61379,452.63074,-3.8617196,2.1169712,0.544929,38854
30,33,-566.77498,452.77214,-3.8616997,2.1714635,0.544917,38854
33,1,-549.44256,422.18073,-4.2460747,1.1409024,0.169171,38029
33,2,-549.49437,422.28364,-4.2459062,1.1634585,0.225561,38029
33,3,-549.54721,422.38856,-4.24579,1.1860146,0.2255615,38029
33,4,-549.60107,422.49549,-4.24579,1.2085708,0.2255625,38029
33,5,-549.65595,422.60443,-4.24579,1.2311271,0.225563,38029
33,6,-549.71184,422.71539,-4.24579,1.2536834,0.2255625,38029
33,7,-549.76874,422.82837,-4.24579,1.2762396,0.2255625,38029
33,8,-549.82666,422.94336,-4.24579,1.2987959,0.225563,38029
33,9,-549.88559,423.06036,-4.24579,1.3213522,0.2255625,38029
33,10,-549.94554,423.17938,-4.24579,1.3439084,0.2255625,38029
33,11,-550.00651,423.30041,-4.24579,1.3664647,0.225563,38029
33,12,-550.06848,423.42346,-4.24579,1.389021,0.2255605,38029
33,13,-550.13148,423.54852,-4.24579,1.4115768,0.225557,38029
33,14,-550.19548,423.67559,-4.24579,1.4341324,0.2255585,38029
33,15,-550.26051,423.80468,-4.24579,1.4566885,0.2255615,38029
33,16,-550.32654,423.93579,-4.24579,1.4792447,0.2255625,38029
33,17,-550.39359,424.06891,-4.24579,1.501801,0.2255625,38029
33,18,-550.46166,424.20404,-4.24579,1.5243572,0.225562,38029
33,19,-550.53074,424.34119,-4.24579,1.5469134,0.2255625,38029
33,20,-550.60084,424.48035,-4.24579,1.5694697,0.2255625,38029
33,21,-550.67195,424.62153,-4.24579,1.5920259,0.2255625,38029
33,22,-550.74407,424.76472,-4.24579,1.6145822,0.2255625,38029
33,23,-550.81721,424.90993,-4.24579,1.6371384,0.2255625,38029
33,24,-550.89136,425.05715,-4.24579,1.6596947,0.225563,38029
33,25,-550.96653,425.20638,-4.24579,1.682251,0.2255625,38029
33,26,-551.04272,425.35763,-4.24579,1.7048072,0.2255625,38029
33,27,-551.11992,425.5109,-4.24579,1.7273635,0.2255625,38029
33,28,-551.19813,425.66617,-4.24579,1.7499197,0.225562,38029
33,29,-551.27736,425.82347,-4.24579,1.7724759,0.2255625,38029
33,30,-551.3576,425.98277,-4.24579,1.7950322,0.2255645,38029
33,31,-551.43886,426.1441,-4.2457889,1.8175888,0.2255715,38029
33,32,-551.52113,426.30743,-4.2457843,1.8401465,0.225576,38029
