timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,3093.0,Rear-left,-9.93,39.36,-5.42,37.75,-20.92,-1.63,-0.1,-0.69,inf,23.14,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,3094.0,Front-right,11.51,-28.58,7.0,-26.97,-4.78,-0.0,-0.05,-0.26,1.47,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,3096.0,Front-right,6.09,-43.24,1.58,-41.63,-3.05,0.42,0.0,-1.93,0.52,99.87,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,3097.0,Front-right,11.96,-14.63,7.45,-13.02,-6.88,9.27,-4.89,-0.36,1.08,1.4,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,3099.0,Front-right,7.22,-9.55,2.71,-7.94,-3.25,-6.77,3.25,-0.2,0.83,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,3100.0,Right,-1.86,-45.03,0.0,-43.42,-3.99,0.18,-0.03,-1.4,0.0,243.67,Exact longitudinal alignment or co. Obstacle is driving toward the ego car laterally from the right.
1.0,3101.0,Rear-right,-13.39,-2.47,-8.88,-0.86,0.64,1.16,-0.05,-0.9,13.83,0.74,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
1.0,3102.0,Front-right,17.75,-33.71,13.25,-32.1,-10.25,5.41,0.15,-0.13,1.29,5.93,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,3103.0,Rear-right,-11.63,-47.2,-7.12,-45.59,-2.67,0.44,-0.06,0.07,inf,102.59,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,3104.0,Rear-right,-23.92,-49.77,-19.41,-48.16,-0.72,0.85,-0.06,1.66,inf,56.8,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,3105.0,Rear-right,-35.49,-52.19,-30.98,-50.58,-0.61,0.87,-0.05,0.07,inf,58.07,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,3106.0,Rear-right,-45.65,-9.37,-41.14,-7.76,8.19,2.84,-0.07,1.25,5.03,2.73,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
1.0,3107.0,Rear-left,-23.29,33.2,-18.78,31.59,16.95,4.65,-0.08,2.48,1.11,inf,Obstacle is driving toward the ego car from behind. Obstacle is moving away laterally to the left.
1.0,3108.0,Rear-right,-54.57,-11.32,-50.07,-9.71,3.8,1.88,-0.03,-1.7,13.19,5.17,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
2.0,3093.0,Rear-left,-11.36,39.31,-6.85,37.7,-20.85,-2.07,-0.05,-0.04,inf,18.24,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,3094.0,Front-right,10.56,-28.77,6.05,-27.16,-4.74,-0.0,-0.06,-0.35,1.28,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
2.0,3096.0,Front-right,5.08,-43.29,0.57,-41.68,-2.86,0.43,-0.02,-1.67,0.2,98.06,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,3097.0,Front-right,11.05,-13.93,6.54,-12.32,-6.58,8.82,-5.06,-0.45,0.99,1.4,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,3099.0,Front-right,6.72,-10.33,2.21,-8.72,-3.37,-6.54,2.86,-0.29,0.66,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
2.0,3100.0,Right,-2.99,-44.98,0.0,-43.37,-3.83,0.19,-0.04,-1.6,0.0,229.93,Exact longitudinal alignment or co. Obstacle is driving toward the ego car laterally from the right.
2.0,3101.0,Rear-right,-13.36,-2.14,-8.86,-0.53,0.76,1.08,-0.05,-1.87,11.69,0.49,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
2.0,3102.0,Front-right,16.29,-33.44,11.78,-31.83,-9.47,6.08,0.06,-0.28,1.24,5.24,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,3103.0,Rear-right,-12.68,-46.96,-8.17,-45.35,-2.68,0.4,-0.06,-0.34,inf,113.41,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,3104.0,Rear-right,-24.82,-49.29,-20.31,-47.68,-0.81,0.75,-0.07,1.49,inf,63.26,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,3105.0,Rear-right,-36.41,-51.52,-31.9,-49.91,-0.64,0.79,-0.07,0.85,inf,63.46,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,3106.0,Rear-right,-44.99,-8.35,-40.48,-6.74,8.04,2.58,-0.1,1.99,5.03,2.61,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
2.0,3107.0,Rear-left,-21.07,34.0,-16.56,32.39,16.68,4.22,-0.09,2.77,0.99,inf,Obstacle is driving toward the ego car from behind. Obstacle is moving away laterally to the left.
2.0,3108.0,Rear-right,-54.36,-10.25,-49.85,-8.64,4.03,1.77,-0.04,-2.1,12.38,4.88,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
3.0,3093.0,Rear-left,-17.9,37.29,-13.39,35.68,-20.29,-4.33,-0.25,-1.3,inf,8.23,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,3094.0,Front-right,13.36,-27.34,8.85,-25.73,-4.65,-0.0,-0.24,-0.76,1.9,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
3.0,3096.0,Front-right,9.8,-42.34,5.29,-40.73,-2.7,0.7,-0.19,-1.98,1.96,58.43,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
3.0,3097.0,Front-right,11.84,-11.73,7.33,-10.12,-7.35,8.08,-5.23,-0.86,1.0,1.25,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
3.0,3099.0,Front-right,7.6,-10.08,3.09,-8.47,-2.63,-6.05,2.38,-0.71,1.18,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
3.0,3100.0,Right,1.88,-44.99,0.0,-43.38,-3.64,0.34,-0.21,-2.21,0.0,128.64,Exact longitudinal alignment or co. Obstacle is driving toward the ego car laterally from the right.
3.0,3101.0,Rear-right,-12.97,-3.51,-8.46,-1.9,0.75,1.73,-0.22,-2.47,11.2,1.1,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
3.0,3102.0,Front-right,19.13,-30.76,14.62,-29.15,-9.54,5.98,0.39,-0.5,1.53,4.87,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
