timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,30655.0,Front-right,24.44,-18.85,19.93,-17.24,-16.2,-11.02,2.19,3.34,1.23,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,30656.0,Rear-right,-5.51,-59.26,-1.0,-57.65,-4.65,4.52,0.8,-0.38,inf,12.75,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30658.0,Rear-left,-13.79,3.65,-9.28,2.04,-7.11,-10.6,0.08,1.72,inf,0.19,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,30659.0,Rear-left,-21.02,6.39,-16.51,4.78,-8.1,5.98,3.05,-0.21,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
2.0,30655.0,Front-right,22.32,-20.47,17.82,-18.86,-16.48,-10.66,3.32,2.77,1.08,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
2.0,30656.0,Rear-right,-7.3,-58.7,-2.79,-57.09,-4.26,4.24,2.39,-1.0,inf,13.47,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,30658.0,Rear-left,-14.38,3.02,-9.87,1.41,-6.25,-9.58,0.42,2.38,inf,0.15,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,30659.0,Rear-left,-21.65,7.31,-17.14,5.7,-6.93,4.8,3.43,-0.96,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
3.0,30655.0,Front-right,20.24,-21.91,15.74,-20.3,-16.69,-10.28,2.78,3.08,0.94,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
3.0,30656.0,Rear-right,-8.81,-58.16,-4.3,-56.55,-3.99,4.0,1.76,-0.66,inf,14.13,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
3.0,30658.0,Rear-left,-14.93,2.47,-10.42,0.86,-5.34,-8.36,0.49,0.57,inf,0.1,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,30659.0,Rear-left,-22.25,7.99,-17.74,6.38,-6.29,3.09,-1.02,-0.15,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
