timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,30420.0,Front-right,17.82,-15.19,13.31,-13.58,-8.68,0.0,0.0,-0.0,1.53,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,30422.0,Front-left,44.74,44.17,40.23,42.56,-10.74,6.94,-0.49,-0.49,3.75,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
1.0,30423.0,Front-left,34.13,18.64,29.62,17.03,-8.68,-0.0,0.0,-0.0,3.41,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,30424.0,Front-right,12.02,-19.9,7.51,-18.29,-8.67,0.01,-0.01,0.0,0.87,2400.0,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30425.0,Front-left,46.03,26.57,41.52,24.96,-4.97,6.79,-0.13,-0.0,8.36,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
1.0,30426.0,Front-right,45.72,-9.53,41.22,-7.92,-8.68,0.0,0.0,-0.0,4.75,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,30427.0,Front-left,39.32,25.09,34.81,23.48,-9.0,-0.8,1.04,0.11,3.87,29.37,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,30428.0,Front-left,39.03,5.33,34.52,3.72,-12.14,5.42,0.06,0.1,2.84,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
1.0,30429.0,Front-right,42.5,-15.47,38.0,-13.86,1.21,-4.4,0.17,-2.11,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
1.0,30430.0,Front-right,6.65,-25.31,2.15,-23.7,-8.59,0.09,-0.13,0.03,0.25,255.34,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30431.0,Front-left,41.58,42.73,37.07,41.12,-8.68,-0.0,0.0,-0.0,4.27,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,30432.0,Front-left,39.75,51.03,35.24,49.42,-8.55,-0.98,0.57,0.41,4.12,50.55,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,30433.0,Front-left,38.65,61.35,34.14,59.74,-8.4,-2.49,1.51,1.05,4.06,24.02,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,30434.0,Front-left,36.96,73.2,32.45,71.59,-8.12,-3.71,0.83,0.63,4.0,19.27,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,30436.0,Front-right,5.79,-14.79,1.28,-13.18,-14.88,-7.69,-1.67,0.3,0.09,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,30438.0,Front-right,14.37,-3.5,9.87,-1.89,-1.02,-5.5,-0.16,-1.28,9.71,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,30440.0,Front-right,71.97,-31.13,67.46,-29.52,-8.68,0.0,0.0,-0.0,7.78,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,30441.0,Behind,-14.83,0.22,-10.32,0.0,-0.51,-0.21,0.25,-0.49,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
1.0,30442.0,Right,0.91,-31.77,0.0,-30.16,-7.96,0.84,-0.78,0.17,0.0,36.03,Exact longitudinal alignment or co. Obstacle is driving toward the ego car laterally from the right.
1.0,30443.0,Behind,-28.88,0.74,-24.37,0.0,-1.24,-0.33,0.65,-1.33,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
1.0,30444.0,Rear-right,-5.52,-39.49,-1.01,-37.88,-7.21,1.77,-0.89,0.17,inf,21.38,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30445.0,Front-right,80.56,-36.6,76.05,-34.99,-10.67,1.28,-0.08,-1.14,7.13,27.41,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
