obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
30276,1,282.5054,323.5874,-2.617,7.4164,0.0198,313
30277,1,243.1013,282.8682,-4.0442,0.0,0.0,328
30278,1,211.7374,319.9945,-0.9057,8.2507,-1.1769,324
30279,1,165.1845,385.0024,-0.9832,8.2374,-1.0301,324
30280,1,298.8413,333.0478,-2.614,7.4742,0.6828,313
30281,1,237.7615,290.1555,0.6067,6.3861,1.6152,1515
30282,1,221.9307,307.0048,-0.9053,7.7173,0.1851,324
30283,1,338.6602,366.5706,-2.092,7.6033,-0.2408,313
30284,1,248.4635,276.0737,2.2389,1.0782,-1.2143,328
30285,1,294.0763,278.7159,2.1697,16.1619,-0.2199,322
30286,1,150.4861,407.0705,-0.9832,7.0365,0.9042,324
30288,1,308.9189,256.9737,2.1697,10.4991,1.1573,-1
30276,2,281.8633,323.2134,-2.6141,7.4418,0.4127,313
30277,2,243.1013,282.8682,-4.0442,0.0,0.0,328
30278,2,212.2489,319.3424,-0.9056,8.2887,0.0511,324
30279,2,165.642,384.3155,-0.9832,8.2567,0.1213,324
30280,2,298.1995,332.6744,-2.6147,7.4294,0.205,313
30281,2,238.2967,290.5259,0.6055,6.5556,1.8632,1521
30282,2,222.4077,306.3971,-0.9053,7.7064,-0.7744,324
30283,2,338.274,365.9184,-2.1054,7.6047,0.6386,313
30284,2,248.4012,276.1527,2.2389,0.9858,-0.8236,328
30285,2,293.1655,280.0499,2.1698,16.1449,-0.3102,322
30286,2,150.8753,406.4862,-0.9832,7.0309,0.4022,324
30288,2,308.3206,257.8501,2.1697,10.6462,1.3881,322
30276,3,281.2233,322.8359,-2.6086,7.449,0.6502,313
30277,3,243.0972,282.8734,-4.0442,0.1327,2.6559,328
30278,3,212.7572,318.6944,-0.9055,8.2342,-0.0811,324
30279,3,166.0988,383.6296,-0.9832,8.2398,-0.0261,324
30280,3,297.5541,332.2994,-2.6152,7.4629,-0.0573,313
30281,3,238.8447,290.9045,0.6045,6.7037,1.6987,1521
30282,3,222.8849,305.789,-0.9053,7.7102,-0.7632,324
