timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,33.0,Behind,-10.22,-0.04,-5.72,0.0,1.27,0.01,0.51,1.19,4.5,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
1.0,345.0,Behind,-21.66,-0.23,-17.15,0.0,0.5,0.11,0.02,0.06,34.53,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
1.0,350.0,Front-right,54.53,-22.1,50.03,-20.49,-0.83,-0.0,-0.0,0.0,60.64,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,358.0,Front-right,55.42,-14.74,50.91,-13.13,-0.83,-0.0,-0.0,0.0,61.71,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,367.0,Front-right,56.44,-7.31,51.93,-5.7,-0.83,-0.0,-0.0,0.0,62.94,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,369.0,Rear-left,-39.4,28.55,-34.89,26.94,-0.79,0.61,-0.2,0.1,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
1.0,374.0,Front,57.5,0.12,52.99,0.0,-0.83,-0.0,-0.0,0.0,64.18,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
1.0,378.0,Front,6.94,0.28,2.44,0.0,4.66,-1.03,-0.06,-0.09,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
1.0,380.0,Front-left,21.69,5.33,17.18,3.72,-2.07,-8.92,-0.43,0.26,8.28,0.42,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,383.0,Front-left,23.57,18.76,19.07,17.15,-1.63,-5.53,-3.28,2.02,11.73,3.1,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,33.0,Behind,-10.09,-0.01,-5.58,0.0,1.45,0.0,0.73,1.72,3.85,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
2.0,345.0,Behind,-21.61,-0.14,-17.1,0.0,0.51,0.1,0.06,0.17,33.57,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
2.0,350.0,Front-right,54.37,-22.31,49.86,-20.7,-0.83,-0.0,-0.0,0.0,60.43,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
2.0,358.0,Front-right,55.28,-14.95,50.78,-13.34,-0.83,-0.0,-0.0,0.0,61.54,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
2.0,367.0,Front-right,56.33,-7.53,51.82,-5.92,-0.83,-0.0,-0.0,0.0,62.8,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
2.0,369.0,Rear-left,-39.37,28.76,-34.86,27.15,-0.79,0.64,-0.19,0.1,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
2.0,374.0,Front,57.41,-0.1,52.91,0.0,-0.83,-0.0,-0.0,0.0,64.08,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
2.0,378.0,Front,7.41,0.15,2.9,0.0,4.59,-1.13,-0.72,-1.03,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
2.0,380.0,Front-left,21.5,4.36,16.99,2.75,-2.1,-8.86,-0.59,0.36,8.09,0.31,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,383.0,Front-left,23.49,18.15,18.98,16.54,-1.57,-5.01,-4.42,2.72,12.08,3.3,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,33.0,Behind,-9.93,0.03,-5.43,0.0,1.64,-0.0,0.8,1.89,3.3,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
3.0,345.0,Behind,-21.56,-0.06,-17.05,0.0,0.53,0.1,0.1,0.3,31.98,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
3.0,350.0,Front-right,54.21,-22.49,49.7,-20.88,-0.83,-0.0,-0.0,0.0,60.24,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
