obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
30200,1,11.0089,108.7737,0.1572,4.3649,1.3862,1366
30200,2,11.4222,108.8620,0.2104,4.5114,1.8452,1366
30200,3,11.8525,108.9752,0.2573,4.6651,1.4780,1366
30200,4,12.2941,109.1108,0.2979,4.7774,1.0993,1366
30200,5,12.7281,109.2715,0.3544,4.9395,1.7689,1366
30200,6,13.1687,109.4638,0.4116,5.0936,1.5264,1366
30200,7,13.6172,109.6863,0.4606,5.2094,1.0217,1365
30200,8,14.0592,109.9375,0.5166,5.3746,1.8096,1365
30200,9,14.4974,110.2231,0.5777,5.5275,1.3005,1365
30200,10,14.9390,110.5446,0.6292,5.6910,1.8248,1578
30200,11,15.3622,110.8956,0.6923,5.8336,1.6949,1578
30200,12,15.7743,111.2865,0.7589,6.0203,1.9128,1578
30200,13,16.1815,111.7178,0.8141,6.1537,1.0198,1578
30200,14,16.5826,112.1833,0.8595,6.3196,1.7830,1578
30200,15,16.9771,112.6768,0.8964,6.4296,1.0592,1578
30200,16,17.3668,113.1955,0.9264,6.5689,1.0147,1578
30200,17,17.7483,113.7192,0.9412,6.7191,1.4461,1578
30200,18,18.1373,114.2641,0.9508,6.8833,1.7698,453
30200,19,18.5316,114.8369,0.9679,7.0227,1.7746,1580
30200,20,18.9277,115.4297,0.9816,7.1898,1.7121,1580
30200,21,19.3363,116.0362,0.9779,7.3686,1.7706,1580
30200,22,19.7573,116.6526,0.9715,7.5162,1.6846,1580
30200,23,20.1889,117.2778,0.9665,7.6449,1.5767,1580
30200,24,20.6354,117.9118,0.9572,7.7894,1.1390,1580
30200,25,21.0959,118.5548,0.9492,7.9494,1.4875,1580
30200,26,21.5685,119.2060,0.9430,8.0811,1.3150,1580
30200,27,22.0524,119.8639,0.9366,8.1961,1.0715,1580
30200,28,22.5502,120.5274,0.9271,8.3432,1.7414,1580
30200,29,23.0626,121.2000,0.9198,8.4847,1.0184,455
30200,30,23.5884,121.8825,0.9143,8.6546,1.4827,455
30200,31,24.1265,122.5750,0.9101,8.8071,1.4179,455
30200,32,24.6765,123.2783,0.9070,8.9549,1.0393,455
30200,33,25.2462,123.9830,0.8909,9.1209,1.7111,455
30200,34,25.8382,124.6925,0.8754,9.2929,1.6133,455
30200,35,26.4480,125.4065,0.8639,9.4329,1.4490,455
30200,36,27.0744,126.1276,0.8555,9.5918,1.4450,455
30200,37,27.7142,126.8549,0.8493,9.7338,1.7964,455
30200,38,28.3655,127.5887,0.8448,9.8395,1.0505,455
30200,39,29.0279,128.3301,0.8416,9.9756,1.2713,455
30200,40,29.7051,129.0766,0.8340,10.1102,1.0388,455
30200,41,30.4017,129.8253,0.8214,10.2672,1.3234,455
30200,42,31.1161,130.5794,0.8124,10.4265,1.3569,455
30200,43,31.8446,131.3386,0.8060,10.5664,1.7009,455
30200,44,32.5868,132.1050,0.8014,10.7162,1.8021,455
30200,45,33.3426,132.8804,0.7982,10.8638,1.3809,455
30200,46,34.1119,133.6661,0.7959,11.0352,1.5501,455
30200,47,34.8909,134.4591,0.7943,11.1468,1.1596,455
30200,48,35.6803,135.2610,0.7932,11.2878,1.3899,455
30200,49,36.4792,136.0712,0.7924,11.4124,1.2812,455
30200,50,37.2929,136.8849,0.7854,11.5541,1.7192,455
30200,51,38.1251,137.7032,0.7769,11.7065,1.2775,455
30200,52,38.9716,138.5260,0.7711,11.8376,1.1932,455
30200,53,39.8294,139.3531,0.7672,11.9441,1.0766,455
30200,54,40.7007,140.1887,0.7644,12.1190,1.8215,455
30200,55,41.5862,141.0348,0.7626,12.2925,1.7121,455
30200,56,42.4839,141.8904,0.7614,12.4443,1.6905,455
30200,57,43.3911,142.7536,0.7605,12.5543,1.2331,455
30200,58,44.3094,143.6265,0.7599,12.7112,1.6172,455
30200,59,45.2389,144.5092,0.7596,12.8481,1.1184,455
30200,60,46.1781,145.4007,0.7593,12.9916,1.6644,455
30200,61,47.1210,146.2955,0.7592,12.9993,-0.0339,455
30200,62,48.0629,147.1891,0.7590,12.9864,0.0841,455
30200,63,49.0043,148.0821,0.7590,12.9752,-0.0603,455
30200,64,49.9457,148.9751,0.7589,12.9718,-0.1934,455
30200,65,50.8884,149.8691,0.7589,13.0028,0.3721,455
30200,66,51.8311,150.7632,0.7589,12.9804,-0.5182,455
30200,67,52.7654,151.6648,0.7676,12.9938,0.2053,455
30200,68,53.6937,152.5744,0.7751,13.0063,0.2374,455
30200,69,54.6162,153.4873,0.7801,12.9861,0.2359,455
30200,70,55.5356,154.4030,0.7834,12.9719,-0.2222,455
30200,71,56.4531,155.3208,0.7855,12.9902,0.4552,455
30200,72,57.3701,156.2408,0.7870,13.0048,0.5786,455
30200,73,58.2971,157.1445,0.7726,12.9706,0.1649,455
30200,74,59.2459,158.0291,0.7503,12.9771,-0.5550,455
30200,75,60.2078,158.8999,0.7357,12.9878,0.1663,455
30201,1,13.3749,99.3314,1.4255,5.4829,2.3013,451
30201,2,13.4618,99.8805,1.4137,5.6554,2.0520,451
30201,3,13.5771,100.4342,1.3654,5.8566,1.7859,451
30201,4,13.7235,100.9986,1.3170,6.0498,1.7964,1579
30201,5,13.9102,101.5501,1.2444,6.2006,1.5810,1579
30201,6,14.1403,102.0965,1.1721,6.3316,1.3768,1579
30201,7,14.4181,102.6136,1.0777,6.4619,1.3116,1579
30201,8,14.7502,103.1092,0.9803,6.6301,1.3118,1579
30201,9,15.1410,103.5746,0.8723,6.8397,2.3469,1579
30201,10,15.5874,103.9937,0.7539,7.0502,2.2450,1579
30201,11,16.1042,104.3806,0.6426,7.2197,2.0226,1579
30201,12,16.6589,104.6902,0.5090,7.4225,2.0665,1577
30201,13,17.2974,104.9612,0.4014,7.6261,2.1104,1577
30201,14,17.9784,105.1655,0.2914,7.8384,1.8603,1577
30201,15,18.7065,105.3046,0.1886,8.0153,1.8778,1577
30201,16,19.4860,105.3895,0.1085,8.2038,1.3513,1577
30201,17,20.2724,105.4008,0.0143,8.3971,1.6772,1577
30201,18,21.0803,105.3394,-0.0757,8.5491,1.6802,1577
30201,19,21.9211,105.2169,-0.1447,8.7853,2.2969,1577
30201,20,22.7849,105.0444,-0.1970,8.9775,1.5472,1577
30201,21,23.6645,104.8328,-0.2361,9.1754,2.2865,491
30201,22,24.5551,104.5909,-0.2651,9.2994,1.2632,491
30201,23,25.4565,104.3252,-0.2866,9.4505,1.2823,491
30201,24,26.3713,104.0398,-0.3024,9.6456,2.0644,491
30201,25,27.3032,103.7372,-0.3140,9.8482,1.7502,491
30201,26,28.2503,103.4187,-0.3243,10.0591,2.4260,491
30201,27,29.2078,103.0794,-0.3406,10.2247,1.9968,491
30201,28,30.1751,102.7132,-0.3618,10.4189,2.0900,491
30201,29,31.1575,102.3237,-0.3775,10.6294,1.8329,491
30201,30,32.1523,101.9163,-0.3886,10.7939,1.3714,491
30201,31,33.1584,101.4950,-0.3965,10.9599,1.7571,491
30201,32,34.1801,101.0606,-0.4020,11.1450,1.4604,491
30201,33,35.2188,100.6142,-0.4059,11.3598,1.9280,491
30201,34,36.2713,100.1585,-0.4086,11.5095,1.4099,491
30201,35,37.3356,99.6953,-0.4104,11.6480,1.4059,1603
30201,36,38.4117,99.2222,-0.4142,11.8723,2.2574,1603
30201,37,39.5065,98.7365,-0.4175,12.0394,2.0510,1603
30201,38,40.6197,98.2437,-0.4167,12.2291,1.7555,1603
30201,39,41.7486,97.7442,-0.4165,12.4106,2.2767,1603
30201,40,42.8937,97.2373,-0.4167,12.5617,1.4899,1603
30201,41,44.0543,96.7234,-0.4168,12.7284,1.3168,1603
30201,42,45.2296,96.2028,-0.4169,12.8920,1.4109,1603
30201,43,46.4217,95.6747,-0.4170,13.0927,2.0987,1603
30201,44,47.6311,95.1390,-0.4170,13.2805,2.0171,532
30201,45,48.8554,94.5964,-0.4171,13.4388,1.8069,532
30202,1,1.1029,109.3995,-0.1184,3.2675,0.9680,133
30202,2,1.4379,109.3596,-0.1184,3.4164,1.7248,133
30202,3,1.7886,109.3179,-0.1184,3.5841,2.1216,133
30202,4,2.1566,109.2741,-0.1184,3.7550,1.9703,133
30202,5,2.5401,109.2284,-0.1184,3.9128,2.0382,133
30202,6,2.9405,109.1808,-0.1184,4.0836,2.0861,133
30202,7,3.3600,109.1309,-0.1184,4.2607,1.4678,133
30202,8,3.7987,109.0787,-0.1184,4.4663,1.9585,133
30202,9,4.2258,109.0279,-0.1184,4.1999,-4.0067,133
30202,10,4.6080,108.9824,-0.1184,3.7314,-4.6849,133
30202,11,4.9437,108.9425,-0.1184,3.2629,-4.6849,133
30202,12,5.2329,108.9081,-0.1183,2.7944,-4.6849,133
30202,13,5.4752,108.8793,-0.1183,2.3221,-4.7249,133
30202,14,5.6706,108.8560,-0.1183,1.8489,-4.7349,133
30202,15,5.8189,108.8384,-0.1183,1.3742,-4.7516,133
30202,16,5.9198,108.8264,-0.1183,0.8967,-4.7849,133
30202,17,5.9728,108.8200,-0.1183,0.4115,-4.8849,133
30202,18,5.9806,108.8191,-0.1183,0.0,-3.1469,133
30202,19,5.9806,108.8191,-0.1183,0.0,0.0,133
30202,20,5.9806,108.8191,-0.1183,0.0,0.0,133
30202,21,5.9806,108.8191,-0.1183,0.0,0.0,133
