timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,30200.0,Front-left,21.3,3.32,16.79,1.71,-3.44,-4.2,1.47,1.09,4.88,0.41,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,30201.0,Front,12.19,-0.13,7.69,0.0,0.86,-0.16,0.44,3.15,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
1.0,30202.0,Front-left,20.76,13.23,16.26,11.62,-4.63,-3.27,1.06,0.76,3.51,3.56,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,30203.0,Front-left,20.78,22.86,16.28,21.25,-4.63,-2.44,1.59,0.7,3.52,8.7,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,30204.0,Front-left,20.81,32.33,16.3,30.72,-4.63,-2.02,0.18,0.86,3.52,15.17,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,30206.0,Behind,-17.04,-0.01,-12.53,0.0,2.69,0.0,0.02,0.15,4.66,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
1.0,30207.0,Behind,-105.55,-0.59,-101.04,0.0,12.64,0.3,0.11,0.98,7.99,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
1.0,30208.0,Front-left,20.82,41.69,16.31,40.08,-4.62,-1.88,0.47,0.83,3.53,21.27,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,30209.0,Behind,-57.05,-0.02,-52.54,0.0,9.14,0.0,0.02,0.17,5.75,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
2.0,30200.0,Front-left,20.96,2.94,16.45,1.33,-2.96,-4.27,1.94,1.55,5.56,0.31,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,30201.0,Front,12.28,-0.14,7.77,0.0,1.24,-0.22,0.46,3.19,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
2.0,30202.0,Front-left,20.28,12.92,15.77,11.31,-4.42,-3.42,1.85,0.96,3.57,3.31,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,30203.0,Front-left,20.29,22.63,15.78,21.02,-4.42,-2.58,2.22,0.92,3.57,8.13,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,30204.0,Front-left,20.3,32.14,15.8,30.53,-4.42,-2.08,0.2,1.16,3.57,14.71,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,30206.0,Behind,-16.78,-0.02,-12.27,0.0,2.88,0.01,0.18,1.54,4.26,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
2.0,30207.0,Behind,-104.29,-0.67,-99.78,0.0,12.81,0.32,0.14,1.15,7.79,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
2.0,30208.0,Front-left,20.3,41.52,15.8,39.91,-4.41,-1.88,-0.0,1.18,3.58,21.18,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,30209.0,Behind,-56.14,-0.08,-51.63,0.0,9.38,0.02,0.28,2.34,5.5,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
3.0,30200.0,Front-left,20.67,2.54,16.16,0.93,-2.56,-4.34,1.53,1.18,6.31,0.21,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,30201.0,Front,12.39,-0.18,7.88,0.0,1.56,-0.51,0.46,2.55,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
3.0,30202.0,Front-left,19.82,12.57,15.31,10.96,-4.27,-3.58,2.2,0.55,3.58,3.06,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,30203.0,Front-left,19.83,22.38,15.32,20.77,-4.28,-2.69,1.13,0.68,3.58,7.71,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,30204.0,Front-left,19.84,31.93,15.33,30.32,-4.28,-2.17,0.42,0.77,3.58,13.96,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,30206.0,Behind,-16.51,-0.03,-12.0,0.0,2.98,0.01,0.09,0.75,4.03,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
3.0,30207.0,Behind,-103.02,-0.68,-98.51,0.0,13.0,0.33,0.13,1.19,7.58,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
3.0,30208.0,Front-left,19.84,41.34,15.33,39.73,-4.27,-1.91,0.34,0.78,3.59,20.79,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,30209.0,Behind,-55.22,-0.1,-50.71,0.0,9.48,0.02,0.08,0.67,5.35,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
4.0,30200.0,Front-left,20.42,2.11,15.91,0.5,-2.16,-4.37,1.17,1.29,7.35,0.11,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
