obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
30227,1,-220.1235,149.4505,-2.0881,0.0,0.0,382
30228,1,-214.0213,138.9736,-3.4535,0.0,0.0,354
30229,1,-215.8263,157.061,-2.0781,1.1784,-0.8086,382
30230,1,-210.5683,166.8155,-2.0537,3.0161,-0.9638,351
30231,1,-186.0264,211.9451,-2.1321,7.8555,-0.9237,351
30232,1,-183.0872,129.8745,2.8765,12.5572,0.019,354
30233,1,-187.8038,127.5598,2.8894,16.9775,-0.569,353
30235,1,-155.5908,125.5475,3.0166,11.3715,0.5718,354
30236,1,-140.6771,123.1994,2.9605,9.9782,1.5154,1748
30227,2,-220.1235,149.4505,-2.0881,0.0,0.0,382
30228,2,-214.0213,138.9736,-3.4535,0.0,0.0,354
30229,2,-215.8801,156.9643,-2.0785,1.0884,-0.7322,382
30230,2,-210.7023,166.5605,-2.0545,2.8432,-1.4061,351
30231,2,-186.4439,211.2771,-2.1293,7.877,-0.0316,351
30232,2,-184.2854,130.2018,2.8749,12.3278,-3.7245,354
30233,2,-189.4489,127.994,2.8835,17.0171,0.032,353
30235,2,-156.7158,125.6832,3.0215,11.3414,0.343,354
30236,2,-141.6654,123.3803,2.9605,10.0343,-0.4418,1748
30227,3,-220.1235,149.4505,-2.0881,0.0,0.0,382
30228,3,-214.0213,138.9736,-3.4535,0.0,0.0,354
30229,3,-215.9291,156.8764,-2.0788,0.9882,-0.764,382
30230,3,-210.8314,166.3152,-2.0552,2.7344,-1.3802,351
30231,3,-186.8605,210.6075,-2.1272,7.8791,-0.3239,351
30232,3,-185.4422,130.5159,2.8764,11.8702,-4.6835,354
30233,3,-191.0832,128.4511,2.8688,16.9814,0.2101,353
30235,3,-157.842,125.812,3.0277,11.3578,0.7932,354
30236,3,-142.657,123.5617,2.9605,10.0692,-0.3745,1748
30227,4,-220.1235,149.4505,-2.0881,0.0,0.0,382
30228,4,-214.0213,138.9736,-3.4535,0.0,0.0,354
30229,4,-215.974,156.7958,-2.0791,0.9056,-0.6493,382
30230,4,-210.9557,166.0792,-2.0557,2.6315,-1.3454,351
30231,4,-187.2748,209.9389,-2.1256,7.8761,0.3885,351
30232,4,-186.5607,130.8161,2.8793,11.5017,-3.1797,354
30233,4,-192.7035,128.9194,2.8602,16.7205,-5.8847,353
30235,4,-158.9699,125.933,3.0347,11.3629,0.6377,354
30236,4,-143.6537,123.7441,2.9605,10.13,-0.0168,1748
30227,5,-220.1235,149.4505,-2.0881,0.0,0.0,382
30228,5,-214.0213,138.9736,-3.4535,0.0,0.0,354
30229,5,-216.0157,156.721,-2.0793,0.8348,-0.8772,382
30230,5,-211.0727,165.8574,-2.0563,2.4845,-0.8124,351
30231,5,-187.6896,209.2679,-2.1244,7.8869,-0.0529,351
30232,5,-187.6407,131.1037,2.8813,11.068,-4.3844,354
30233,5,-194.2688,129.3805,2.8551,16.1706,-5.9153,353
30235,5,-160.0999,126.0456,3.0422,11.3384,-0.8434,354
30236,5,-144.6586,123.9281,2.9605,10.2297,0.6249,1748
30227,6,-220.1235,149.4505,-2.0881,0.0,0.0,382
30228,6,-214.0213,138.9736,-3.4535,0.0,0.0,354
30229,6,-216.0535,156.6533,-2.0796,0.7572,-0.7615,382
30230,6,-211.1856,165.6438,-2.0567,2.3848,-1.1763,351
30231,6,-188.102,208.5993,-2.1234,7.857,0.0475,351
30232,6,-188.6759,131.386,2.8753,10.6404,-3.7187,354
30233,6,-195.7761,129.8294,2.8521,15.5791,-5.9153,353
30235,6,-161.2292,126.1491,3.0502,11.3493,0.2364,354
30236,6,-145.6631,124.1047,2.9675,10.2057,0.1456,1748
30227,7,-220.1235,149.4505,-2.0881,0.0,0.0,382
30228,7,-214.0213,138.9736,-3.4535,0.0,0.0,354
30229,7,-216.0882,156.591,-2.0798,0.6907,-0.9018,382
30230,7,-211.2916,165.4433,-2.0571,2.2317,-1.3363,351
30231,7,-188.5199,207.9307,-2.1294,7.8674,-0.7769,351
30232,7,-189.6735,131.667,2.867,10.2676,-3.9903,354
30233,7,-197.226,130.2641,2.8503,14.9876,-5.9153,353
30235,7,-162.3599,126.2449,3.057,11.374,1.0177,354
30236,7,-146.6701,124.2721,2.9769,10.2067,-0.1262,1748
30227,8,-220.1235,149.4505,-2.0881,0.0,0.0,382
30228,8,-214.0213,138.9736,-3.4535,0.0,0.0,354
30229,8,-216.1199,156.5343,-2.0799,0.6366,-0.5295,382
30230,8,-211.393,165.2517,-2.0574,2.1419,-0.947,351
30231,8,-188.9406,207.2649,-2.1343,7.884,0.2306,351
30232,8,-190.6314,131.9428,2.8612,9.8484,-4.8652,354
30233,8,-198.6187,130.6833,2.8492,14.396,-5.9153,353
30235,8,-163.4903,126.3384,3.059,11.3309,-0.4822,354
30236,8,-147.685,124.4337,2.9836,10.2851,0.3319,1748
30227,9,-220.1235,149.4505,-2.0881,0.0,0.0,382
30228,9,-214.0213,138.9736,-3.4535,0.0,0.0,354
30229,9,-216.1489,156.4823,-2.0801,0.5845,-0.4342,382
30230,9,-211.4891,165.0702,-2.058,2.0294,-0.9312,351
30231,9,-189.3641,206.6002,-2.138,7.8595,-0.9311,351
30232,9,-191.5506,132.2115,2.8572,9.4953,-3.2875,354
30233,9,-199.9549,131.0864,2.8485,13.8077,-5.9153,353
30235,9,-164.6212,126.4337,3.0576,11.3614,0.516,354
30236,9,-148.7034,124.591,2.9883,10.3072,0.1103,1748
30227,10,-220.1235,149.4505,-2.0881,0.0,0.0,382
30228,10,-214.0213,138.9736,-3.4535,0.0,0.0,354
30229,10,-216.1752,156.4352,-2.0802,0.5263,-0.5281,382
30230,10,-211.5797,164.8997,-2.0587,1.9216,-0.3382,351
30231,10,-189.7901,205.9357,-2.1409,7.9061,0.4891,351
30232,10,-192.4298,132.4712,2.8544,9.0655,-4.126,354
30233,10,-201.2329,131.477,2.845,13.2161,-5.9153,353
30235,10,-165.7589,126.5405,3.0479,11.3283,-0.0118,354
30236,10,-149.7247,124.7452,2.9917,10.3242,-0.1191,1748
30227,11,-220.1235,149.4505,-2.0881,0.0,0.0,382
