obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
30294,1,-391.3200,227.1905,2.5476,5.3240,-0.1184,1982
30294,2,-391.7618,227.4881,2.5487,5.3152,-0.3333,1982
30294,3,-392.2030,227.7846,2.5497,5.3044,-0.3283,1981
30294,4,-392.6460,228.0819,2.5505,5.3109,-0.8305,1981
30294,5,-393.0920,228.3811,2.5507,5.3137,-0.0540,1981
30294,6,-393.5232,228.6868,2.5249,5.3266,-0.2993,1981
30294,7,-393.9510,229.0017,2.5070,5.3480,0.4617,1981
30294,8,-394.3775,229.3233,2.4954,5.3477,-0.2193,1981
30294,9,-394.8025,229.6480,2.4892,5.3365,-0.6779,1981
30294,10,-395.2243,229.9748,2.4824,5.3251,-0.4801,1981
30294,11,-395.6438,230.3057,2.4736,5.3557,0.3054,1981
30294,12,-396.0592,230.6401,2.4638,5.3357,-0.1663,1981
30294,13,-396.4720,230.9796,2.4532,5.3524,0.0105,1981
30294,14,-396.8793,231.3229,2.4413,5.3264,-0.4312,1981
30294,15,-397.2830,231.6706,2.4305,5.3290,-0.3039,726
30294,16,-397.6840,232.0222,2.4217,5.3286,-0.4084,726
30294,17,-398.0805,232.3749,2.4145,5.3143,0.1559,726
30294,18,-398.4759,232.7310,2.4085,5.3269,0.1190,726
30294,19,-398.8708,233.0900,2.4036,5.3531,0.5562,726
30294,20,-399.2651,233.4515,2.3996,5.3516,0.0558,726
30294,21,-399.6580,233.8142,2.3962,5.3447,-0.1645,726
30294,22,-400.0486,234.1766,2.3935,5.3373,0.3311,726
30294,23,-400.4387,234.5403,2.3912,5.3381,0.1924,726
30294,24,-400.8263,234.9030,2.3893,5.3075,-0.0934,726
30294,25,-401.2153,235.2681,2.3878,5.3549,0.7954,726
30294,26,-401.6035,235.6334,2.3865,5.3494,0.7347,726
30294,27,-401.9913,235.9991,2.3855,5.3062,-0.9796,726
30294,28,-402.3799,236.3662,2.3846,5.3379,-0.3270,726
30294,29,-402.7669,236.7323,2.3839,5.3312,0.1398,726
30294,30,-403.1531,237.0980,2.3833,5.3076,-0.4497,726
30294,31,-403.5389,237.4638,2.3828,5.3219,0.2184,726
30294,32,-403.9252,237.8303,2.3824,5.3393,0.5453,726
30294,33,-404.3124,238.1978,2.3821,5.3519,0.5369,726
30294,34,-404.6981,238.5642,2.3818,5.3318,0.4592,726
30294,35,-405.0842,238.9312,2.3816,5.3351,0.3285,726
30294,36,-405.4688,239.2968,2.3814,5.3049,-0.0452,726
30294,37,-405.8557,239.6647,2.3813,5.3449,0.1843,726
30294,38,-406.2434,240.0334,2.3813,5.3510,0.0439,726
30294,39,-406.6299,240.4009,2.3814,5.3376,0.1463,726
30294,40,-407.0156,240.7675,2.3815,5.3323,0.4551,726
30294,41,-407.4029,241.1356,2.3816,5.3425,-0.0392,726
30294,42,-407.7886,241.5021,2.3816,5.3209,-0.0248,726
30294,43,-408.1748,241.8690,2.3817,5.3469,0.8028,726
30294,44,-408.5612,242.2362,2.3817,5.3521,0.8599,726
30294,45,-408.9483,242.6039,2.3818,5.3522,0.4988,726
30294,46,-409.3338,242.9702,2.3818,5.3079,-0.4025,726
30294,47,-409.7204,243.3373,2.3818,5.3379,0.2741,726
