obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
30267,1,238.8112,-471.7674,-3.4738,0.0,0.0,380
30270,1,170.9954,-467.5742,-0.3934,9.1073,-4.4965,1719
30271,1,131.4536,-453.8847,-0.4589,12.1737,1.2331,585
30272,1,232.3654,-455.4477,-2.1598,0.0,0.0,343
30273,1,120.5665,-443.1324,-1.5662,10.0512,1.7165,1720
30274,1,253.1899,-477.6552,-3.5591,0.4116,-0.2841,-1
30275,1,229.7689,-453.358,-2.1722,3.1387,-6.3546,344
30276,1,238.786,-442.1674,-2.3429,5.2242,-3.1276,1939
30277,1,247.1695,-435.7699,-2.2031,8.7409,-4.4707,1939
30267,2,238.8112,-471.7674,-3.4738,0.0,0.0,380
30270,2,170.9473,-467.5154,-0.8852,8.6577,-4.4965,1719
30271,2,132.564,-454.4189,-0.4484,12.3749,1.889,585
30272,2,232.3654,-455.4477,-2.1598,0.0,0.0,343
30273,2,120.7046,-444.0506,-1.4214,10.2759,1.6799,1720
30274,2,253.1538,-477.6392,-3.5591,0.3915,-0.1204,-1
30275,2,229.6193,-453.5779,-2.168,2.5033,-6.3546,344
30276,2,238.443,-442.5275,-2.3318,4.9191,-2.8291,332
30277,2,246.6856,-436.4552,-2.1855,8.2939,-4.4707,1939
30267,3,238.8112,-471.7674,-3.4738,0.0,0.0,380
30270,3,171.723,-468.1033,-0.6485,8.8395,1.8454,1626
30271,3,133.694,-454.9528,-0.4413,12.5292,1.1589,585
30272,3,232.3654,-455.4477,-2.1598,0.0,0.0,343
30273,3,120.9641,-444.9986,-1.3036,10.4803,1.7862,1720
30274,3,253.1203,-477.6243,-3.5591,0.3587,-0.2788,-1
30275,3,229.506,-453.7456,-2.165,1.8678,-6.3546,344
30276,3,238.1227,-442.8689,-2.3242,4.6076,-3.2821,332
30277,3,246.214,-437.1422,-2.1725,8.3044,-1.5288,1939
30267,4,238.8112,-471.7674,-3.4738,0.0,0.0,380
30270,4,172.4071,-468.4689,-0.4908,9.0139,1.6644,1626
30271,4,134.8421,-455.4885,-0.4365,12.7211,2.0207,585
30272,4,232.3654,-455.4477,-2.1598,0.0,0.0,343
30273,4,121.3486,-445.9034,-1.1689,10.6509,1.914,1720
30274,4,253.0884,-477.6102,-3.5591,0.3433,-0.2037,-1
30275,4,229.4284,-453.8609,-2.1631,1.2323,-6.3546,344
30276,4,237.8226,-443.1927,-2.3181,4.356,-2.6473,332
30277,4,245.7628,-437.8128,-2.1629,8.0174,-2.8534,1939
30267,5,238.8112,-471.7674,-3.4738,0.0,0.0,380
30270,5,173.3324,-468.7739,-0.3184,9.2118,1.9294,1626
30271,5,136.011,-456.0294,-0.4333,12.9322,2.0208,585
30272,5,232.3654,-455.4477,-2.1598,0.0,0.0,343
30273,5,121.8523,-446.7955,-1.0568,10.8443,1.7078,1720
