timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,30292.0,Front-left,65.08,18.48,60.57,16.87,-13.93,-0.1,1.64,-0.61,4.35,170.75,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,30293.0,Front-right,79.29,-66.92,74.78,-65.31,-13.92,0.0,1.58,-0.7,5.37,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,30294.0,Front-left,64.25,10.94,59.74,9.33,-13.92,-0.0,1.58,-0.7,4.29,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,30295.0,Front-left,60.76,11.28,56.26,9.67,-13.92,-0.0,1.58,-0.7,4.04,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,30296.0,Front-left,61.6,18.83,57.09,17.22,-13.93,-0.1,1.65,-0.58,4.1,165.31,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,30297.0,Front-right,85.79,-71.01,81.29,-69.4,-14.08,0.1,1.71,-0.89,5.77,696.01,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30298.0,Front-right,49.43,-4.66,44.92,-3.05,-13.92,-0.0,1.58,-0.7,3.23,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,30299.0,Front-right,35.24,-2.55,30.73,-0.94,-8.93,-0.67,-1.33,1.09,3.44,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,30300.0,Front-right,93.21,-75.77,88.7,-74.16,-14.92,0.7,2.34,-1.95,5.94,105.67,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30301.0,Front-right,101.57,-81.79,97.06,-80.18,-15.92,1.52,1.82,-1.13,6.1,52.6,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30302.0,Front-left,62.46,26.86,57.96,25.25,-13.98,-0.57,1.78,-0.36,4.15,43.94,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,30303.0,Front-left,24.17,2.23,19.66,0.62,4.23,-1.26,-3.91,2.21,inf,0.49,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,30305.0,Behind,-21.86,-0.17,-17.36,0.0,0.22,0.22,-1.03,0.41,79.71,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
1.0,30306.0,Behind,-42.03,-0.64,-37.52,0.0,-0.13,0.44,-0.26,0.04,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
