obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
30,1,533.13142,-63.764804,-0.77376676,0.0,0.0,40
32,1,534.69588,-80.423207,0.75295206,0.0,0.0,140
34,1,519.84304,-102.28624,-4.2203112,0.0,0.0,778
37,1,504.72447,-100.29122,0.49155732,0.0,0.0,146
38,1,335.07583,-28.782828,1.0961034,0.0,0.0,965
39,1,529.87462,-84.535539,0.67666648,0.0,0.0,140
314,1,507.82371,-84.714787,-0.72282836,0.0,0.0,345
315,1,516.80864,-93.613765,0.50596296,0.0,0.0,1341
321,1,523.01033,-105.37425,-4.2821551,0.0,0.0,778
322,1,501.30198,-81.341814,-0.25222899,0.0,0.0,345
323,1,332.27007,-35.215914,1.1184079,6.1358422e-05,-7.0564838e-05,965
324,1,523.63329,-55.826886,-0.77376676,0.003743251,-0.004264335,40
325,1,493.99251,-79.684758,-0.19545883,6.8469858e-05,-7.0667789e-05,345
333,1,327.9465,-40.637143,0.72493034,0.00072234497,-0.00048646941,965
335,1,498.60186,-103.36598,0.43096339,0.0,0.0,146
336,1,486.63664,-78.200351,-0.20646317,0.00085716038,-0.00062767129,345
337,1,492.19983,-106.12811,0.36943912,1.5974625e-05,-1.4560612e-05,146
338,1,527.53731,-57.601233,-0.77376676,1.3705651e-05,-1.336982e-05,40
340,1,524.15916,-114.96866,-4.5044159,0.0,0.0,778
343,1,485.23067,-108.53237,0.30543768,0.00020097685,-0.00021829772,146
346,1,479.68595,-76.502222,-0.26688251,0.0069416794,-0.0070246152,345
347,1,372.95268,-44.894283,2.6832067,25.168435,1.9825518,344
349,1,521.12677,-86.59885,-2.7869683,5.3790385,0.22909342,1339
350,1,478.21822,-110.42512,0.2337274,0.0016155377,-0.0013060635,146
351,1,471.41139,-111.73958,0.15223293,0.0088660068,-0.0074434731,146
353,1,525.82125,-125.49367,-4.630515,0.0,0.0,778
354,1,473.16819,-74.586881,-0.29457824,0.043958448,-0.029793555,345
355,1,464.26128,-112.56402,0.074725545,0.039978481,-0.032451066,146
356,1,413.87633,-58.279499,3.057865,21.645691,2.4630581,344
357,1,456.77292,-113.05778,0.057292773,0.14728652,-0.11071497,146
358,1,522.75567,-51.951398,-0.77376676,0.00068264518,-0.0006515753,40
360,1,466.55825,-72.576994,-0.29593674,0.19909926,-0.17027735,345
361,1,449.29867,-113.47524,0.056325825,0.44803112,-0.20880407,146
363,1,452.54225,20.562438,2.3678313,7.5370478,-1.6742519,41
364,1,526.25505,-132.31344,-4.6577647,0.0,0.0,778
365,1,441.48103,-114.23281,0.11980106,1.054827,-0.6769586,146
366,1,520.84186,-52.809404,-0.77376676,0.097811124,-0.11693163,40
367,1,459.03665,-70.283667,-0.29596265,0.76547046,-0.4401642,345
370,1,516.663,-47.270579,-0.77376676,0.19728145,-0.20270444,40
371,1,432.3535,-115.60636,0.17081301,1.9393921,-0.27209016,146
372,1,421.95547,-117.91745,0.27915315,3.0019264,-0.87233549,146
374,1,363.20132,-145.94782,0.50365969,6.8827749,-0.10339721,146
375,1,462.83856,-109.14051,-3.0630332,18.690873,2.709659,147
376,1,511.00958,-41.578483,-0.77406201,0.82154098,-0.46426771,40
377,1,526.61999,-138.9877,-4.6577647,4.0887973e-05,-4.1003626e-05,778
378,1,410.08773,-121.73464,0.3724749,4.6742601,-1.5154644,146
380,1,510.77076,-36.326594,2.367826,13.542695,1.4885459,41
381,1,504.47608,-35.360837,-0.78064779,1.7360375,-0.94348533,40
383,1,395.62039,-127.80363,0.41843726,6.8114902,-1.3604429,146
384,1,361.64624,-44.626514,-0.50971565,6.8754177,0.10434538,345
385,1,524.43727,-49.678698,2.367867,11.601018,1.7506308,41
386,1,497.05917,-27.82398,-0.77376718,2.7253648,-0.54591814,40
387,1,379.26486,-135.65214,0.47622259,8.6374128,-1.3436353,146
388,1,536.81447,-61.669437,2.4025595,8.8722104,1.8807324,41
389,1,357.24156,-39.854401,-0.62568025,11.303403,1.2244143,345
390,1,360.22311,-145.61183,0.56427385,11.045369,-1.854515,146
391,1,341.26955,-163.65323,0.90104811,13.927249,-1.5601294,146
392,1,344.67823,-27.689725,-0.92004699,10.497443,1.1060777,345
393,1,554.67812,-61.094754,-2.4597987,7.9453706,0.85326888,26
394,1,567.79589,-48.978264,-2.3272432,7.4744994,0.92566192,26
395,1,336.06335,-14.742787,-1.0865765,9.5382937,0.28139121,1520
396,1,309.97344,-206.2545,0.97240161,6.6791988,0.7533533,329
398,1,577.02056,-38.721512,-2.2938122,6.8240256,1.1015831,26
399,1,326.68468,5.3113702,-1.015151,5.3690105,0.80519542,342
3100,1,585.69066,-28.927441,-2.3031692,5.29941,1.6545855,26
30,2,533.13142,-63.764804,-0.77376676,0.0,0.0,40
32,2,534.69588,-80.423207,0.75295206,0.0,0.0,140
34,2,519.84304,-102.28624,-4.2203112,0.0,0.0,778
37,2,504.72447,-100.29122,0.49155732,0.0,0.0,146
38,2,335.07583,-28.782828,1.0961034,0.0,0.0,965
39,2,529.87462,-84.535539,0.67666648,0.0,0.0,140
314,2,507.82371,-84.714787,-0.72282836,0.0,0.0,345
315,2,516.80864,-93.613765,0.50596296,0.0,0.0,1341
321,2,523.01033,-105.37425,-4.2821551,0.0,0.0,778
322,2,501.30198,-81.341814,-0.25222899,0.0,0.0,345
323,2,332.27007,-35.215909,1.1184081,5.6397972e-05,-5.4788479e-05,965
324,2,523.63352,-55.827114,-0.77376676,0.0032697977,-0.0037809086,40
325,2,493.99251,-79.684759,-0.19545883,6.0964651e-05,-6.4180716e-05,345
333,2,327.94655,-40.637098,0.72492914,0.00066474767,-0.00064418171,965
335,2,498.60186,-103.36598,0.43096339,0.0,0.0,146
336,2,486.63672,-78.200368,-0.20646232,0.00079153883,-0.00082093224,345
337,2,492.19983,-106.12811,0.36943912,1.4238963e-05,-1.4128457e-05,146
338,2,527.53731,-57.601234,-0.77376676,1.2064973e-05,-1.1323483e-05,40
340,2,524.15916,-114.96866,-4.5044159,0.0,0.0,778
343,2,485.23069,-108.53237,0.3054379,0.00018647515,-0.00016271357,146
346,2,479.68656,-76.502393,-0.2668758,0.0063634244,-0.0055087006,345
347,2,370.69219,-43.753733,2.6743047,25.312313,1.8931245,344
349,2,520.61306,-86.772354,-2.8158718,5.429921,0.13796182,1339
350,2,478.21836,-110.42509,0.23372945,0.0014547955,-0.0013583002,146
351,2,471.41223,-111.73945,0.15224524,0.0084712946,-0.007090815,146
353,2,525.82125,-125.49367,-4.630515,0.0,0.0,778
354,2,473.17212,-74.588073,-0.29457824,0.041041364,-0.029290227,345
355,2,464.26506,-112.56367,0.074769012,0.037945343,-0.033328622,146
356,2,411.69947,-58.046634,3.0350249,21.896988,1.9203111,344
357,2,456.78614,-113.05699,0.057323305,0.13245263,-0.10671372,146
358,2,522.75572,-51.95144,-0.77376676,0.00060278668,-0.00052098761,40
360,2,466.57651,-72.582562,-0.29593674,0.19084288,-0.1357696,345
