timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,30.0,Front-left,117.66,9.67,113.15,8.06,-14.54,-0.0,-0.14,0.01,7.78,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,32.0,Front-right,120.85,-6.76,116.34,-5.15,-14.54,0.0,-0.14,0.01,8.0,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,34.0,Front-right,108.21,-29.97,103.7,-28.36,-14.54,0.0,-0.14,0.01,7.13,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,37.0,Front-right,92.96,-29.46,88.46,-27.85,-14.54,0.0,-0.14,0.01,6.08,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,38.0,Rear-left,-82.87,25.09,-78.36,23.48,-14.54,0.0,-0.14,0.01,inf,inf,Obstacle is moving away longitudinally. No lateral relative motion.
1.0,39.0,Front-right,116.45,-11.32,111.94,-9.71,-14.54,0.0,-0.14,0.01,7.7,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,314.0,Front-right,94.52,-13.66,90.01,-12.05,-14.54,-0.0,-0.14,0.01,6.19,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,315.0,Front-right,104.34,-21.64,99.83,-20.03,-14.54,0.0,-0.14,0.01,6.86,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,321.0,Front-right,111.66,-32.73,107.15,-31.12,-14.54,0.0,-0.14,0.01,7.37,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,322.0,Front-right,87.7,-10.94,83.19,-9.33,-14.54,-0.0,-0.14,0.01,5.72,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,323.0,Rear-left,-85.03,18.41,-80.53,16.8,-14.54,0.0,-0.14,0.01,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
1.0,324.0,Front-left,107.43,16.64,102.92,15.03,-14.54,-0.0,-0.14,0.02,7.08,6418.84,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,325.0,Front-right,80.27,-10.01,75.76,-8.4,-14.54,-0.0,-0.14,0.01,5.21,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,333.0,Rear-left,-88.81,12.59,-84.3,10.98,-14.54,0.0,-0.14,0.01,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
1.0,335.0,Front-right,87.17,-33.12,82.66,-31.51,-14.54,0.0,-0.14,0.01,5.68,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,336.0,Front-right,72.8,-9.25,68.29,-7.64,-14.54,-0.0,-0.14,0.01,4.7,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,337.0,Front-right,81.07,-36.5,76.56,-34.89,-14.54,0.0,-0.14,0.01,5.26,4846268.63,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,338.0,Front-left,111.49,15.25,106.98,13.64,-14.54,-0.0,-0.14,0.01,7.36,1591696.95,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,340.0,Front-right,113.74,-42.17,109.23,-40.56,-14.54,0.0,-0.14,0.01,7.51,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,343.0,Front-right,74.37,-39.58,69.86,-37.97,-14.54,0.0,-0.14,0.01,4.8,481088.37,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,346.0,Front-right,65.72,-8.24,61.21,-6.63,-14.54,-0.0,-0.14,0.02,4.21,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,347.0,Rear-left,-43.6,12.76,-39.09,11.15,-38.09,8.87,-1.91,0.89,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
1.0,349.0,Front-right,107.95,-14.23,103.44,-12.62,-19.38,-2.35,-0.35,-0.07,5.34,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,350.0,Front-right,67.58,-42.15,63.07,-40.54,-14.54,0.0,-0.14,0.01,4.34,77024.23,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,351.0,Front-right,60.93,-44.12,56.42,-42.51,-14.53,0.0,-0.14,0.01,3.88,19356.22,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,353.0,Front-right,116.43,-52.48,111.92,-50.87,-14.54,0.0,-0.14,0.01,7.7,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,354.0,Front-right,59.04,-6.97,54.53,-5.36,-14.5,-0.01,-0.17,0.02,3.76,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,355.0,Front-right,53.9,-45.64,49.39,-44.03,-14.5,0.01,-0.17,0.01,3.41,6405.11,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,356.0,Left,-1.56,3.45,0.0,1.84,-36.19,-0.31,-2.59,0.22,0.0,5.91,Exact longitudinal alignment or co. Obstacle is driving toward the ego car laterally from the left.
1.0,357.0,Front-right,46.49,-46.87,41.98,-45.26,-14.4,0.02,-0.25,0.01,2.92,1985.5,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,358.0,Front-left,106.17,20.41,101.67,18.8,-14.54,-0.0,-0.14,0.01,6.99,44029.7,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,360.0,Front-right,52.27,-5.62,47.76,-4.01,-14.35,-0.04,-0.3,0.06,3.33,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,361.0,Front-right,39.1,-48.01,34.59,-46.4,-14.1,0.07,-0.35,0.0,2.45,673.42,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,363.0,Front-left,29.2,85.7,24.69,84.09,-20.42,4.71,1.06,-1.16,1.21,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
1.0,364.0,Front-right,117.53,-59.22,113.02,-57.61,-14.54,0.0,-0.14,0.01,7.77,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,365.0,Front-right,31.39,-49.53,26.88,-47.92,-13.51,0.23,-0.81,-0.07,1.99,210.17,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,366.0,Front-left,104.35,19.37,99.85,17.76,-14.47,-0.06,-0.22,0.1,6.9,290.27,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
