timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,31.0,Front-left,23.51,7.5,19.0,5.89,-6.15,14.83,1.32,1.34,3.09,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
1.0,33.0,Behind,-7.74,0.12,-3.23,0.0,0.38,-0.07,0.51,-1.02,8.58,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
1.0,35.0,Behind,-14.52,0.42,-10.01,0.0,-0.33,-0.06,0.36,-0.74,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
1.0,37.0,Rear-left,-39.7,1.77,-35.19,0.16,-0.67,-0.06,0.2,-0.42,inf,2.7,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,310.0,Behind,-20.72,-0.68,-16.21,0.0,-1.04,-0.03,0.2,-0.42,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
1.0,318.0,Rear-left,-25.88,4.5,-21.38,2.89,-8.78,0.38,0.95,-2.01,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
1.0,319.0,Rear-left,-50.48,3.28,-45.98,1.67,-0.72,-0.09,0.13,-0.3,inf,19.59,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,331.0,Rear-left,-11.01,3.76,-6.5,2.15,-8.96,0.32,0.74,-1.51,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
1.0,338.0,Front-right,26.3,-6.0,21.79,-4.39,-6.98,7.45,-0.59,-1.21,3.12,0.59,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,348.0,Front-left,13.85,27.31,9.34,25.7,-1.65,-0.0,0.0,-0.0,5.67,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
2.0,31.0,Front-left,22.89,9.02,18.38,7.41,-6.24,15.07,1.46,1.48,2.95,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
2.0,33.0,Behind,-7.7,0.11,-3.19,0.0,0.53,-0.07,0.7,-1.41,5.97,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
2.0,35.0,Behind,-14.54,0.4,-10.04,0.0,-0.22,-0.07,0.51,-1.05,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
2.0,37.0,Rear-left,-39.76,1.73,-35.25,0.12,-0.61,-0.06,0.27,-0.58,inf,1.94,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,310.0,Behind,-20.82,-0.7,-16.31,0.0,-0.98,-0.03,0.27,-0.57,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
2.0,318.0,Rear-left,-26.75,4.51,-22.24,2.9,-8.59,0.36,1.1,-2.31,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
2.0,319.0,Rear-left,-50.56,3.23,-46.05,1.62,-0.67,-0.09,0.17,-0.4,inf,18.34,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,331.0,Rear-left,-11.89,3.79,-7.38,2.18,-8.81,0.31,0.5,-1.03,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
2.0,338.0,Front-right,25.59,-5.26,21.08,-3.65,-7.25,7.05,-0.53,-1.25,2.91,0.52,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,348.0,Front-left,13.67,27.32,9.16,25.71,-1.65,-0.0,0.0,-0.0,5.56,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
3.0,31.0,Front-left,22.25,10.55,17.75,8.94,-6.25,15.23,1.14,0.65,2.84,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
3.0,33.0,Behind,-7.63,0.1,-3.13,0.0,0.73,-0.08,0.96,-1.9,4.29,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
3.0,35.0,Behind,-14.56,0.39,-10.05,0.0,-0.05,-0.07,0.76,-1.55,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
3.0,37.0,Rear-left,-39.82,1.7,-35.31,0.09,-0.51,-0.06,0.47,-0.96,inf,1.41,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,310.0,Behind,-20.91,-0.71,-16.4,0.0,-0.88,-0.04,0.45,-0.91,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
3.0,318.0,Rear-left,-27.58,4.53,-23.07,2.92,-8.23,0.34,0.48,-0.97,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
