ego_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id,goal_lanelet_id,time_horizon
30697,0,389.2005,-30.597,-1.2573427383678342,12.2906,-0.3008,1040,931,150.0
30697,1,389.5801,-31.7681,-1.2573427383678342,12.2026,-0.574,2285,931,150.0
30697,2,389.9595,-32.933,-1.2559375865678737,12.0628,-0.82,2285,931,150.0
30697,3,390.3364,-34.0867,-1.255038405195702,11.8697,-1.4843,2285,931,150.0
30697,4,390.7092,-35.2256,-1.25445540428325,11.4839,-2.3362,2285,931,150.0
30697,5,391.073,-36.3367,-1.254374222685352,10.95,-2.9658,2285,931,150.0
30697,6,391.4226,-37.4036,-1.2541438889485692,10.5957,-2.0368,2285,931,150.0
30697,7,391.7582,-38.4282,-1.25426658493874,10.1445,-2.453,1619,931,150.0
30697,8,392.0813,-39.4144,-1.2541954968110933,9.6237,-2.7314,1619,931,150.0
30697,9,392.3893,-40.354,-1.2540348572667375,9.3081,-1.7725,1619,931,150.0
30697,10,392.6846,-41.2541,-1.2537860226459445,8.9218,-2.0731,1619,931,150.0
30697,11,392.9692,-42.1206,-1.2534491973540072,8.486,-2.2675,1619,931,150.0
30697,12,393.2415,-42.9476,-1.2527140812263966,8.2253,-1.4589,1619,931,150.0
30697,13,393.5033,-43.7417,-1.25233610506479,7.9081,-1.6984,1619,931,150.0
30697,14,393.7565,-44.508,-1.2516710553447048,7.5516,-1.8522,596,931,150.0
30697,15,393.9996,-45.242,-1.2509679818013153,7.3702,-0.8883,596,931,150.0
30697,16,394.2347,-45.95,-1.250190276158646,7.1963,-0.851,596,931,150.0
30697,17,394.4645,-46.6411,-1.2497839078206066,7.0298,-0.8141,596,931,150.0
30697,18,394.6894,-47.3159,-1.249090230674144,6.9464,-0.4262,596,931,150.0
30697,19,394.9107,-47.9787,-1.2485479673074014,6.8595,-0.4431,596,931,150.0
30697,20,395.1294,-48.6335,-1.2484502889819142,6.7693,-0.4577,596,931,150.0
30697,21,395.3453,-49.2798,-1.2483960602193496,6.7198,-0.2659,596,931,150.0
30697,22,395.5591,-49.9196,-1.2482957256609877,6.6632,-0.2999,596,931,150.0
30697,23,395.771,-50.5543,-1.2485731826413544,6.6,-0.3308,596,931,150.0
30697,24,395.981,-51.1834,-1.2486166492662782,6.5627,-0.2073,596,931,150.0
30697,25,396.1892,-51.8078,-1.2489496832277522,6.5173,-0.246,596,931,150.0
30697,26,396.3962,-52.4283,-1.2488040513490677,6.4645,-0.2814,596,931,150.0
