timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,30694.0,Front,25.18,0.14,20.67,0.0,-3.45,0.07,0.06,-0.2,6.0,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
1.0,30695.0,Front-left,132.97,4.43,128.46,2.82,-17.63,0.52,-0.21,1.21,7.29,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
1.0,30696.0,Front-left,26.25,3.65,21.74,2.04,-23.93,-0.1,0.17,-0.53,0.91,20.87,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,30698.0,Right,3.9,-56.81,0.0,-55.2,-12.81,8.02,0.13,-0.56,0.0,6.88,Exact longitudinal alignment or co. Obstacle is driving toward the ego car laterally from the right.
1.0,30699.0,Front-left,6.71,3.52,2.2,1.91,-26.54,-0.05,0.44,-1.35,0.08,37.49,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,30700.0,Behind,-24.32,0.07,-19.81,0.0,1.38,-0.04,-0.3,0.95,14.4,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
2.0,30694.0,Front,24.83,0.11,20.33,0.0,-3.33,0.06,-0.07,0.19,6.11,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
2.0,30695.0,Front-left,131.2,4.29,126.69,2.68,-17.62,0.49,-0.03,0.46,7.19,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
2.0,30696.0,Front-left,23.86,3.61,19.35,2.0,-23.79,-0.08,0.08,-0.25,0.81,24.53,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,30698.0,Right,2.55,-56.01,0.0,-54.4,-12.57,8.03,0.18,-0.81,0.0,6.77,Exact longitudinal alignment or co. Obstacle is driving toward the ego car laterally from the right.
2.0,30699.0,Left,4.05,3.51,0.0,1.9,-26.41,-0.03,0.35,-1.07,0.0,71.64,Exact longitudinal alignment or co. Obstacle is driving toward the ego car laterally from the left.
2.0,30700.0,Behind,-24.2,0.1,-19.69,0.0,1.39,-0.05,-0.21,0.68,14.2,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
3.0,30694.0,Front,24.5,0.1,19.99,0.0,-3.1,0.05,0.39,-1.19,6.46,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
3.0,30695.0,Front-left,129.42,4.22,124.91,2.61,-17.6,0.47,0.06,0.27,7.1,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
3.0,30696.0,Front-left,21.48,3.58,16.97,1.97,-23.56,-0.07,0.47,-1.43,0.72,27.85,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,30698.0,Right,1.24,-55.21,0.0,-53.6,-12.29,7.99,0.01,-1.58,0.0,6.7,Exact longitudinal alignment or co. Obstacle is driving toward the ego car laterally from the right.
3.0,30699.0,Left,1.4,3.5,0.0,1.89,-26.21,-0.01,0.6,-1.85,0.0,176.86,Exact longitudinal alignment or co. Obstacle is driving toward the ego car laterally from the left.
3.0,30700.0,Behind,-24.07,0.11,-19.56,0.0,1.48,-0.07,0.18,-0.53,13.22,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
4.0,30694.0,Front,24.18,0.09,19.67,0.0,-2.74,0.05,0.56,-1.71,7.19,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
4.0,30695.0,Front-left,127.64,4.19,123.13,2.58,-17.33,0.45,0.45,-1.07,7.11,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
4.0,30696.0,Front-left,19.11,3.56,14.6,1.95,-23.18,-0.06,0.71,-2.17,0.63,30.53,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
4.0,30698.0,Right,-0.02,-54.41,0.0,-52.8,-11.85,8.0,0.02,-2.49,0.0,6.6,Exact longitudinal alignment or co. Obstacle is driving toward the ego car laterally from the right.
4.0,30699.0,Left,-1.23,3.5,0.0,1.89,-25.83,0.0,0.93,-2.84,0.0,inf,Exact longitudinal alignment or co. Obstacle is moving away laterally to the left.
