obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
30,1,124.9111,-704.43004,-3.2600593,0.0,0.0,1696
31,1,132.9169,-705.38292,-3.2600593,0.0,0.0,1696
36,1,139.72437,-706.19318,-3.2600593,0.0,0.0,1696
37,1,103.5261,-681.00792,-1.7116328,0.093181184,0.38591338,2044
314,1,102.60645,-677.48182,-1.7136048,0.71639051,0.33601265,2044
322,1,105.66577,-666.08952,-1.711107,0.062008647,0.026154405,2044
338,1,120.91087,-707.49335,-0.11569239,11.317896,0.628795,1697
341,1,98.091877,-699.20181,-1.655868,7.4465551,0.005738,3281
342,1,99.810438,-720.07623,1.3467714,11.594605,-2.55795,3871
343,1,99.597187,-684.14278,-1.6941398,7.5331941,0.5237475,3281
30,2,124.9111,-704.43004,-3.2600593,0.0,0.0,1696
31,2,132.9169,-705.38292,-3.2600593,0.0,0.0,1696
36,2,139.72437,-706.19318,-3.2600593,0.0,0.0,1696
37,2,103.52443,-681.0197,-1.711549,0.1446363,0.51455118,2044
314,2,102.59594,-677.55495,-1.7136048,0.76119219,0.44821165,2044
322,2,105.66487,-666.09583,-1.7111169,0.065495901,0.03487254,2044
338,2,122.03923,-707.62138,-0.11362176,11.405598,1.009395,1697
341,2,98.029047,-699.94,-1.6557053,7.4081597,-0.448682,3281
342,2,100.08909,-718.96766,1.2943424,11.24707,-3.58108,3871
343,2,99.5056,-684.88851,-1.6929982,7.5129563,-0.5522665,3281
30,3,124.9111,-704.43004,-3.2600593,0.0,0.0,1696
31,3,132.9169,-705.38292,-3.2600593,0.0,0.0,1696
36,3,139.72437,-706.19318,-3.2600593,0.0,0.0,1696
37,3,103.52204,-681.03656,-1.711429,0.19609142,0.5145512,2044
314,3,102.58479,-677.63251,-1.713558,0.80603284,0.44876965,2044
322,3,105.66392,-666.10248,-1.7111274,0.068983155,0.034872545,2044
338,3,123.17728,-707.75199,-0.11477573,11.519775,1.39507,1697
341,3,97.966744,-700.67309,-1.6555804,7.3568187,-0.443379,3281
342,3,100.42306,-717.91291,1.2413341,10.878389,-4.227795,3871
343,3,99.415746,-685.62537,-1.6921393,7.4227408,-0.43101,3281
30,4,124.9111,-704.43004,-3.2600593,0.0,0.0,1696
31,4,132.9169,-705.38292,-3.2600593,0.0,0.0,1696
36,4,139.72437,-706.19318,-3.2600593,0.0,0.0,1696
37,4,103.51892,-681.05853,-1.7112726,0.24754654,0.5145512,2044
314,4,102.573,-677.71452,-1.7134309,0.85094612,0.44896665,2044
322,4,105.66292,-666.10949,-1.7111384,0.07247041,0.034872545,2044
338,4,124.32802,-707.88524,-0.11579446,11.684612,1.61471,1697
341,4,97.904826,-701.40246,-1.6554843,7.3194839,-0.537968,3281
342,4,100.79201,-716.90926,1.1959439,10.401511,-3.461465,3871
343,4,99.326326,-686.36269,-1.6914849,7.4267543,-0.3169785,3281
30,5,124.9111,-704.43004,-3.2600593,0.0,0.0,1696
31,5,132.9169,-705.38292,-3.2600593,0.0,0.0,1696
36,5,139.72437,-706.19318,-3.2600593,0.0,0.0,1696
37,5,103.51509,-681.08558,-1.7110801,0.29900166,0.5145512,2044
314,5,102.56059,-677.80097,-1.7133506,0.89582617,0.4484659,2044
322,5,105.66188,-666.11683,-1.7111499,0.075957664,0.03487254,2044
338,5,125.49855,-708.022,-0.11671637,11.842717,1.49552,1697
341,5,97.843557,-702.12484,-1.6554105,7.2492251,-0.109954,3281
342,5,101.18331,-715.97707,1.133731,10.186096,-0.40861,3871
343,5,99.238078,-687.09336,-1.69099,7.3593451,-0.2674515,3281
30,6,124.9111,-704.43004,-3.2600593,0.0,0.0,1696
31,6,132.9169,-705.38292,-3.2600593,0.0,0.0,1696
36,6,139.72437,-706.19318,-3.2600593,0.0,0.0,1696
37,6,103.51053,-681.11773,-1.7108512,0.35045678,1.0171293,2044
314,6,102.54755,-677.89186,-1.7133506,0.9406393,0.44813135,2044
322,6,105.66078,-666.12453,-1.711162,0.079444918,0.03487254,2044
338,6,126.68045,-708.16107,-0.11739875,11.983716,1.54821,1697
341,6,97.781921,-702.85203,-1.655353,7.2974931,0.2644695,3281
342,6,101.6542,-715.06524,1.0619599,10.319789,0.94076,3871
343,6,99.149941,-687.82545,-1.6906119,7.373264,0.335486,3281
30,7,124.9111,-704.43004,-3.2600593,0.0,0.0,1696
31,7,132.9169,-705.38292,-3.2600593,0.0,0.0,1696
36,7,139.72437,-706.19318,-3.2600593,0.0,0.0,1696
37,7,103.50525,-681.15498,-1.7105862,0.50242752,2.0223217,2044
314,7,102.53387,-677.98719,-1.7133506,0.98545244,0.49839,2044
322,7,105.65964,-666.13257,-1.7111746,0.082932172,0.03487254,2044
338,7,127.87879,-708.30273,-0.11777303,12.152359,1.593425,1697
341,7,97.720279,-703.57968,-1.6553084,7.302119,-0.2202335,3281
342,7,102.1886,-714.1757,0.99905264,10.374248,0.387545,3871
343,7,99.064235,-688.56299,-1.6864822,7.4264423,-0.0828005,3281
30,8,124.9111,-704.43004,-3.2600593,0.0,0.0,1696
31,8,132.9169,-705.38292,-3.2600593,0.0,0.0,1696
36,8,139.72437,-706.19318,-3.2600593,0.0,0.0,1696
37,8,103.49641,-681.21722,-1.7117963,0.75492112,2.5246534,2044
314,8,102.51955,-678.08695,-1.7133223,1.0403173,0.6419163,2044
322,8,105.65845,-666.14095,-1.7111878,0.086419426,0.039680995,2044
338,8,129.09408,-708.44665,-0.11800029,12.302401,1.540875,1697
341,8,97.659072,-704.30249,-1.6552742,7.2534464,-0.399468,3281
342,8,102.77635,-713.3212,0.93449231,10.397298,0.168315,3871
343,8,98.984766,-689.29412,-1.6790637,7.3567039,-0.684637,3281
30,9,124.9111,-704.43004,-3.2600593,0.0,0.0,1696
31,9,132.9169,-705.38292,-3.2600593,0.0,0.0,1696
36,9,139.72437,-706.19318,-3.2600593,0.0,0.0,1696
37,9,103.48403,-681.30446,-1.7118275,1.0073582,2.5234479,2044
314,9,102.50431,-678.19315,-1.7133364,1.1138357,0.8700795,2044
322,9,105.6572,-666.14968,-1.7112015,0.090868371,0.05863154,2044
338,9,130.32216,-708.5924,-0.11827896,12.460534,1.760865,1697
341,9,97.598148,-705.02218,-1.6552477,7.2222254,0.1194495,3281
342,9,103.4237,-712.50426,0.85926122,10.407911,-0.134155,3871
343,9,98.910086,-690.01913,-1.6734414,7.2895149,0.134794,3281
30,10,124.9111,-704.43004,-3.2600593,0.0,0.0,1696
31,10,132.9169,-705.38292,-3.2600593,0.0,0.0,1696
36,10,139.72437,-706.19318,-3.2600593,0.0,0.0,1696
37,10,103.4681,-681.41669,-1.7116635,1.2596107,2.4695175,2044
314,10,102.4879,-678.30746,-1.7133234,1.2143332,1.114123,2044
322,10,105.65588,-666.15894,-1.711216,0.098145734,0.095966145,2044
338,10,131.56878,-708.74073,-0.11841962,12.654574,1.92238,1697
341,10,97.536774,-705.74737,-1.655227,7.2773363,-0.031387,3281
342,10,104.13436,-711.74596,0.78143088,10.370467,0.01926,3871
343,10,98.837624,-690.75388,-1.6690989,7.3836627,0.147895,3281
30,11,124.9111,-704.43004,-3.2600593,0.0,0.0,1696
31,11,132.9169,-705.38292,-3.2600593,0.0,0.0,1696
36,11,139.72437,-706.19318,-3.2600593,0.0,0.0,1696
37,11,103.44866,-681.55389,-1.7113493,1.5012617,2.2748975,2044
314,11,102.46982,-678.43355,-1.7133009,1.3366603,1.267234,2044
322,11,105.65443,-666.16911,-1.7112316,0.1100616,0.15454963,2044
338,11,132.83535,-708.89141,-0.11837324,12.84501,1.69609,1697
341,11,97.475929,-706.46644,-1.6552111,7.215948,0.5151935,3281
