timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,30.0,Front-right,17.89,-7.87,13.39,-6.26,-10.61,0.0,-0.59,-0.51,1.26,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,31.0,Front-right,23.33,-13.83,18.83,-12.22,-10.61,0.0,-0.59,-0.51,1.77,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,36.0,Front-right,27.96,-18.89,23.45,-17.28,-10.61,0.0,-0.59,-0.51,2.21,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,37.0,Front-left,17.01,23.83,12.5,22.22,-10.68,-0.06,-0.65,-0.89,1.17,362.45,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,314.0,Front-left,18.61,27.1,14.1,25.49,-11.15,-0.47,-0.64,-0.84,1.27,54.21,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,322.0,Front-left,28.37,33.73,23.86,32.12,-10.65,-0.04,-0.6,-0.54,2.24,786.79,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,338.0,Front-right,12.86,-7.58,8.36,-5.97,-2.95,-8.33,0.03,-0.58,2.83,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,341.0,Left,1.01,13.61,0.0,12.0,-15.93,-5.2,-0.59,-0.52,0.0,2.31,Exact longitudinal alignment or co. Obstacle is driving toward the ego car laterally from the left.
1.0,342.0,Rear-right,-11.33,-3.32,-6.82,-1.71,-1.27,6.88,-1.16,-3.0,inf,0.25,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,343.0,Front-left,11.98,24.02,7.47,22.41,-16.19,-5.05,-0.66,-1.03,0.46,4.43,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,30.0,Front-right,17.35,-6.59,12.84,-4.98,-10.71,0.0,-0.67,-0.5,1.2,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
2.0,31.0,Front-right,23.19,-12.15,18.69,-10.54,-10.71,0.0,-0.67,-0.5,1.74,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
2.0,36.0,Front-right,28.16,-16.87,23.66,-15.26,-10.71,0.0,-0.67,-0.5,2.21,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
2.0,37.0,Front-left,14.22,24.96,9.71,23.35,-10.81,-0.1,-0.74,-1.01,0.9,227.58,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,314.0,Front-left,15.55,28.29,11.04,26.68,-11.25,-0.54,-0.73,-0.94,0.98,49.51,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,322.0,Front-left,24.87,35.64,20.36,34.03,-10.76,-0.05,-0.67,-0.53,1.89,732.06,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,338.0,Front-right,13.14,-7.43,8.63,-5.82,-2.41,-7.82,0.33,-0.61,3.59,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
2.0,341.0,Left,-1.5,13.09,0.0,11.48,-15.63,-5.54,-0.63,-0.05,0.0,2.07,Exact longitudinal alignment or co. Obstacle is driving toward the ego car laterally from the left.
2.0,342.0,Rear-right,-11.24,-3.39,-6.73,-1.78,-1.78,6.83,-1.65,-3.95,inf,0.26,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,343.0,Front-left,8.69,24.26,4.18,22.65,-15.91,-5.43,-0.6,0.05,0.26,4.17,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,30.0,Front-right,16.78,-5.11,12.27,-3.5,-10.79,0.0,-0.55,-0.35,1.14,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
3.0,31.0,Front-right,23.07,-10.15,18.56,-8.54,-10.79,0.0,-0.55,-0.35,1.72,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
3.0,36.0,Front-right,28.42,-14.43,23.91,-12.82,-10.79,0.0,-0.55,-0.35,2.22,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
3.0,37.0,Front-left,10.99,26.06,6.48,24.45,-10.92,-0.15,-0.63,-0.85,0.59,162.68,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
