timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,30664.0,Front-left,29.1,8.05,24.59,6.44,-17.26,-0.04,-0.88,-0.93,1.42,173.04,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,30665.0,Front-right,26.03,-3.47,21.52,-1.86,-7.09,0.03,1.69,1.76,3.03,69.98,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30666.0,Front-left,40.05,8.08,35.54,6.47,-16.68,0.03,-1.04,-1.06,2.13,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
1.0,30667.0,Front-left,51.48,8.0,46.97,6.39,-16.62,0.03,-0.52,-0.53,2.83,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
1.0,30668.0,Right,4.05,-3.5,0.0,-1.89,-3.0,0.0,-0.19,-0.2,0.0,1060.32,Exact longitudinal alignment or co. Obstacle is driving toward the ego car laterally from the right.
1.0,30669.0,Front,29.69,0.05,25.18,0.0,-5.73,0.04,1.48,1.54,4.39,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
1.0,30670.0,Front-left,63.62,7.98,59.11,6.37,-17.04,-0.01,-0.3,-0.31,3.47,1083.97,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,30671.0,Front-left,75.89,8.09,71.38,6.48,-17.32,-0.1,-0.72,-0.78,4.12,64.07,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,30672.0,Behind,-93.06,-0.83,-88.55,0.0,-0.75,0.44,-0.04,-0.04,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
1.0,30674.0,Front-left,87.69,8.35,83.18,6.74,-17.1,-0.1,0.84,0.91,4.86,69.97,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,30675.0,Rear-right,-13.36,-3.51,-8.85,-1.9,-2.98,-0.0,-0.53,-0.55,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
1.0,30676.0,Rear-right,-39.84,-3.43,-35.33,-1.82,-0.12,-0.06,-1.05,-1.07,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
1.0,30677.0,Behind,-17.28,0.0,-12.77,0.0,-1.01,-0.01,0.45,0.47,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
1.0,30678.0,Rear-right,-128.19,-5.78,-123.69,-4.17,1.63,0.6,-0.02,-0.02,75.74,6.97,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
1.0,30679.0,Front-left,98.15,8.58,93.64,6.97,-16.25,-0.08,-0.98,-1.05,5.76,90.16,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,30680.0,Rear-right,-140.17,-2.79,-135.66,-1.18,0.06,0.53,-0.35,-0.38,2251.55,2.2,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
1.0,30681.0,Behind,-49.85,0.09,-45.34,0.0,2.5,0.07,1.18,1.23,18.17,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
2.0,30664.0,Front-left,27.36,8.05,22.85,6.44,-17.42,-0.04,-1.11,-1.16,1.31,175.84,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,30665.0,Front-right,25.33,-3.46,20.83,-1.85,-6.94,0.03,0.95,0.99,3.0,66.34,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,30666.0,Front-left,38.37,8.08,33.86,6.47,-16.91,0.03,-1.62,-1.65,2.0,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
2.0,30667.0,Front-left,49.81,8.0,45.3,6.39,-16.73,0.03,-0.78,-0.8,2.71,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
2.0,30668.0,Right,3.74,-3.5,0.0,-1.89,-3.12,0.0,-0.46,-0.48,0.0,1022.42,Exact longitudinal alignment or co. Obstacle is driving toward the ego car laterally from the right.
2.0,30669.0,Front,29.13,0.06,24.62,0.0,-5.56,0.04,1.08,1.13,4.43,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
2.0,30670.0,Front-left,61.92,7.98,57.41,6.37,-17.01,-0.01,0.27,0.28,3.38,1089.03,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,30671.0,Front-left,74.16,8.08,69.66,6.47,-17.3,-0.1,0.06,0.07,4.03,64.53,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,30672.0,Behind,-93.14,-0.79,-88.63,0.0,-0.74,0.41,0.34,0.38,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
