timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,3070.0,Front-right,34.81,-9.62,30.31,-8.01,0.48,-6.32,1.88,2.36,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
1.0,3071.0,Front-left,19.6,6.05,15.1,4.44,-12.09,-5.78,2.3,2.71,1.25,0.77,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,3072.0,Front,16.79,-0.18,12.28,0.0,0.21,-0.58,1.93,2.06,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
1.0,3074.0,Behind,-14.88,0.0,-10.38,0.0,0.29,-0.0,2.12,2.2,36.28,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
1.0,3075.0,Front-left,20.47,23.67,15.96,22.06,-7.19,-8.85,1.27,3.36,2.22,2.49,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,3070.0,Front-right,34.83,-10.26,30.32,-8.65,1.26,-6.32,2.52,3.16,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
2.0,3071.0,Front-left,18.37,5.61,13.86,4.0,-12.03,-5.14,3.11,3.49,1.15,0.78,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,3072.0,Front,16.78,-0.26,12.27,0.0,0.98,-0.83,2.77,2.94,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
2.0,3074.0,Behind,-14.88,0.0,-10.38,0.0,1.11,-0.0,3.4,3.54,9.33,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
2.0,3075.0,Front-left,19.73,22.79,15.22,21.18,-6.4,-8.79,2.62,3.68,2.38,2.41,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,3070.0,Front-right,34.91,-10.9,30.4,-9.29,1.78,-6.33,2.17,2.19,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
3.0,3071.0,Front-left,17.12,5.2,12.62,3.59,-12.08,-4.52,2.06,1.86,1.04,0.79,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,3072.0,Front,16.83,-0.37,12.32,0.0,1.51,-1.03,2.37,2.4,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
3.0,3074.0,Behind,-14.81,0.01,-10.3,0.0,1.75,-0.0,2.9,3.01,5.9,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
3.0,3075.0,Front-left,19.05,21.9,14.55,20.29,-5.87,-8.75,1.53,2.67,2.48,2.32,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
4.0,3070.0,Front-right,35.06,-11.53,30.56,-9.92,2.47,-6.35,3.28,2.7,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
4.0,3071.0,Front-left,15.91,4.87,11.4,3.26,-11.9,-3.78,2.58,2.98,0.96,0.86,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
4.0,3072.0,Front,16.95,-0.49,12.44,0.0,2.17,-1.22,2.75,2.79,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
4.0,3074.0,Behind,-14.65,0.0,-10.14,0.0,2.52,-0.0,2.92,3.04,4.02,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
4.0,3075.0,Front-left,18.43,21.04,13.93,19.43,-5.21,-8.67,1.77,3.22,2.67,2.24,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
5.0,3070.0,Front-right,35.28,-12.15,30.77,-10.54,3.19,-6.33,2.69,2.85,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
5.0,3071.0,Front-left,14.7,4.58,10.19,2.97,-11.48,-3.13,2.92,3.35,0.89,0.95,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
5.0,3072.0,Front,17.11,-0.63,12.61,0.0,2.86,-1.52,2.77,2.87,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
5.0,3074.0,Behind,-14.42,-0.0,-9.91,0.0,3.42,-0.0,3.65,3.79,2.9,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
5.0,3075.0,Front-left,17.87,20.18,13.36,18.57,-4.45,-8.65,2.5,3.08,3.0,2.15,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
6.0,3070.0,Front-right,35.57,-12.77,31.06,-11.16,3.63,-6.32,0.62,1.59,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
6.0,3071.0,Front-left,13.53,4.35,9.02,2.74,-11.28,-2.51,1.98,2.45,0.8,1.09,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
6.0,3072.0,Front,17.35,-0.8,12.84,0.0,3.22,-1.75,1.45,1.59,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
6.0,3074.0,Behind,-14.12,-0.01,-9.61,0.0,3.77,0.0,0.17,0.17,2.55,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
6.0,3075.0,Front-left,17.38,19.33,12.87,17.72,-4.01,-8.58,1.75,1.66,3.21,2.06,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
7.0,3070.0,Front-right,35.91,-13.4,31.4,-11.79,4.15,-6.33,0.99,1.82,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
7.0,3071.0,Front-left,12.38,4.17,7.87,2.56,-11.14,-2.01,0.87,0.09,0.71,1.27,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
7.0,3072.0,Front,17.64,-0.99,13.13,0.0,3.71,-1.99,2.31,2.21,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
7.0,3074.0,Behind,-13.79,-0.01,-9.28,0.0,4.04,0.0,0.08,0.08,2.3,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
7.0,3075.0,Front-left,16.95,18.47,12.44,16.86,-3.49,-8.57,2.39,1.49,3.56,1.97,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
8.0,3070.0,Front-right,36.3,-14.04,31.79,-12.43,4.72,-6.34,1.85,2.05,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
8.0,3071.0,Front-left,11.23,4.01,6.72,2.4,-10.9,-1.59,0.95,0.4,0.62,1.51,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
8.0,3072.0,Front,17.96,-1.23,13.45,0.0,4.13,-2.36,1.47,1.78,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
8.0,3074.0,Behind,-13.43,-0.01,-8.92,0.0,4.37,0.0,0.54,0.56,2.04,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
8.0,3075.0,Front-left,16.58,17.63,12.07,16.02,-2.95,-8.24,-1.78,5.4,4.09,1.94,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
9.0,3070.0,Front-right,36.75,-14.65,32.24,-13.04,5.04,-6.33,0.41,1.12,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
9.0,3071.0,Front-left,10.11,3.89,5.6,2.28,-10.79,-1.24,0.41,0.12,0.52,1.84,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
9.0,3072.0,Front,18.33,-1.48,13.82,0.0,4.38,-2.65,1.05,1.16,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
9.0,3074.0,Behind,-13.04,-0.01,-8.53,0.0,4.43,0.01,-0.11,-0.12,1.93,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
9.0,3075.0,Front-left,16.24,16.86,11.74,15.25,-2.66,-7.63,-3.42,5.27,4.42,2.0,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
10.0,3070.0,Front-right,37.24,-15.3,32.73,-13.69,5.42,-6.36,1.96,1.45,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
10.0,3071.0,Front-left,9.0,3.8,4.49,2.19,-10.68,-0.96,0.08,-0.27,0.42,2.27,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
10.0,3072.0,Front-right,18.73,-1.77,14.23,-0.16,4.62,-2.9,1.05,1.24,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
10.0,3074.0,Behind,-12.63,-0.01,-8.12,0.0,4.55,0.0,-0.32,-0.34,1.79,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
10.0,3075.0,Front-left,15.97,16.12,11.46,14.51,-2.31,-7.45,3.18,-0.29,4.96,1.95,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
11.0,3070.0,Front-right,37.76,-15.94,33.25,-14.33,5.8,-6.36,1.4,1.43,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
11.0,3071.0,Front-left,7.91,3.72,3.4,2.11,-10.46,-0.74,0.46,0.29,0.32,2.86,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
11.0,3072.0,Front-right,19.15,-2.1,14.64,-0.49,4.85,-3.28,1.42,1.45,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
11.0,3074.0,Behind,-12.21,-0.01,-7.7,0.0,4.69,0.0,0.01,0.01,1.64,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
11.0,3075.0,Front-left,15.72,15.35,11.21,13.74,-1.91,-7.7,3.26,-0.22,5.87,1.78,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
12.0,3070.0,Front-right,38.32,-16.57,33.81,-14.96,6.0,-6.34,0.97,0.86,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
12.0,3071.0,Front-left,6.83,3.67,2.32,2.06,-10.42,-0.57,-0.22,-0.38,0.22,3.63,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
12.0,3072.0,Front-right,19.59,-2.45,15.09,-0.84,4.95,-3.58,0.97,0.9,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
12.0,3074.0,Behind,-11.78,-0.01,-7.27,0.0,4.65,0.0,-0.82,-0.85,1.56,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
12.0,3075.0,Front-left,15.51,14.57,11.0,12.96,-1.68,-7.95,2.68,-0.81,6.55,1.63,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
13.0,3070.0,Front-right,38.91,-17.2,34.4,-15.59,6.25,-6.34,1.17,0.96,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
13.0,3071.0,Front-left,5.77,3.62,1.26,2.01,-10.33,-0.43,-0.07,-0.18,0.12,4.67,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
13.0,3072.0,Front-right,20.05,-2.83,15.54,-1.22,5.02,-3.86,0.69,0.87,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
13.0,3074.0,Behind,-11.35,-0.01,-6.84,0.0,4.64,0.0,-0.51,-0.53,1.48,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
13.0,3075.0,Front-left,15.33,13.76,10.82,12.15,-1.43,-8.11,1.35,0.53,7.58,1.5,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
14.0,3070.0,Front-right,39.52,-17.84,35.01,-16.23,6.5,-6.33,0.71,0.94,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
14.0,3071.0,Front-left,4.71,3.59,0.2,1.98,-10.22,-0.33,-0.17,-0.27,0.02,6.05,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
14.0,3072.0,Front-right,20.52,-3.24,16.01,-1.63,5.16,-4.12,1.77,1.19,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
