obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
3253,1,-375.7721,12.8873,-0.6374,0.0,0.0,2556
3254,1,-370.7796,8.8339,1.2849,6.1133,2.0494,2638
3255,1,-419.6487,45.8435,-0.6362,19.1211,-4.9262,989
3256,1,-339.7467,63.2193,-2.1981,21.6541,-5.264,166
3257,1,-324.0494,84.8671,-2.1983,16.5188,1.9182,166
3261,1,-392.3049,-11.7483,0.5495,7.0157,-1.2895,1128
3262,1,-487.3666,95.5564,-0.6335,27.4986,0.8576,989
3263,1,-353.2679,-1.5698,2.5141,7.9403,-5.6262,224
3264,1,-294.8086,124.6884,-2.2139,0.8322,1.9719,2044
3265,1,-391.9233,-15.6207,0.5419,16.3809,-4.9016,1129
3253,2,-375.7721,12.8873,-0.6374,0.0,0.0,2556
3254,2,-370.6494,9.4083,1.3478,6.1754,0.0,2638
3255,2,-418.1379,44.727,-0.6364,18.6515,-5.3323,989
3256,2,-340.9946,61.4982,-2.1981,21.1277,-5.264,166
3257,2,-325.0255,83.5212,-2.1982,16.6565,1.2351,166
3261,2,-391.7057,-11.3799,0.5512,7.0205,-0.5615,1128
3262,2,-485.1516,93.9293,-0.6335,27.4721,-0.4497,989
3263,2,-353.8682,-1.1195,2.498,7.3776,-5.6262,224
3264,2,-294.8673,124.61,-2.2135,1.026,1.8757,2044
3265,2,-390.5585,-14.7874,0.5481,15.863,-5.1787,1129
3253,3,-375.7721,12.8873,-0.6374,0.0,0.0,2556
3254,3,-370.5787,9.9617,1.4437,6.1754,0.0,2638
3255,3,-416.666,43.639,-0.6365,18.195,-4.3679,989
3256,3,-342.2116,59.8198,-2.1981,20.6013,-5.264,166
3257,3,-326.0106,82.1628,-2.1982,16.8247,1.7458,166
3261,3,-391.108,-11.0113,0.5526,7.0327,0.4182,1128
3262,3,-482.937,92.3024,-0.6335,27.4764,-0.1124,989
3263,3,-354.4192,-0.6961,2.4864,6.815,-5.6262,224
3264,3,-294.9369,124.5169,-2.2129,1.214,2.0606,2044
3265,3,-389.2408,-13.9761,0.5518,15.3451,-5.1787,1129
3253,4,-375.7721,12.8873,-0.6374,0.0,0.0,2556
3254,4,-370.5613,10.5138,1.5393,6.1754,0.0,2638
3255,4,-415.2324,42.5793,-0.6365,17.7328,-3.7775,989
3256,4,-343.3978,58.184,-2.1981,20.0749,-5.264,166
3257,4,-327.0054,80.7909,-2.1982,16.9843,1.5044,166
3261,4,-390.5109,-10.6422,0.5536,7.0187,-0.0251,1128
3262,4,-480.7233,90.6762,-0.6335,27.4449,-0.9385,989
3263,4,-354.9224,-0.3026,2.4779,6.2524,-5.6262,224
3264,4,-295.017,124.4097,-2.2123,1.3883,1.9656,2044
3265,4,-387.9711,-13.1856,0.5568,14.8272,-5.1787,1129
3253,5,-375.7721,12.8873,-0.6374,0.0,0.0,2556
3254,5,-370.6116,10.9999,1.6737,6.1754,0.0,2638
3255,5,-413.8369,41.5476,-0.6365,17.2363,-4.7257,989
3256,5,-344.553,56.5908,-2.1981,19.5485,-5.264,166
3257,5,-328.0095,79.4062,-2.1981,17.1443,1.6143,166
3261,5,-389.9172,-10.272,0.5575,7.0006,0.1177,1128
3262,5,-478.5097,89.05,-0.6335,27.4469,-0.8026,989
3263,5,-355.3793,0.0592,2.4716,5.69,-5.6262,224
3264,5,-295.1071,124.2889,-2.2117,1.5414,1.3267,2044
3265,5,-386.7502,-12.415,0.563,14.3094,-5.1787,1129
3253,6,-375.7721,12.8873,-0.6374,0.0,0.0,2556
3254,6,-370.7284,11.4718,1.8134,6.1754,0.0,2638
3255,6,-412.4786,40.5435,-0.6366,16.7638,-5.0944,989
3256,6,-345.6773,55.0402,-2.1981,19.0221,-5.264,166
3257,6,-329.0222,78.0096,-2.1981,17.2852,1.3072,166
3261,6,-389.3296,-9.9029,0.5608,6.933,-0.2496,1128
3262,6,-476.2952,87.4233,-0.6335,27.4619,-0.6131,989
3263,6,-355.7905,0.3882,2.4669,5.1274,-5.6262,224
3264,6,-295.207,124.1549,-2.2111,1.711,1.5854,2044
3265,6,-385.5755,-11.6671,0.5669,13.8023,-4.9629,1129
3253,7,-375.7721,12.8873,-0.6374,0.0,0.0,2556
3254,7,-370.9022,11.9497,1.9195,6.1756,0.0,2093
3255,7,-411.1554,39.5652,-0.6366,16.3642,-3.6422,989
3256,7,-346.7708,53.5322,-2.1981,18.4957,-5.264,166
3257,7,-330.0419,76.6034,-2.1981,17.4036,1.3395,166
3261,7,-388.7564,-9.5409,0.5633,6.7024,-3.103,1128
3262,7,-474.0987,85.8097,-0.6335,27.1764,-3.1057,989
3263,7,-356.1555,0.6843,2.46,4.5647,-5.6262,224
3264,7,-295.3179,124.0058,-2.2104,1.9038,1.7927,2044
3265,7,-384.4457,-10.944,0.5693,13.2844,-5.1787,1129
3253,8,-375.7721,12.8873,-0.6374,0.0,0.0,2556
3254,8,-371.1451,12.4317,2.0375,6.3307,1.1682,2093
3255,8,-409.8728,38.6079,-0.6412,15.8698,-5.4166,989
3256,8,-347.8333,52.0668,-2.1981,17.9693,-5.264,166
3257,8,-331.0711,75.1839,-2.1981,17.5698,1.4269,166
3261,8,-388.2138,-9.1967,0.5652,6.3538,-2.8947,1128
3262,8,-471.9344,84.2197,-0.6335,26.7505,-4.2164,989
3263,8,-356.4739,0.948,2.4497,4.0021,-5.6262,224
3264,8,-295.4383,123.8437,-2.2097,2.0704,2.0144,2044
3265,8,-383.3606,-10.2471,0.5708,12.7665,-5.1787,1129
3253,9,-375.7721,12.8873,-0.6374,0.0,0.0,2556
3254,9,-371.4583,12.9263,2.1353,6.4811,1.2178,2093
3255,9,-408.6296,37.6728,-0.6448,15.4634,-3.7301,989
3256,9,-348.8649,50.6441,-2.1981,17.4429,-5.264,166
3257,9,-332.1085,73.7532,-2.1981,17.7072,1.3758,166
3261,9,-387.6967,-8.8677,0.5666,6.0799,-1.9432,1128
3262,9,-469.8036,82.6545,-0.6335,26.3391,-3.9833,989
3263,9,-356.7473,1.1781,2.442,3.4395,-5.6262,224
3264,9,-295.5697,123.6665,-2.209,2.2448,1.5318,2044
3265,9,-382.3197,-9.5772,0.5718,12.2486,-5.1787,1129
