obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
2,1,-73.7906,16.0024,-0.3642,0.0022,-0.0015,65
3,1,-8.9482,-1.3765,-0.1324,0.0,0.0,65
4,1,44.1318,-95.1298,-3.6801,3.0122,-1.3721,522
7,1,-16.3834,-0.3859,-0.1324,0.0,0.0,65
8,1,7.671,-18.2222,-4.5582,0.0,0.0,522
10,1,6.5193,-10.8101,-4.5582,0.0,0.0,522
12,1,8.8227,-25.6343,-4.5582,0.0,0.0,522
13,1,-80.8086,18.6785,-0.3642,0.0106,-0.0067,65
14,1,83.6626,-113.515,-3.7051,6.9927,-0.5374,522
16,1,9.9744,-33.0464,-4.5582,0.0,0.0,522
19,1,-23.8165,0.6211,-0.139,0.0,0.0,65
25,1,11.2806,-40.4315,-4.5209,0.0,0.0,522
30,1,12.8434,-47.7662,-4.4774,0.0001,-0.0001,522
33,1,-31.2227,1.802,-0.1676,0.0,0.0,65
35,1,-38.575,3.278,-0.2151,0.0,0.0,65
36,1,14.9103,-54.9695,-4.3863,0.0006,-0.0006,522
38,1,-45.8349,5.1514,-0.2815,0.0,0.0,65
39,1,-52.9233,7.5828,-0.3713,0.0,-0.0001,65
40,1,-167.6199,58.9936,-3.5672,27.0742,1.435,66
41,1,37.7825,-95.1424,-0.6235,22.4036,2.5387,523
42,1,-59.8623,10.4246,-0.3973,0.0001,-0.0001,65
44,1,17.2233,-62.1077,-4.429,0.0046,-0.0052,522
45,1,20.7145,-78.1312,-0.9581,21.0237,1.4779,523
48,1,-120.2908,37.7546,-3.5255,23.1268,1.8801,66
50,1,19.5678,-69.2458,-4.3112,0.0293,-0.0212,522
51,1,-66.8071,13.2594,-0.3792,0.0004,-0.0005,65
57,1,23.3705,-75.8265,-4.1054,0.1577,-0.1399,522
60,1,28.4002,-82.1655,-3.9739,0.6357,-0.3535,522
61,1,11.9487,-57.1474,-1.244,19.6757,1.7431,523
63,1,6.8271,-35.4733,-1.4088,18.5563,2.2816,523
64,1,35.0928,-88.6244,-3.8438,1.6358,-0.8438,522
68,1,-0.5978,4.4706,-1.9339,6.1417,0.5192,1568
69,1,55.8592,-100.917,-3.526,4.4574,-1.4457,522
70,1,69.471,-106.3968,-3.5262,5.8422,-0.8056,522
73,1,-87.8559,21.3656,-0.3642,0.0436,-0.0242,65
74,1,-95.0392,24.1047,-0.3642,0.195,-0.1564,65
76,1,112.0552,-172.2599,1.3409,9.732,-0.2766,522
77,1,97.151,-123.519,-3.9023,7.9014,-1.1966,522
78,1,-4.4609,36.2157,-1.412,7.8953,0.1998,72
79,1,107.4413,-137.551,-4.2434,8.6742,-0.8951,522
80,1,-1.8347,19.8137,-1.412,7.0897,-0.4089,72
81,1,106.0298,-189.7155,1.1731,10.1369,-0.9428,522
83,1,112.8666,-154.3677,-4.564,9.2718,-0.8006,522
86,1,97.887,-206.4003,1.0849,10.3987,0.1228,522
87,1,88.1902,-223.6868,1.0555,10.9312,-0.576,522
88,1,-7.1627,53.0896,-1.412,8.4285,-1.1334,72
90,1,-9.8588,69.9281,-1.412,8.8207,-0.6863,72
92,1,-102.822,27.0723,-0.3642,0.8101,-0.579,65
94,1,-12.5354,86.6447,-1.412,9.0256,-0.296,72
96,1,77.7907,-242.5732,1.0962,11.8582,-0.1217,522
97,1,-111.9675,30.6241,-0.3838,2.0185,-1.3304,65
98,1,74.4924,-264.2149,-4.6905,12.6036,-0.8112,522
101,1,-15.1766,103.1501,-1.4121,9.0908,0.1355,72
104,1,-122.9252,35.0536,-0.3852,3.5212,-1.5682,65
106,1,-17.715,119.0133,-1.4121,8.7841,0.1848,72
108,1,-146.8241,45.7303,-0.4254,5.2838,-0.2481,65
109,1,83.503,-297.4021,-4.2342,5.2026,1.943,522
111,1,-20.1167,134.0224,-1.4121,8.2731,-1.218,72
112,1,-22.3569,148.0224,-1.4121,7.736,1.6325,72
113,1,-24.3403,160.4175,-1.4121,6.1506,1.6433,72
114,1,-134.5466,40.1114,-0.4242,4.4474,-1.3117,65
115,1,-25.5888,168.2199,-1.4121,2.9229,-0.2098,-1
123,1,-162.8336,52.9839,-0.4254,7.3479,-1.0675,65
2,2,-73.7904,16.0024,-0.3642,0.0021,-0.0011,65
3,2,-8.9482,-1.3765,-0.1324,0.0,0.0,65
4,2,43.8782,-94.9776,-3.6845,2.9596,-0.526,522
7,2,-16.3834,-0.3859,-0.1324,0.0,0.0,65
8,2,7.671,-18.2222,-4.5582,0.0,0.0,522
10,2,6.5193,-10.8101,-4.5582,0.0,0.0,522
12,2,8.8227,-25.6343,-4.5582,0.0,0.0,522
13,2,-80.8077,18.6781,-0.3642,0.0095,-0.0117,65
14,2,83.0667,-113.1672,-3.6954,6.9106,-0.8206,522
16,2,9.9744,-33.0464,-4.5582,0.0,0.0,522
19,2,-23.8165,0.6211,-0.139,0.0,0.0,65
25,2,11.2806,-40.4315,-4.5209,0.0,0.0001,522
30,2,12.8434,-47.7662,-4.4774,0.0001,-0.0,522
33,2,-31.2227,1.802,-0.1676,0.0,0.0,65
35,2,-38.575,3.278,-0.2151,0.0,0.0,65
36,2,14.9103,-54.9694,-4.3863,0.0005,-0.0003,522
38,2,-45.8349,5.1514,-0.2815,0.0,0.0,65
39,2,-52.9233,7.5828,-0.3713,0.0,0.0,65
40,2,-170.1014,60.1188,-3.5672,27.2472,1.7304,66
41,2,39.6259,-96.4422,-0.5908,22.5654,1.6177,523
42,2,-59.8623,10.4246,-0.3973,0.0001,-0.0001,65
44,2,17.2232,-62.1073,-4.429,0.0042,-0.0041,522
45,2,21.9366,-79.8731,-0.927,21.2813,2.5762,523
48,2,-122.444,38.6445,-3.5329,23.302,1.7524,66
50,2,19.5668,-69.2433,-4.3113,0.027,-0.0235,522
51,2,-66.807,13.2594,-0.3792,0.0004,-0.0002,65
57,2,23.3624,-75.8149,-4.1056,0.141,-0.1679,522
60,2,28.3604,-82.123,-3.9748,0.5816,-0.5415,522
61,2,12.5857,-59.0296,-1.2394,19.8702,1.9449,523
63,2,7.1475,-37.3073,-1.3946,18.622,0.6564,523
64,2,34.9728,-88.527,-3.8457,1.5453,-0.9053,522
68,2,-0.8307,4.0725,-2.0802,6.156,0.143,1568
69,2,55.4586,-100.7426,-3.5308,4.373,-0.8435,522
70,2,68.9432,-106.1747,-3.5222,5.7248,-1.174,522
73,2,-87.8522,21.3642,-0.3642,0.0392,-0.0441,65
74,2,-95.0224,24.0983,-0.3642,0.18,-0.15,65
76,2,112.2695,-171.3275,1.3635,9.5878,-1.4424,522
77,2,96.5768,-122.9961,-3.8883,7.7791,-1.2232,522
78,2,-4.3386,35.4514,-1.412,7.7409,-1.5433,72
79,2,107.0283,-136.7975,-4.2294,8.6089,-0.6529,522
80,2,-1.7231,19.1167,-1.412,7.0584,-0.3132,72
81,2,106.4181,-188.7911,1.1731,10.0266,-1.1033,522
83,2,112.7137,-153.4699,-4.5458,9.1242,-1.4762,522
86,2,98.3695,-205.4865,1.0849,10.3336,-0.6501,522
87,2,88.7275,-222.738,1.0555,10.9044,-0.2674,522
88,2,-7.0296,52.2582,-1.412,8.42,-0.0849,72
90,2,-9.7208,69.066,-1.412,8.73,-0.9064,72
92,2,-102.7501,27.0449,-0.3642,0.77,-0.4011,65
94,2,-12.3944,85.7641,-1.412,8.9181,-1.0752,72
96,2,78.2716,-241.4894,1.0595,11.8239,-0.3433,522
97,2,-111.7838,30.5499,-0.3838,1.9807,-0.3775,65
98,2,74.4783,-262.9564,-4.7073,12.5938,-0.098,522
101,2,-15.0338,102.2573,-1.4121,9.0409,-0.4995,72
104,2,-122.6126,34.9236,-0.3838,3.386,-1.3523,65
106,2,-17.5743,118.1341,-1.4121,8.9039,1.1972,72
108,2,-146.3496,45.5153,-0.4254,5.2085,-0.7531,65
109,2,83.2558,-296.9251,-4.2342,5.3726,1.7002,522
111,2,-19.985,133.1997,-1.4121,8.3316,0.5846,72
112,2,-22.2366,147.2705,-1.4121,7.615,-1.2102,72
113,2,-24.2397,159.7891,-1.4121,6.364,2.1336,72
114,2,-134.1544,39.9347,-0.4226,4.3014,-1.46,65
115,2,-25.5397,167.913,-1.4121,3.1086,1.8574,-1
123,2,-162.1715,52.6839,-0.4254,7.2693,-0.7863,65
2,3,-73.7902,16.0023,-0.3642,0.0019,-0.0022,65
3,3,-8.9482,-1.3765,-0.1324,0.0,0.0,65
4,3,43.6318,-94.8298,-3.6887,2.8754,-0.8419,522
7,3,-16.3834,-0.3859,-0.1324,0.0,0.0,65
8,3,7.671,-18.2222,-4.5582,0.0,0.0,522
10,3,6.5193,-10.8101,-4.5582,0.0,0.0,522
12,3,8.8227,-25.6343,-4.5582,0.0,0.0,522
13,3,-80.8069,18.6778,-0.3642,0.0091,-0.0036,65
14,3,82.4846,-112.8274,-3.6859,6.7488,-1.6176,522
16,3,9.9744,-33.0464,-4.5582,0.0,0.0,522
19,3,-23.8165,0.6211,-0.139,0.0,0.0,65
25,3,11.2806,-40.4315,-4.5209,0.0,-0.0001,522
30,3,12.8434,-47.7662,-4.4774,0.0001,-0.0001,522
33,3,-31.2227,1.802,-0.1676,0.0,0.0,65
35,3,-38.575,3.278,-0.2151,0.0,0.0,65
36,3,14.9103,-54.9694,-4.3863,0.0005,-0.0004,522
38,3,-45.8349,5.1514,-0.2815,0.0,0.0,65
39,3,-52.9233,7.5828,-0.3713,0.0,0.0,65
41,3,41.5435,-97.6554,-0.5524,22.7306,1.6516,523
42,3,-59.8623,10.4246,-0.3973,0.0001,-0.0001,65
44,3,17.2231,-62.107,-4.429,0.0037,-0.0043,522
45,3,23.2825,-81.5442,-0.8929,21.4883,2.0703,523
48,3,-124.6048,39.5569,-3.5475,23.4595,1.5748,66
50,3,19.5659,-69.2411,-4.3114,0.0245,-0.0245,522
51,3,-66.807,13.2594,-0.3792,0.0003,-0.0003,65
57,3,23.3547,-75.804,-4.1058,0.1331,-0.0781,522
60,3,28.3241,-82.0843,-3.9755,0.5306,-0.5095,522
61,3,13.1929,-60.9381,-1.2571,20.047,1.7684,523
63,3,7.4707,-39.1568,-1.3804,18.7756,1.5361,523
64,3,34.8548,-88.4312,-3.8476,1.5192,-0.2611,522
68,3,-1.0886,3.7057,-2.2395,6.0701,-0.8591,1569
69,3,55.0602,-100.5691,-3.5356,4.3498,-0.2317,522
70,3,68.4272,-105.9682,-3.5222,5.558,-1.6675,522
73,3,-87.8488,21.3629,-0.3642,0.0366,-0.0259,65
74,3,-95.007,24.0924,-0.3642,0.1645,-0.1551,65
76,3,112.4407,-170.3981,1.3843,9.4718,-1.1595,522
77,3,96.0078,-122.4779,-3.8744,7.7041,-0.7497,522
78,3,-4.2169,34.6919,-1.412,7.6918,-0.4911,72
79,3,106.6209,-136.0543,-4.2156,8.4863,-1.2261,522
80,3,-1.6132,18.4302,-1.412,6.9527,-1.0562,72
81,3,106.802,-187.8771,1.1731,9.9133,-1.1327,522
83,3,112.5553,-152.5723,-4.5298,9.1233,-0.0083,522
86,3,98.8476,-204.5811,1.0849,10.2382,-0.954,522
87,3,89.2649,-221.789,1.0555,10.9049,0.0047,522
88,3,-6.8978,51.4352,-1.412,8.334,-0.8597,72
90,3,-9.5825,68.2025,-1.412,8.7459,0.1586,72
92,3,-102.6821,27.019,-0.3642,0.7276,-0.4236,65
94,3,-12.2546,84.8904,-1.412,8.8483,-0.6973,72
96,3,78.8246,-240.4512,1.057,11.761,-0.6286,522
97,3,-111.6137,30.4812,-0.3838,1.8347,-1.4601,65
98,3,74.4644,-261.7046,1.5591,12.5192,-0.7456,522
101,3,-14.8916,101.3688,-1.4121,8.998,-0.4285,72
104,3,-122.307,34.8002,-0.3838,3.2957,-0.9031,65
106,3,-17.4349,117.2632,-1.4121,8.8196,-0.8422,72
108,3,-145.8957,45.3084,-0.4258,4.9889,-2.1957,65
109,3,82.9972,-296.4261,-4.2342,5.6197,2.4706,522
111,3,-19.8525,132.3713,-1.4121,8.3899,0.5827,72
112,3,-22.1154,146.5133,-1.4121,7.668,0.53,72
113,3,-24.1357,159.1393,-1.4121,6.5806,2.1666,72
114,3,-133.7693,39.7612,-0.4211,4.2238,-0.776,65
115,3,-25.487,167.5838,-1.4121,3.3333,2.2466,-1
123,3,-161.5165,52.3871,-0.4254,7.1903,-0.7894,65
2,4,-73.79,16.0022,-0.3642,0.0017,-0.0017,65
3,4,-8.9482,-1.3765,-0.1324,0.0,0.0,65
