timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,2.0,Front-left,335.53,35.94,331.03,34.33,-8.86,-0.0,0.15,-0.41,37.37,20831.34,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,3.0,Front-right,296.44,-18.63,291.93,-17.02,-8.86,-0.0,0.16,-0.41,32.96,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,4.0,Front-right,190.0,-35.3,185.49,-33.69,-6.5,1.88,1.33,-1.12,28.54,17.96,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,7.0,Front-right,299.98,-12.02,295.48,-10.41,-8.86,-0.0,0.16,-0.41,33.36,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,8.0,Front-right,274.82,-28.25,270.31,-26.64,-8.86,-0.0,0.16,-0.41,30.52,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,10.0,Front-right,282.16,-29.78,277.66,-28.17,-8.86,-0.0,0.16,-0.41,31.35,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,12.0,Front-right,267.48,-26.72,262.97,-25.11,-8.86,-0.0,0.16,-0.41,29.69,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,13.0,Front-left,340.51,41.57,336.0,39.96,-8.86,-0.01,0.15,-0.41,37.91,5032.0,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,14.0,Front-right,158.88,-65.83,154.37,-64.22,-3.28,4.22,0.61,-0.7,47.08,15.22,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,16.0,Front-right,260.14,-25.19,255.63,-23.58,-8.86,-0.0,0.16,-0.41,28.87,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,19.0,Front-right,303.54,-5.42,299.04,-3.81,-8.86,-0.0,0.16,-0.41,33.77,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,25.0,Front-right,252.76,-23.81,248.26,-22.2,-8.86,-0.0,0.16,-0.41,28.03,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,30.0,Front-right,245.35,-22.69,240.84,-21.08,-8.86,-0.0,0.16,-0.41,27.2,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,33.0,Front,307.26,1.1,302.75,0.0,-8.86,-0.0,0.16,-0.41,34.19,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
1.0,35.0,Front-left,311.23,7.46,306.72,5.85,-8.86,-0.0,0.16,-0.41,34.63,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,36.0,Front-right,237.88,-22.09,233.37,-20.48,-8.86,-0.0,0.16,-0.41,26.35,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,38.0,Front-left,315.54,13.6,311.03,11.99,-8.86,-0.0,0.16,-0.41,35.12,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,39.0,Front-left,320.31,19.38,315.8,17.77,-8.86,-0.0,0.16,-0.41,35.66,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,40.0,Front-left,408.81,108.63,404.3,107.02,10.29,19.14,-1.15,0.18,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
1.0,41.0,Front-right,192.22,-29.35,187.72,-27.74,-27.5,-12.42,2.22,-1.89,6.83,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,42.0,Front-left,325.41,24.87,320.9,23.26,-8.86,-0.0,0.16,-0.41,36.24,320029.48,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,44.0,Front-right,230.38,-21.74,225.87,-20.13,-8.85,-0.0,0.16,-0.42,25.52,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,45.0,Front-right,214.16,-19.37,209.65,-17.76,-29.21,-5.26,1.01,-1.62,7.18,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,48.0,Front-left,372.27,71.81,367.76,70.2,6.8,17.02,-1.59,0.29,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
1.0,50.0,Front-right,222.88,-21.42,218.37,-19.81,-8.83,0.0,0.16,-0.43,24.74,16336.37,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,51.0,Front-left,330.51,30.37,326.0,28.76,-8.86,-0.0,0.15,-0.41,36.81,97284.2,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,57.0,Front-right,215.38,-22.67,210.87,-21.06,-8.7,0.04,0.24,-0.53,24.23,545.66,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,60.0,Front-right,207.67,-25.14,203.17,-23.53,-8.27,0.24,0.39,-0.67,24.58,100.12,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,61.0,Front-right,236.88,-18.55,232.37,-16.94,-28.52,0.65,0.71,-2.06,8.15,26.11,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,63.0,Front-right,258.97,-21.39,254.46,-19.78,-27.05,3.65,0.52,-2.66,9.41,5.42,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,64.0,Front-right,199.27,-29.13,194.76,-27.52,-7.43,0.8,0.8,-0.96,26.22,34.54,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,68.0,Front-right,298.97,-28.5,294.46,-26.89,-13.46,4.06,-0.03,-0.9,21.87,6.62,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,69.0,Front-right,180.46,-44.24,175.95,-42.63,-5.84,3.28,1.5,-0.95,30.15,13.0,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,70.0,Front-right,170.53,-55.05,166.03,-53.44,-4.9,4.3,0.9,-0.71,33.9,12.44,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,73.0,Front-left,345.51,47.22,341.0,45.61,-8.88,-0.03,0.13,-0.4,38.38,1396.35,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,74.0,Front-left,350.6,52.98,346.09,51.37,-8.99,-0.15,0.01,-0.36,38.52,351.63,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,76.0,Front-right,93.9,-71.72,89.39,-70.11,-0.77,-5.41,0.09,-0.68,116.47,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,77.0,Front-right,144.76,-74.93,140.25,-73.32,-1.74,3.44,1.02,-1.24,80.51,21.32,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,78.0,Front-right,330.04,-36.06,325.54,-34.45,-16.59,1.58,0.19,-0.61,19.62,21.86,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,79.0,Front-right,128.01,-79.62,123.5,-78.01,-0.23,0.95,0.56,-1.21,529.19,82.52,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,80.0,Front-right,313.77,-32.75,309.26,-31.14,-15.8,1.42,0.09,-0.01,19.57,22.0,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,81.0,Front-right,79.68,-59.94,75.17,-58.33,-1.49,-6.96,-0.21,-1.28,50.43,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,83.0,Front-right,110.36,-78.78,105.85,-77.17,0.21,-1.95,0.27,-1.2,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
1.0,86.0,Front-right,66.93,-46.44,62.42,-44.83,-1.96,-7.78,0.21,-0.3,31.86,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,87.0,Front-right,54.16,-31.28,49.66,-29.67,-1.85,-8.39,-0.13,-0.91,26.85,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
