obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
20025,1,-5.9708,1.1989,-0.0399,0.0,0.0,9153
20026,1,-26.5188,6.2517,3.0663,8.3861,1.0987,1969
20027,1,1.503,-5.7435,1.5682,1.6126,-1.3089,9146
20028,1,1.0264,-14.1428,1.5083,1.6646,-1.0145,1963
20029,1,0.3269,-26.6169,1.5207,4.9435,-2.3627,1963
20030,1,-0.5826,-44.7899,1.5207,7.6759,-0.8529,1963
20031,1,-12.9318,1.7176,-0.0752,0.0,0.0,1968
20032,1,-1.2221,-65.3934,1.5751,7.3909,0.7086,1963
20033,1,1.788,-83.5434,2.1117,5.8199,0.949,1963
20035,1,-3.7482,-79.7571,-1.2739,13.836,0.117,1962
20036,1,22.4118,-103.1461,2.5035,2.5728,0.8602,1963
20037,1,0.7699,1.5908,-2.3251,10.8683,0.7998,9153
20038,1,30.652,-109.2564,2.5035,1.1893,0.7184,1963
20039,1,20.7945,8.2336,-2.899,9.8615,0.7588,1965
20040,1,-20.658,2.3001,-0.0752,1.1315,-1.0164,1968
20041,1,37.1798,-114.097,2.5035,0.212,0.4061,1963
20042,1,39.4623,13.2078,-2.8713,10.7434,-0.7913,1965
20043,1,42.8623,-118.3108,2.5035,0.0,0.0,1963
20044,1,-30.3426,3.0303,-0.0752,2.9194,-1.4746,1968
20045,1,48.5078,-122.4971,2.5035,0.0,0.0,1963
20046,1,-54.8012,4.8745,-0.0752,5.2399,0.3174,1968
20025,2,-5.9708,1.1989,-0.0399,0.0,0.0,9153
20026,2,-27.5168,6.327,3.0663,8.4913,1.0516,1969
20027,2,1.5032,-5.6964,1.5682,1.6126,-1.3089,9146
20028,2,1.0365,-13.9817,1.5083,1.5631,-1.0145,1963
20029,2,0.351,-26.1349,1.5207,4.7073,-2.3627,1963
20030,2,-0.5444,-44.0275,1.5207,7.5906,-0.8529,1963
20031,2,-12.9318,1.7176,-0.0752,0.0,0.0,1968
20032,2,-1.2254,-64.6508,1.5751,7.4618,0.7086,1963
20033,2,1.4858,-83.0404,2.1117,5.9149,0.949,1963
20035,2,-3.3411,-81.0882,-1.2739,13.8477,0.117,1962
20036,2,22.2017,-102.9903,2.5035,2.6588,0.8602,1963
20037,2,0.1425,0.6624,-2.1512,10.9483,0.7998,9153
20038,2,30.5536,-109.1835,2.5035,1.2611,0.7184,1963
20039,2,19.8335,7.9958,-2.899,9.9374,0.7588,1965
20040,2,-20.5502,2.292,-0.0752,1.0299,-1.0164,1968
20041,2,37.1611,-114.0831,2.5035,0.2526,0.4061,1963
20042,2,38.4307,12.9221,-2.8713,10.6643,-0.7913,1965
20043,2,42.8623,-118.3108,2.5035,0.0,0.0,1963
20044,2,-30.0588,3.0089,-0.0752,2.7719,-1.4746,1968
20045,2,48.5078,-122.4971,2.5035,0.0,0.0,1963
20046,2,-54.2771,4.835,-0.0752,5.2717,0.3174,1968
20025,3,-5.9708,1.1989,-0.0399,0.0,0.0,9153
20026,3,-28.5235,6.4029,3.0663,8.5965,1.0516,1969
20027,3,1.5033,-5.6455,1.5682,1.4817,-1.3089,9146
20028,3,1.0459,-13.8308,1.5083,1.4616,-1.0145,1963
20029,3,0.374,-25.6766,1.5207,4.471,-2.3627,1963
20030,3,-0.5067,-43.2736,1.5207,7.5053,-0.8529,1963
20031,3,-12.9318,1.7176,-0.0752,0.0,0.0,1968
20032,3,-1.223,-63.9011,1.5398,7.5327,0.7086,1963
20033,3,1.1788,-82.5293,2.1117,6.0098,0.949,1963
20035,3,-2.7864,-82.364,-1.139,13.8594,0.117,1962
20036,3,21.9847,-102.8294,2.5035,2.7449,0.8602,1963
20037,3,-0.4537,-0.2938,-1.9724,11.0283,0.7998,9153
20038,3,30.4494,-109.1062,2.5035,1.3329,0.7184,1963
20039,3,18.8652,7.7562,-2.899,10.0133,0.7588,1965
20040,3,-20.4526,2.2846,-0.0752,0.9282,-1.0164,1968
20041,3,37.1392,-114.0669,2.5035,0.2932,0.4061,1963
20042,3,37.4068,12.6384,-2.8713,10.5851,-0.7913,1965
20043,3,42.8623,-118.3108,2.5035,0.0,0.0,1963
20044,3,-29.7897,2.9886,-0.0752,2.6245,-1.4746,1968
20045,3,48.5078,-122.4971,2.5035,0.0,0.0,1963
20046,3,-53.7498,4.7953,-0.0752,5.3034,0.3174,1968
20025,4,-5.9708,1.1989,-0.0399,0.0,0.0,9153
20026,4,-29.5388,6.4795,3.0663,8.7016,1.0516,1969
20027,4,1.5034,-5.5907,1.5682,1.4817,-1.3089,9146
20028,4,1.0547,-13.6899,1.5083,1.3602,-1.0145,1963
20029,4,0.3957,-25.2418,1.5207,4.2347,-2.3627,1963
20030,4,-0.4694,-42.5283,1.5207,7.42,-0.8529,1963
20031,4,-12.9318,1.7176,-0.0752,0.0,0.0,1968
20032,4,-1.1996,-63.1447,1.5398,7.6035,0.7086,1963
20033,4,0.8898,-81.9979,2.0048,6.1047,0.949,1963
20035,4,-2.2032,-83.6298,-1.139,13.8692,0.0977,1962
20036,4,21.7607,-102.6633,2.5035,2.8309,0.8602,1963
20037,4,-0.898,-1.3397,-1.9724,11.1083,0.7998,9154
20038,4,30.3394,-109.0247,2.5035,1.4048,0.7184,1963
20039,4,17.8895,7.5148,-2.899,10.0891,0.7588,1965
20040,4,-20.3651,2.278,-0.0752,0.8266,-1.0164,1968
20041,4,37.114,-114.0482,2.5035,0.3338,0.4061,1963
20042,4,36.3905,12.3569,-2.8713,10.506,-0.7913,1965
20043,4,42.8623,-118.3108,2.5035,0.0,0.0,1963
20044,4,-29.5354,2.9694,-0.0752,2.477,-1.4746,1968
20045,4,48.5078,-122.4971,2.5035,0.0,0.0,1963
20046,4,-53.2194,4.7553,-0.0752,5.3352,0.3174,1968
20025,5,-5.9708,1.1989,-0.0399,0.0,0.0,9153
20026,5,-30.5628,6.5567,3.0663,8.8068,1.0516,1969
20027,5,1.5036,-5.532,1.5682,1.1708,-3.1096,9146
20028,5,1.0629,-13.5593,1.5083,1.2587,-1.0145,1963
20029,5,0.4163,-24.8307,1.5207,3.9985,-2.3627,1963
20030,5,-0.4325,-41.7915,1.5207,7.3347,-0.8529,1963
20031,5,-12.9318,1.7176,-0.0752,0.0,0.0,1968
20032,5,-1.176,-62.3811,1.5398,7.6744,0.7086,1963
20033,5,0.6311,-81.4398,2.0048,6.1996,0.949,1963
20035,5,-1.5093,-84.8381,-1.0309,13.879,0.0977,1962
20036,5,21.5299,-102.4921,2.5035,2.9169,0.8602,1963
20037,5,-1.2839,-2.4132,-1.827,11.1811,0.7287,9154
20038,5,30.2237,-108.9388,2.5035,1.4766,0.7184,1963
20039,5,16.9064,7.2715,-2.899,10.165,0.7588,1965
20040,5,-20.2877,2.2722,-0.0752,0.7249,-1.0164,1968
20041,5,37.0855,-114.0271,2.5035,0.3745,0.4061,1963
20042,5,35.3819,12.0774,-2.8713,10.4268,-0.7913,1965
20043,5,42.8623,-118.3108,2.5035,0.0,0.0,1963
20044,5,-29.2957,2.9513,-0.0752,2.3295,-1.4746,1968
20045,5,48.5078,-122.4971,2.5035,0.0,0.0,1963
20046,5,-52.6858,4.715,-0.0752,5.3669,0.3174,1968
20025,6,-5.9708,1.1989,-0.0399,0.0,0.0,9153
20026,6,-31.595,6.6345,3.0663,8.9119,1.0516,1969
20027,6,1.5037,-5.484,1.5682,1.1708,-3.1096,9146
20028,6,1.0706,-13.4369,1.5083,1.1924,-0.6634,1963
20029,6,0.4358,-24.4406,1.5207,3.8131,-1.8531,1963
20030,6,-0.3963,-41.067,1.5207,7.173,-1.6165,1963
20031,6,-12.9318,1.7176,-0.0752,0.0,0.0,1968
20032,6,-1.1521,-61.6118,1.5398,7.7208,0.4639,1963
20033,6,0.3684,-80.8731,2.0048,6.2929,0.9334,1963
20035,6,-0.7922,-86.0349,-1.0309,13.8888,0.0977,1962
20036,6,21.292,-102.3157,2.5035,3.0054,0.885,1963
20037,6,-1.5755,-3.5262,-1.827,11.254,0.7287,9154
20038,6,30.102,-108.8486,2.5035,1.5535,0.7691,1963
20039,6,15.916,7.0264,-2.899,10.2414,0.7641,1965
20040,6,-20.2192,2.267,-0.0752,0.6498,-0.7515,1968
20041,6,37.0533,-114.0032,2.5035,0.4267,0.5219,1963
20042,6,34.3783,11.7994,-2.8713,10.4013,-0.2559,1965
20043,6,42.8623,-118.3108,2.5035,0.0,0.0,1963
20044,6,-29.07,2.9343,-0.0752,2.197,-1.325,1968
20045,6,48.5078,-122.4971,2.5035,0.0,0.0,1963
20046,6,-52.1516,4.6748,-0.0752,5.3461,-0.2082,1968
20025,7,-5.9708,1.1989,-0.0399,0.0,0.0,9153
20026,7,-32.6353,6.713,3.0663,9.0116,0.9969,1969
