timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,20026.0,Front-right,39.75,-93.56,35.24,-91.95,-10.24,-0.0,-1.57,-0.55,3.44,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20028.0,Front-right,40.52,-86.5,36.01,-84.89,-10.24,-0.0,-1.57,-0.55,3.52,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20031.0,Front-right,41.32,-79.54,36.82,-77.93,-10.24,-0.0,-1.57,-0.55,3.6,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20033.0,Rear-left,-26.33,3.51,-21.82,1.9,-22.81,0.01,-1.73,-0.61,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
1.0,20034.0,Front-right,42.12,-72.61,37.62,-71.0,-10.24,-0.0,-1.57,-0.55,3.67,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20036.0,Front-right,42.93,-65.68,38.42,-64.07,-10.24,-0.0,-1.57,-0.55,3.75,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20037.0,Front-right,29.39,-98.07,24.89,-96.46,-14.59,0.42,-0.37,-0.26,1.71,231.1,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,20038.0,Front-right,46.92,-99.55,42.42,-97.94,-12.67,0.85,-0.52,-0.55,3.35,114.89,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,20039.0,Front-right,43.73,-58.75,39.22,-57.14,-10.24,-0.0,-1.57,-0.55,3.83,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20040.0,Front-right,58.65,-101.01,54.15,-99.4,-12.09,0.17,-0.75,-0.34,4.48,595.04,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,20041.0,Front-right,67.71,-101.82,63.2,-100.21,-10.93,0.06,-1.06,-0.42,5.78,1615.3,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,20042.0,Front-left,7.87,3.57,3.36,1.96,-23.92,-0.17,-1.38,-0.48,0.14,11.45,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,20043.0,Front-right,81.06,-103.03,76.55,-101.42,-10.28,0.0,-1.44,-0.52,7.45,26618.33,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,20044.0,Front-right,47.58,-55.89,43.07,-54.28,-9.27,8.41,-1.32,-1.69,4.65,6.45,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,20045.0,Front-right,89.74,-105.01,85.23,-103.4,-10.24,0.0,-1.57,-0.55,8.33,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20046.0,Front-right,96.26,-107.55,91.75,-105.94,-10.24,0.0,-1.57,-0.55,8.96,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20047.0,Front-right,44.98,-7.25,40.48,-5.64,-4.69,-9.78,-1.01,-1.04,8.63,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,20048.0,Front,21.92,-0.04,17.41,0.0,1.39,-0.18,-1.8,-0.63,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
1.0,20049.0,Front-right,48.65,-103.53,44.14,-101.92,-1.77,-0.86,-2.57,-0.79,24.97,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,20051.0,Front-right,20.77,-100.76,16.26,-99.15,-5.07,-0.5,0.05,-0.15,3.21,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
