timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,32.0,Front-left,36.35,9.6,31.84,7.99,-6.16,-0.78,0.24,0.07,5.17,10.26,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,39.0,Front,44.6,-0.18,40.1,0.0,3.42,-0.06,0.18,1.29,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
1.0,311.0,Front,16.87,-0.46,12.36,0.0,3.4,-0.7,0.25,1.22,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
1.0,315.0,Behind,-7.03,0.02,-2.52,0.0,1.11,-0.01,0.2,1.47,2.26,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
1.0,321.0,Front-left,35.35,41.34,30.85,39.73,-6.52,-0.74,0.23,-0.04,4.73,53.7,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,324.0,Front-right,32.96,-6.27,28.45,-4.66,-6.56,0.16,-0.16,-0.04,4.34,29.3,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,331.0,Behind,-24.32,0.0,-19.81,0.0,-0.54,0.0,0.14,1.06,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
1.0,341.0,Behind,-38.41,0.0,-33.9,0.0,-2.72,-0.0,0.16,1.16,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
1.0,357.0,Front-left,55.81,3.18,51.3,1.57,-6.57,0.0,0.03,0.25,7.81,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
1.0,360.0,Front-left,68.7,3.02,64.19,1.41,-8.16,0.02,0.04,0.29,7.87,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
2.0,32.0,Front-left,35.74,9.52,31.23,7.91,-6.1,-0.79,0.32,0.11,5.12,10.02,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,39.0,Front,44.95,-0.19,40.45,0.0,3.61,-0.07,0.24,1.72,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
2.0,311.0,Front,17.21,-0.55,12.71,0.0,3.5,-1.22,0.35,1.35,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
2.0,315.0,Behind,-6.91,0.02,-2.4,0.0,1.3,-0.02,0.26,1.9,1.84,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
2.0,321.0,Front-left,34.7,41.26,30.19,39.65,-6.52,-0.77,0.31,-0.05,4.63,51.41,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,324.0,Front-right,32.31,-6.25,27.8,-4.64,-6.56,0.18,-0.21,-0.05,4.23,25.96,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,331.0,Behind,-24.36,0.0,-19.86,0.0,-0.4,0.0,0.19,1.41,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
2.0,341.0,Behind,-38.67,0.0,-34.17,0.0,-2.56,-0.0,0.19,1.42,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
2.0,357.0,Front-left,55.17,3.18,50.66,1.57,-6.54,0.0,0.04,0.29,7.75,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
2.0,360.0,Front-left,67.88,3.02,63.37,1.41,-8.13,0.02,0.05,0.32,7.8,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
