ego_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id,goal_lanelet_id,time_horizon
1,0,-269.4215,100.4235,2.942002051796527,2.5021,-0.0006,4633,,33.0
1,1,-269.6667,100.4731,2.942002051796527,2.502,-0.0007,4633,,33.0
1,2,-269.912,100.5224,2.943256507718479,2.5019,-0.0008,4633,,33.0
1,3,-270.1571,100.5729,2.938397785714124,2.5019,-0.0007,4633,,33.0
1,4,-270.4023,100.6224,2.942393881268656,2.5018,-0.0007,5937,,33.0
1,5,-270.6475,100.6721,2.9416102844279197,2.5017,-0.0005,5937,,33.0
1,6,-270.8931,100.72,2.94897799625892,2.5016,-0.0005,5937,,33.0
1,7,-271.1388,100.7669,2.952978426744767,2.5016,-0.0004,5937,,33.0
1,8,-271.3844,100.8144,2.950547459178135,2.5016,-0.0002,5937,,33.0
1,9,-271.6301,100.8611,2.95376392858845,2.5015,-0.0002,5937,,33.0
1,10,-271.8766,100.9038,2.9700696128832567,2.5015,-0.0001,5937,,33.0
1,11,-272.1231,100.9467,2.9692819986264207,2.5015,-0.0,5937,,33.0
1,12,-272.3695,100.9898,2.9684257451238314,2.5015,0.0,5937,,33.0
1,13,-272.6163,101.0309,2.976575390853434,2.5015,0.0001,5937,,33.0
