obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
30622,1,245.3721,237.9587,-0.0261,11.9536,-5.7968,515
30622,2,246.5236,237.9278,-0.0267,11.3739,-5.7968,515
30622,3,247.6172,237.8980,-0.0272,10.7951,-5.7968,515
30622,4,248.6528,237.8694,-0.0275,10.2154,-5.7968,515
30622,5,249.6306,237.8423,-0.0277,9.6357,-5.7968,515
30622,6,250.5503,237.8166,-0.0279,9.0560,-5.7968,515
30622,7,251.4122,237.7924,-0.0280,8.4770,-5.7830,515
30622,8,252.2161,237.7698,-0.0280,7.8973,-5.7968,515
30622,9,252.9621,237.7488,-0.0281,7.3177,-5.7968,515
30622,10,253.6695,237.7289,-0.0281,7.1251,1.9449,515
30622,11,254.3963,237.7084,-0.0282,7.3196,1.9449,515
30622,12,255.1426,237.6873,-0.0282,7.5140,1.9449,515
30622,13,255.8988,237.6659,-0.0282,7.5185,-1.8552,515
30622,14,256.6069,237.6459,-0.0282,6.9388,-5.7968,515
30622,15,257.2571,237.6275,-0.0282,6.3592,-5.7968,515
30622,16,257.8515,237.6094,-0.0305,6.0284,-0.8358,515
30622,17,258.4535,237.5819,-0.0456,6.0613,0.4465,515
30622,18,259.0541,237.5441,-0.0628,6.0458,0.2736,515
30622,19,259.6530,237.4973,-0.0779,6.0245,-0.1367,515
30622,20,260.2438,237.4270,-0.1182,6.0485,-0.3239,1841
30622,21,260.8236,237.3302,-0.1655,6.0665,0.7935,1841
30622,22,261.3935,237.2020,-0.2212,6.0243,-0.8255,1841
30622,23,261.9307,237.0353,-0.3008,6.0373,-0.4136,1841
30622,24,262.4392,236.8268,-0.3890,6.0629,0.2704,1841
30622,25,262.8767,236.5813,-0.5114,6.0434,0.3212,1841
30622,26,263.2769,236.2872,-0.6338,6.0256,-0.1687,1841
30622,27,263.6415,235.9426,-0.7570,6.0572,-0.0561,1842
30622,28,263.9510,235.5627,-0.8872,6.0679,0.3907,1842
30622,29,264.2178,235.1375,-1.0103,6.0658,0.0047,1842
30622,30,264.4419,234.6708,-1.1231,6.0268,-0.3756,1827
