timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,30784.0,Front-right,223.0,-91.06,218.49,-89.45,-23.31,7.9,6.28,-0.25,9.37,11.32,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30785.0,Front-left,164.15,23.81,159.64,22.2,-13.22,2.7,7.38,0.17,12.08,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
1.0,30788.0,Front-right,200.73,-79.67,196.22,-78.06,-20.7,8.73,5.93,-4.21,9.48,8.95,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30789.0,Front-right,128.5,-20.7,123.99,-19.09,-14.84,5.33,5.99,-0.4,8.35,3.58,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30790.0,Front-left,156.63,118.21,152.12,116.6,-17.3,-7.08,5.92,0.51,8.79,16.48,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,30791.0,Front-left,215.65,18.02,211.14,16.41,-25.96,5.38,6.78,-0.79,8.13,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
1.0,30792.0,Front-left,153.13,13.13,148.63,11.52,-20.92,6.9,6.08,-3.06,7.11,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
1.0,30793.0,Front-right,205.0,-57.53,200.49,-55.92,-27.45,2.19,5.88,-0.03,7.31,25.54,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30794.0,Front-right,292.95,-5.38,288.44,-3.77,-43.99,4.26,9.89,-0.96,6.56,0.88,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30795.0,Front-right,314.64,-9.06,310.13,-7.45,-42.31,3.1,9.0,-0.66,7.33,2.4,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30796.0,Front-right,333.13,-11.22,328.62,-9.61,-40.11,1.33,8.07,-0.35,8.19,7.23,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30797.0,Front-left,107.03,8.92,102.52,7.31,-0.3,4.21,0.44,-1.18,343.12,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
1.0,30798.0,Front-left,203.96,64.73,199.45,63.12,-24.25,-4.06,9.02,3.25,8.22,15.53,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,30799.0,Front-right,142.5,-7.66,137.99,-6.05,-15.51,6.23,6.78,0.36,8.89,0.97,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30800.0,Front-right,117.56,-29.87,113.06,-28.26,-15.27,4.86,6.81,0.25,7.4,5.81,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30801.0,Front-right,108.02,-37.36,103.51,-35.75,-16.11,3.64,6.15,-0.26,6.42,9.81,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,30802.0,Front,41.73,0.63,37.23,0.0,6.82,1.55,1.75,-0.3,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
1.0,30803.0,Front,11.46,0.06,6.95,0.0,6.19,0.15,1.58,-0.07,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
