obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
30784,1,567.8614,112.3149,1.292,7.967,-0.7154,2056
30785,1,564.2323,158.7904,-0.6533,6.1169,1.3766,2156
30787,1,578.2151,108.2154,-3.826,0.0,0.0,769
30788,1,563.0969,59.5261,1.4964,0.0,0.0,918
30789,1,551.592,161.4051,0.0818,5.8496,1.4775,2154
30790,1,552.5224,193.3189,-1.1001,3.1254,2.0606,751
30791,1,566.0848,173.774,1.9951,2.3824,1.7494,491
30792,1,537.6649,157.7125,0.2985,6.3589,0.8795,2154
30793,1,574.6747,129.3237,1.0504,6.1029,-4.102,765
30794,1,569.8571,165.5274,2.0337,1.7086,1.316,2049
30795,1,574.5555,156.3004,2.0624,2.5495,-1.6182,2049
30796,1,576.2085,138.2389,-2.3082,8.615,-1.0117,2051
30797,1,508.2453,149.3242,0.2429,0.0,0.0,485
30798,1,573.6085,200.3506,-2.1034,2.8944,-1.2019,2048
30799,1,523.761,153.2526,0.381,6.6726,0.2391,2275
30800,1,517.2841,142.4817,1.457,4.8503,-5.7628,440
30801,1,511.5191,130.169,0.9118,5.7533,-2.3394,440
30802,1,500.1245,147.3255,0.2375,0.8428,-0.7738,485
30804,1,562.5257,52.0001,1.4921,0.0481,-0.0594,918
30806,1,561.8496,44.1464,1.4815,0.395,-0.1682,918
30808,1,502.1747,119.9462,0.7522,6.0708,-2.045,440
30809,1,548.4984,201.22,-1.0998,1.876,1.9912,751
30811,1,561.0747,35.3462,1.4864,1.2559,-0.746,918
30813,1,560.4379,24.9212,1.5317,2.5433,-0.7081,918
30815,1,600.8098,136.0463,2.8499,10.3676,-5.2685,762
30817,1,491.6748,111.1714,0.6715,6.1422,-1.3056,440
30818,1,540.1569,217.5473,-1.0982,1.9746,0.0706,748
30819,1,567.0958,72.4245,2.7476,6.6439,-0.4984,2223
30821,1,639.4908,66.8235,2.6335,8.4702,-0.7351,769
30825,1,627.9621,128.8163,2.8913,13.8824,-3.597,762
30826,1,583.1449,45.4237,1.6319,7.8211,0.2647,983
30827,1,560.5238,13.1576,1.6308,3.5797,-0.4184,918
30828,1,544.5561,208.941,-1.0982,1.285,1.4288,748
30830,1,659.6468,56.4529,2.6909,9.2303,-0.2327,769
30832,1,649.5231,123.5752,2.9211,14.2463,-2.1381,762
30834,1,670.1643,119.1906,2.9473,14.1155,-3.3132,762
30837,1,690.0566,115.8527,3.0046,13.7347,-1.7791,762
30838,1,561.7966,1.9311,1.7613,3.7064,-0.7151,918
30841,1,591.6501,98.007,2.5077,5.7878,-2.7917,769
30843,1,706.9057,114.183,3.0857,12.4064,0.0272,762
30845,1,592.9044,217.4712,-2.6338,6.5007,-0.6228,757
30847,1,564.5507,-7.0849,2.0099,2.5212,0.6593,-1
30851,1,579.2549,207.3461,-2.3549,1.8906,1.2471,757
30784,2,568.0819,113.0773,1.2892,7.91,-1.0585,2056
30785,2,564.7136,158.401,-0.6803,6.2822,1.873,2156
30787,2,578.2151,108.2154,-3.826,0.0,0.0,769
30788,2,563.0969,59.5261,1.4964,0.0,0.0,918
30789,2,552.1774,161.4421,0.063,5.9286,1.6238,900
30790,2,552.6703,193.0279,-1.1004,3.3035,1.5619,751
30791,2,565.9801,174.0038,1.9981,2.5668,1.5831,491
30792,2,538.2745,157.8993,0.2973,6.3588,-0.6256,2154
30793,2,574.9585,129.8288,1.0588,5.6949,-4.102,765
30794,2,569.7775,165.687,2.0335,1.8152,1.2208,2049
30795,2,574.437,156.523,2.06,2.5125,-0.3997,2049
30796,2,575.6791,137.5789,-2.2468,8.6316,-0.6995,766
30797,2,508.2453,149.3242,0.2429,0.0,0.0,485
30798,2,573.466,200.1065,-2.0992,2.813,-0.6546,2048
30799,2,524.3851,153.4896,0.3628,6.7107,0.4609,2275
30800,2,517.3293,142.9394,1.4725,4.6752,2.2624,440
30801,2,511.8554,130.6064,0.9153,5.4408,-3.089,440
30802,2,500.2022,147.3443,0.2376,0.7785,-0.8242,485
