obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
20028,1,0.9876,77.9684,1.5469,12.4067,0.5321,2609
20034,1,0.1741,43.8163,1.5469,10.4065,0.654,2609
20037,1,-0.4559,17.358,1.5469,8.8559,0.9904,2609
20039,1,-1.321,-9.4875,1.5127,3.1697,-1.5011,1040
20041,1,-2.3281,-23.6549,1.4729,5.5503,-0.9023,1040
20042,1,-4.3349,-41.0201,1.4442,5.9491,0.6687,1040
20045,1,-6.3436,-57.1719,1.4571,4.5506,0.9013,1040
20049,1,-7.7433,-70.6951,1.4913,2.9824,0.856,1040
20051,1,0.3203,0.8386,-2.7103,0.0,0.0,6662
20052,1,16.4659,1.7166,3.1267,0.8895,0.7447,1042
20053,1,-8.4589,-81.6081,1.5289,1.5473,0.7247,1040
20054,1,26.144,1.2058,3.0836,0.131,0.1347,1042
20055,1,-7.0442,-90.0992,1.8519,0.423,0.4315,1040
20056,1,33.4077,0.7841,3.0836,0.0734,-0.0196,1042
20058,1,85.4689,-184.3901,-0.5026,14.2794,0.0021,1039
20059,1,40.6587,0.239,3.0657,0.0192,0.0384,1042
20060,1,-4.5278,-96.8352,2.1049,0.0,0.0,1040
20061,1,-3.943,5.572,-1.3698,0.0,0.0,6662
20062,1,0.0083,-102.114,2.3388,0.0,0.0,1040
20063,1,47.6243,-0.2904,3.0657,0.0,0.0,1042
20064,1,54.584,-0.8195,3.0657,0.0,0.0,1042
20065,1,64.2778,-1.6801,3.0494,2.6078,-1.713,1042
20066,1,-3.6747,29.1827,-1.5945,7.4199,-1.1724,2608
20067,1,86.9119,-181.1922,2.6393,12.0489,0.4609,1040
20068,1,94.3281,-4.5712,3.0347,11.1228,-2.3157,1042
20070,1,-3.017,56.8234,-1.5946,10.2872,0.2652,2608
20071,1,133.7374,-189.5647,3.0571,9.6523,0.4233,1040
20028,2,1.0187,79.2756,1.5469,12.4599,0.5321,2609
20034,2,0.2006,44.9254,1.5469,10.4719,0.654,2609
20037,2,-0.4324,18.3435,1.5469,8.8559,1.0396,2609
20039,2,-1.306,-9.2298,1.5127,3.1697,-1.5011,1040
20041,2,-2.2746,-23.1094,1.4729,5.4125,-1.3775,1040
20042,2,-4.2596,-40.4279,1.4442,5.9905,0.4136,1040
20045,2,-6.2914,-56.7153,1.4571,4.6396,0.8893,1040
20049,2,-7.7193,-70.3934,1.4913,3.0702,0.8779,1040
20051,2,0.0356,0.6957,-2.673,0.0,0.0,6662
20052,2,16.3727,1.718,3.1267,0.9732,0.8374,1042
20053,2,-8.4523,-81.4496,1.5289,1.6246,0.7727,1040
20054,2,26.1296,1.2066,3.0836,0.1591,0.2806,1042
20055,2,-7.0567,-90.0559,1.8519,0.4772,0.5417,1040
20056,2,33.4004,0.7846,3.0836,0.0733,-0.0007,1042
20058,2,86.742,-185.0359,-0.4449,14.2796,0.0021,1039
20059,2,40.6566,0.2392,3.0657,0.0239,0.0472,1042
20060,2,-4.5279,-96.8351,2.1049,0.0025,0.0253,1040
20061,2,-3.943,5.572,-1.3698,0.0,0.0,6662
20062,2,0.0083,-102.114,2.3388,0.0,0.0,1040
20063,2,47.6243,-0.2904,3.0657,0.0,0.0,1042
20064,2,54.584,-0.8195,3.0657,0.0,0.0,1042
20065,2,64.0256,-1.6568,3.0494,2.457,-1.5086,1042
20066,2,-3.6921,28.4485,-1.5945,7.2681,-1.5183,2608
20067,2,85.8541,-180.6112,2.6393,12.0887,0.3975,1040
20068,2,93.2348,-4.4561,3.04,10.8625,-2.6028,1042
20070,2,-3.0414,55.7955,-1.5946,10.2762,-0.11,2608
20071,2,132.773,-189.483,3.0571,9.7037,0.5135,1040
20028,3,1.0499,80.5864,1.5469,12.5131,0.5321,2609
20034,3,0.2271,46.0387,1.5469,10.5373,0.654,2609
20037,3,-0.4087,19.3376,1.5469,8.955,0.9904,2609
20039,3,-1.2926,-8.9994,1.5127,3.0196,-1.5011,1040
20041,3,-2.2224,-22.5776,1.4729,5.2748,-1.3775,1040
20042,3,-4.1837,-39.8316,1.4442,6.0319,0.4136,1040
20045,3,-6.2383,-56.2499,1.4571,4.7285,0.8893,1040
20049,3,-7.6946,-70.083,1.4913,3.158,0.8779,1040
20051,3,-0.2545,0.5363,-2.6344,0.0,0.0,6662
20052,3,16.2712,1.7195,3.1267,1.057,0.8374,1042
20053,3,-8.4453,-81.2835,1.5289,1.7019,0.7727,1040
20054,3,26.1123,1.2076,3.0836,0.1872,0.2806,1042
20055,3,-7.0707,-90.0075,1.8519,0.5314,0.5417,1040
20056,3,33.393,0.785,3.0836,0.0732,-0.0007,1042
20058,3,88.031,-185.6506,-0.4449,14.2798,0.0021,1039
20059,3,40.654,0.2394,3.0657,0.0286,0.0472,1042
20060,3,-4.5281,-96.8348,2.1049,0.005,0.0253,1040
20061,3,-3.943,5.572,-1.3698,0.0,0.0,6662
20062,3,0.0083,-102.114,2.3388,0.0,0.0,1040
20063,3,47.6243,-0.2904,3.0657,0.0,0.0,1042
20064,3,54.584,-0.8195,3.0657,0.0,0.0,1042
20065,3,63.7885,-1.6349,3.0494,2.3061,-1.5086,1042
20066,3,-3.7092,27.7295,-1.5945,7.1162,-1.5183,2608
20067,3,84.7927,-180.0283,2.6393,12.1284,0.3975,1040
20068,3,92.1671,-4.3474,3.04,10.6022,-2.6028,1042
20070,3,-3.0659,54.7687,-1.5946,10.2652,-0.11,2608
20071,3,131.8036,-189.401,3.0571,9.755,0.5135,1040
20028,4,1.0812,81.9006,1.5469,12.5663,0.5321,2609
20034,4,0.2537,47.1563,1.5469,10.5946,0.5739,2609
20037,4,-0.3849,20.3403,1.5469,8.955,0.9904,2609
20039,4,-1.2808,-8.7966,1.5127,3.0196,-1.5011,1040
20041,4,-2.1715,-22.0595,1.4729,5.137,-1.3775,1040
20042,4,-4.1073,-39.2311,1.4442,6.0732,0.4136,1040
20045,4,-6.1842,-55.7757,1.4571,4.8174,0.8893,1040
20049,4,-7.6692,-69.7638,1.4913,3.2458,0.8779,1040
20051,4,-0.5487,0.359,-2.5945,0.0,0.0,6662
20052,4,16.1613,1.7212,3.1267,1.1407,0.8374,1042
20053,4,-8.438,-81.1096,1.5289,1.7791,0.7727,1040
20054,4,26.0922,1.2088,3.0836,0.2152,0.2806,1042
20055,4,-7.0862,-89.9538,1.8519,0.5855,0.5417,1040
20056,4,33.3857,0.7854,3.0836,0.0731,-0.0007,1042
20058,4,89.3201,-186.2652,-0.4449,14.28,0.0021,1039
20059,4,40.6509,0.2396,3.0657,0.0333,0.0472,1042
20060,4,-4.5284,-96.8342,2.1049,0.0075,0.0253,1040
20061,4,-3.943,5.572,-1.3698,0.0,0.0,6662
20062,4,0.0083,-102.114,2.3388,0.0,0.0,1040
20063,4,47.6243,-0.2904,3.0657,0.0,0.0,1042
20064,4,54.584,-0.8195,3.0657,0.0,0.0,1042
20065,4,63.5663,-1.6144,3.0494,2.1552,-1.5086,1042
20066,4,-3.726,27.0257,-1.5945,6.9644,-1.5183,2608
20067,4,83.7279,-179.4435,2.6393,12.1682,0.3975,1040
20068,4,91.1253,-4.2413,3.04,10.342,-2.6028,1042
20070,4,-3.0903,53.7431,-1.5946,10.2542,-0.11,2608
20071,4,130.829,-189.3185,3.0571,9.8064,0.5135,1040
20028,5,1.1126,83.2185,1.5469,12.6195,0.5321,2609
20034,5,0.2804,48.2782,1.5469,10.652,0.5739,2609
20037,5,-0.3608,21.3515,1.5469,9.054,0.9904,2609
20039,5,-1.2707,-8.6211,1.5127,2.8695,-1.5011,1040
20041,5,-2.122,-21.5551,1.4729,4.9993,-1.3775,1040
20042,5,-4.0303,-38.6266,1.4442,6.1146,0.4136,1040
20045,5,-6.129,-55.2927,1.4571,4.9064,0.8893,1040
20049,5,-7.643,-69.4359,1.4913,3.3336,0.8779,1040
20051,5,-0.8455,0.1625,-2.5533,0.0,0.0,6662
20052,5,16.0431,1.7229,3.1267,1.2245,0.8374,1042
20053,5,-8.4304,-80.9279,1.5289,1.8564,0.7727,1040
20054,5,26.0693,1.2101,3.0836,0.2433,0.2806,1042
20055,5,-7.1032,-89.8949,1.8519,0.6397,0.5417,1040
20056,5,33.3784,0.7858,3.0836,0.0731,-0.0007,1042
20058,5,90.6092,-186.8799,-0.4449,14.2802,0.0017,1039
20059,5,40.6473,0.2399,3.0657,0.0381,0.0472,1042
20060,5,-4.5288,-96.8335,2.1049,0.0101,0.0253,1040
20061,5,-3.943,5.572,-1.3698,0.0,0.0,6662
20062,5,0.0083,-102.114,2.3388,0.0,0.0,1040
20063,5,47.6243,-0.2904,3.0657,0.0,0.0,1042
20064,5,54.584,-0.8195,3.0657,0.0,0.0,1042
20065,5,63.3592,-1.5952,3.0494,2.0044,-1.5086,1042
20066,5,-3.7423,26.337,-1.5945,6.8126,-1.5183,2608
20067,5,82.6865,-178.8121,2.5615,12.2079,0.3975,1040
20068,5,90.1094,-4.1378,3.04,10.0817,-2.6028,1042
20070,5,-3.1147,52.7185,-1.5946,10.2432,-0.11,2608
20071,5,129.8493,-189.2356,3.0571,9.8577,0.5135,1040
20034,6,0.3072,49.4043,1.5469,10.7094,0.5739,2609
20037,6,-0.3365,22.3713,1.5469,9.153,0.9904,2609
20039,6,-1.2621,-8.4731,1.5127,2.8695,-1.5011,1040
20041,6,-2.0738,-21.0644,1.4729,4.8615,-1.3775,1040
20042,6,-3.9529,-38.018,1.4442,6.156,0.4136,1040
20045,6,-6.0728,-54.8008,1.4571,4.9953,0.8893,1040
20049,6,-7.6162,-69.0992,1.4913,3.4214,0.8779,1040
20051,6,-1.1426,-0.0553,-2.4693,0.0,0.0,6662
20052,6,15.9165,1.7248,3.1267,1.3082,0.8374,1042
20053,6,-8.4225,-80.7386,1.5289,1.9337,0.7727,1040
20054,6,26.0436,1.2116,3.0836,0.2714,0.2806,1042
20055,6,-7.1217,-89.8309,1.8519,0.6939,0.5417,1040
20056,6,33.3711,0.7863,3.0836,0.073,-0.0007,1042
20058,6,91.9394,-187.3981,-0.3595,14.2804,0.0017,1039
20059,6,40.6433,0.2402,3.0657,0.0428,0.0472,1042
20060,6,-4.5294,-96.8325,2.1049,0.0126,0.0253,1040
20061,6,-3.943,5.572,-1.3698,0.0,0.0,6662
20062,6,0.0083,-102.114,2.3388,0.0,0.0,1040
20063,6,47.6243,-0.2904,3.0657,0.0,0.0,1042
20064,6,54.584,-0.8195,3.0657,0.0,0.0,1042
20065,6,63.1672,-1.5775,3.0494,1.8535,-1.5086,1042
