timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,20028.0,Front-right,142.46,-250.69,137.95,-249.08,-9.93,-12.35,1.16,0.4,13.89,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,20034.0,Front-right,139.3,-216.68,134.79,-215.07,-10.12,-10.36,1.16,0.52,13.32,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,20037.0,Front-right,136.85,-190.33,132.34,-188.72,-10.26,-8.82,1.17,0.86,12.89,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,20039.0,Front-right,134.58,-163.56,130.08,-161.95,-10.9,-3.16,1.06,-1.63,11.94,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,20041.0,Front-right,133.94,-149.37,129.43,-147.76,-10.98,-5.55,1.06,-1.03,11.79,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,20042.0,Front-right,133.91,-131.89,129.4,-130.28,-11.14,-5.95,1.23,0.53,11.61,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,20045.0,Front-right,134.03,-115.62,129.52,-114.01,-11.07,-4.55,1.25,0.76,11.7,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,20049.0,Front-right,133.84,-102.02,129.34,-100.41,-10.97,-2.98,1.21,0.72,11.79,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,20051.0,Front-right,134.15,-174.01,129.65,-172.4,-11.08,0.0,1.15,-0.13,11.7,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20052.0,Front-right,118.22,-176.76,113.71,-175.15,-10.2,0.09,0.4,-0.12,11.15,1940.05,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,20053.0,Front-right,133.29,-91.1,128.78,-89.49,-10.97,-1.54,1.18,0.59,11.74,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,20054.0,Front-right,108.55,-177.38,104.04,-175.77,-10.95,0.01,1.01,-0.13,9.5,22920.97,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,20055.0,Front-right,130.89,-82.83,126.38,-81.22,-10.92,-0.39,1.03,0.28,11.57,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,20056.0,Front-right,101.29,-177.8,96.78,-176.19,-11.01,0.0,1.17,-0.14,8.79,41007.12,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,20058.0,Front,28.04,0.06,23.53,0.0,-24.31,5.38,1.15,-0.14,0.97,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
1.0,20059.0,Front-right,94.02,-178.11,89.51,-176.5,-11.06,0.0,1.11,-0.13,8.09,226082.36,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,20060.0,Front-right,127.61,-76.43,123.1,-74.82,-11.08,-0.0,1.15,-0.13,11.11,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20061.0,Front-right,138.94,-178.22,134.43,-176.61,-11.08,0.0,1.15,-0.13,12.13,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
