timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,20020.0,Front-right,33.26,-7.2,28.75,-5.59,-3.69,0.0,0.08,0.24,7.78,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20023.0,Front-right,32.29,-14.32,27.78,-12.71,-3.69,0.0,0.08,0.24,7.52,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20025.0,Front-right,31.14,-21.22,26.63,-19.61,-3.69,0.0,0.08,0.24,7.21,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20027.0,Front-right,30.15,-28.13,25.64,-26.52,-3.69,0.0,0.08,0.24,6.94,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20032.0,Front-right,29.47,-35.07,24.96,-33.46,-3.69,0.0,0.08,0.24,6.76,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20042.0,Front-right,29.23,-42.04,24.72,-40.43,-3.69,0.0,0.08,0.24,6.69,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20046.0,Rear-left,-154.74,154.96,-150.23,153.35,-11.92,13.41,-0.0,0.22,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
1.0,20048.0,Rear-left,-129.97,103.49,-125.46,101.88,-4.39,1.66,-0.62,0.18,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
1.0,20049.0,Rear-left,-118.4,76.59,-113.89,74.98,-4.89,2.66,-0.77,0.14,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
1.0,20054.0,Front-right,29.58,-9.24,25.08,-7.63,-4.91,-7.34,1.1,-0.27,5.11,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,20056.0,Front-right,29.4,-49.01,24.9,-47.4,-3.69,0.0,0.08,0.24,6.74,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20057.0,Rear-left,-15.29,1.79,-10.78,0.18,0.14,-0.34,0.46,1.18,78.02,0.53,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the left.
1.0,20058.0,Front-right,29.94,-55.97,25.44,-54.36,-3.69,0.0,0.08,0.24,6.89,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20059.0,Rear-left,-99.74,42.9,-95.23,41.29,-11.0,11.03,-0.3,0.13,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
1.0,20060.0,Left,0.61,3.31,0.0,1.7,-4.2,-0.06,0.19,0.89,0.0,27.53,Exact longitudinal alignment or co. Obstacle is driving toward the ego car laterally from the left.
1.0,20061.0,Rear-left,-27.39,2.85,-22.88,1.24,-1.17,-0.22,0.36,0.94,inf,5.59,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,20063.0,Front-right,30.76,-62.9,26.25,-61.29,-3.69,0.0,0.08,0.24,7.11,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20064.0,Front-left,195.79,168.75,191.28,167.14,6.56,4.97,0.08,0.24,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
1.0,20065.0,Rear-left,-37.71,3.77,-33.21,2.16,-2.26,-0.18,0.34,0.83,inf,12.13,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,20066.0,Rear-left,-46.25,4.84,-41.75,3.23,-3.26,-0.08,0.3,0.67,inf,42.53,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,20067.0,Front-right,28.64,-72.86,24.13,-71.25,-1.79,-11.51,0.71,0.16,13.52,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,20068.0,Rear-left,-53.38,6.11,-48.87,4.5,-3.69,-0.0,0.08,0.24,inf,inf,Obstacle is moving away longitudinally. No lateral relative motion.
1.0,20069.0,Front-right,31.72,-69.82,27.21,-68.21,-3.69,0.0,0.08,0.24,7.37,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20070.0,Front-left,177.53,158.65,173.02,157.04,6.08,5.88,0.08,0.24,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
1.0,20071.0,Front-right,25.73,-45.18,21.22,-43.57,-3.23,-10.26,1.03,-0.01,6.57,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
1.0,20072.0,Front-left,13.58,2.25,9.08,0.64,-9.77,0.6,0.41,1.05,0.93,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
1.0,20073.0,Rear-left,-60.16,7.77,-55.65,6.16,-3.69,-0.0,0.08,0.24,inf,inf,Obstacle is moving away longitudinally. No lateral relative motion.
1.0,20074.0,Front-left,33.4,6.22,28.89,4.61,-4.41,-2.34,-1.21,1.12,6.55,1.97,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,20075.0,Front-right,32.83,-76.71,28.32,-75.1,-3.69,0.0,0.08,0.24,7.67,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20076.0,Front-right,84.83,-222.05,80.32,-220.44,6.95,-9.96,0.08,0.24,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
1.0,20077.0,Right,-4.39,-5.27,0.0,-3.66,-3.69,0.0,0.08,0.24,0.0,inf,Exact longitudinal alignment or co. No lateral relative motion.
1.0,20078.0,Front-right,33.97,-83.59,29.46,-81.98,-3.69,0.0,0.08,0.24,7.98,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20079.0,Rear-left,-66.81,9.88,-62.3,8.27,-3.69,-0.0,0.08,0.24,inf,inf,Obstacle is moving away longitudinally. No lateral relative motion.
1.0,20080.0,Rear-right,-6.23,-11.97,-1.72,-10.36,-3.69,0.0,0.08,0.24,inf,inf,Obstacle is moving away longitudinally. No lateral relative motion.
1.0,20081.0,Front-right,38.02,-103.78,33.51,-102.17,-5.25,6.98,2.35,0.06,6.38,14.63,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,20082.0,Front-right,42.28,-121.64,37.77,-120.03,-6.15,9.77,2.5,0.11,6.15,12.28,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,20083.0,Rear-right,-39.64,-34.93,-35.13,-33.32,3.39,2.72,0.04,0.78,10.36,12.24,Obstacle is driving toward the ego car from behind. Obstacle is driving toward the ego car laterally from the right.
1.0,20084.0,Front-left,198.71,173.94,194.2,172.33,-14.26,-4.48,0.15,-0.5,13.62,38.44,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,20020.0,Front-right,33.08,-6.31,28.57,-4.7,-3.66,0.0,0.18,0.52,7.81,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
2.0,20023.0,Front-right,32.3,-13.44,27.79,-11.83,-3.66,0.0,0.18,0.52,7.6,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
2.0,20025.0,Front-right,31.34,-20.38,26.83,-18.77,-3.66,0.0,0.18,0.52,7.33,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
2.0,20027.0,Front-right,30.53,-27.31,26.03,-25.7,-3.66,0.0,0.18,0.52,7.11,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
2.0,20032.0,Front-right,30.04,-34.26,25.53,-32.65,-3.66,0.0,0.18,0.52,6.98,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
2.0,20042.0,Front-right,29.99,-41.23,25.48,-39.62,-3.66,0.0,0.18,0.52,6.96,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
2.0,20046.0,Rear-left,-160.08,152.07,-155.58,150.46,-12.25,13.19,0.09,0.5,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
2.0,20048.0,Rear-left,-133.65,101.25,-129.15,99.64,-4.43,1.71,-0.6,0.44,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
2.0,20049.0,Rear-left,-121.43,74.7,-116.92,73.09,-4.96,2.7,-0.67,0.41,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
2.0,20054.0,Front-right,29.32,-9.45,24.81,-7.84,-4.69,-7.48,1.2,0.0,5.29,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
2.0,20056.0,Front-right,30.35,-48.2,25.84,-46.59,-3.66,0.0,0.18,0.52,7.06,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
2.0,20057.0,Behind,-15.3,1.35,-10.79,0.0,0.18,-0.23,0.56,1.46,59.87,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
2.0,20058.0,Front-right,31.08,-55.14,26.57,-53.53,-3.66,0.0,0.18,0.52,7.26,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
2.0,20059.0,Rear-left,-102.02,41.35,-97.52,39.74,-11.28,10.86,-0.2,0.41,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
2.0,20060.0,Left,0.16,3.33,0.0,1.72,-4.1,-0.07,0.29,1.16,0.0,26.05,Exact longitudinal alignment or co. Obstacle is driving toward the ego car laterally from the left.
2.0,20061.0,Rear-left,-27.56,2.1,-23.05,0.49,-1.06,-0.16,0.46,1.21,inf,3.07,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,20063.0,Front-right,32.08,-62.05,27.57,-60.44,-3.66,0.0,0.18,0.52,7.53,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
2.0,20064.0,Front-left,191.83,174.48,187.32,172.87,6.46,5.24,0.18,0.52,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
2.0,20065.0,Rear-left,-38.02,2.74,-33.51,1.13,-2.16,-0.15,0.44,1.11,inf,7.75,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,20066.0,Rear-left,-46.68,3.59,-42.17,1.98,-3.18,-0.07,0.4,0.95,inf,27.69,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,20067.0,Front-right,30.47,-73.3,25.96,-71.69,-1.43,-11.51,0.74,0.44,18.14,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
2.0,20068.0,Rear-left,-53.88,4.67,-49.38,3.06,-3.66,-0.0,0.18,0.52,inf,inf,Obstacle is moving away longitudinally. No lateral relative motion.
2.0,20069.0,Front-right,33.23,-68.94,28.72,-67.33,-3.66,0.0,0.18,0.52,7.85,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
2.0,20070.0,Front-left,173.79,163.99,169.29,162.38,5.95,6.14,0.18,0.51,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
2.0,20071.0,Front-right,26.66,-45.63,22.15,-44.02,-2.91,-10.34,1.13,0.27,7.61,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
2.0,20072.0,Front-left,12.74,2.64,8.23,1.03,-9.66,0.43,0.51,1.32,0.85,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
2.0,20073.0,Rear-left,-60.71,6.15,-56.2,4.54,-3.66,-0.0,0.18,0.52,inf,inf,Obstacle is moving away longitudinally. No lateral relative motion.
2.0,20074.0,Front-left,32.82,6.99,28.32,5.38,-4.27,-2.21,-1.11,1.39,6.63,2.44,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,20075.0,Front-right,34.52,-75.8,30.01,-74.19,-3.66,0.0,0.18,0.52,8.2,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
2.0,20076.0,Front-right,91.51,-220.65,87.0,-219.04,7.25,-9.67,0.18,0.52,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the right.
2.0,20077.0,Rear-right,-4.61,-5.38,-0.1,-3.77,-3.66,0.0,0.18,0.52,inf,inf,Obstacle is moving away longitudinally. No lateral relative motion.
2.0,20078.0,Front-right,35.84,-82.65,31.34,-81.04,-3.66,0.0,0.18,0.52,8.56,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
2.0,20079.0,Rear-left,-67.41,8.07,-62.91,6.46,-3.66,-0.0,0.18,0.52,inf,inf,Obstacle is moving away longitudinally. No lateral relative motion.
2.0,20080.0,Rear-right,-6.27,-12.14,-1.76,-10.53,-3.66,0.0,0.18,0.52,inf,inf,Obstacle is moving away longitudinally. No lateral relative motion.
