obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
1,1,-82.8987,77.7986,-1.0573,28.6389,0.4654,178
2,1,-236.8485,485.923,-4.371,33.9605,-0.6319,164
4,1,-340.9709,731.3723,-1.3452,26.5528,-0.1251,179
5,1,-207.1437,333.507,-1.1685,31.898,-0.1342,177
7,1,-70.3103,116.2397,-4.1994,29.2807,0.3787,164
8,1,1.1496,-57.037,-1.026,31.2194,0.0776,152
9,1,-277.7092,511.912,-1.2634,31.7533,0.0096,178
10,1,-168.972,313.5528,-4.2993,29.6612,0.1866,164
11,1,-66.5557,102.4502,-4.1991,30.6386,-0.299,163
12,1,-199.3751,376.9286,-4.3245,34.2896,0.5713,163
13,1,-67.1234,57.3077,-1.0444,32.7595,0.7222,177
14,1,-234.8837,459.8939,-4.3549,33.2731,-0.5853,162
15,1,-353.5327,789.3457,-1.3689,25.1375,1.2225,179
16,1,-212.9885,401.8378,-4.3368,35.7949,0.6308,162
19,1,-188.7841,291.2583,-1.1567,30.9968,0.1942,177
20,1,-225.6383,359.7367,-1.1784,33.2572,-0.2864,179
22,1,-106.9137,113.2541,-1.0574,29.3139,-1.4043,179
24,1,-191.2554,279.4951,-1.1567,32.3214,0.0137,179
25,1,-188.2126,358.8665,-4.3243,27.762,0.1181,164
30,1,-216.9154,421.7662,-4.3549,33.5579,0.3899,163
31,1,-49.5846,13.977,-1.0336,39.1929,0.1705,179
32,1,-182.6962,327.651,-4.3115,34.9912,0.1967,162
41,1,-196.0174,299.0227,-1.1566,31.1155,1.1153,178
42,1,-277.7362,500.4152,-1.2634,33.022,-0.7851,179
44,1,-152.8628,277.4407,-4.2845,29.8906,-0.1307,164
46,1,-206.4518,314.0801,-1.1573,32.0618,0.0263,179
51,1,101.0834,-228.7115,-1.026,38.5401,-0.2478,153
53,1,-137.266,244.707,-4.2529,29.7406,-0.624,164
57,1,-184.6728,341.2938,-4.3117,33.747,-2.25,163
59,1,-305.9911,593.0499,-1.2779,29.7691,0.1713,179
61,1,72.3584,-174.5563,-1.026,38.0597,1.6995,152
63,1,-59.6019,37.6364,-1.0336,26.9675,0.1279,178
64,1,-169.2862,305.5409,-4.2991,33.5867,1.8173,163
66,1,-163.5721,284.0543,-4.2843,34.7076,-0.4386,162
69,1,-121.9125,214.1515,-4.2373,29.3039,0.2034,164
70,1,-154.5487,272.7078,-4.2824,32.7851,-0.5822,163
73,1,-287.7195,556.7068,-1.2778,32.2652,0.6429,177
81,1,-147.4415,249.5579,-4.2666,33.8018,0.9849,162
82,1,-105.889,182.9974,-4.2373,28.9693,1.0727,164
83,1,-134.3439,230.9212,-4.2528,33.493,0.4306,163
85,1,-124.2698,144.8253,-1.0816,29.2391,-0.0994,179
90,1,-100.2718,115.7236,-1.0572,32.6003,-0.6876,177
92,1,-232.6724,386.6414,-1.1917,37.6621,-1.5525,178
93,1,-318.1546,635.4759,-1.3102,27.6392,-0.5178,179
95,1,-128.9383,212.5162,-4.2374,33.7208,0.4568,162
98,1,-89.7044,151.8893,-4.2247,28.6047,-1.7441,164
99,1,-117.9835,198.8718,-4.2374,32.7827,-0.6233,163
101,1,-50.5832,29.3364,-1.0336,33.7908,-1.2395,177
103,1,-143.8434,182.0598,-1.0955,29.9131,-0.3359,179
105,1,-326.74,669.4087,-1.3397,27.5688,0.6429,179
107,1,-243.4913,404.7445,-1.2042,34.1814,1.2171,179
116,1,-333.7574,699.9327,-1.3452,26.9507,0.3739,179
117,1,-99.8929,163.6978,-4.2364,32.6364,0.1029,163
120,1,-165.3474,224.4434,-1.1079,29.2366,-0.1376,179
121,1,-198.0764,364.499,-4.3245,35.3784,-0.0903,162
128,1,-301.278,601.6644,-1.2778,33.0378,0.2175,177
129,1,21.9533,-98.1264,-1.0259,38.004,1.0893,153
137,1,-117.8991,147.7689,-1.0815,32.1385,-0.4198,177
138,1,-107.1553,170.149,-4.2374,33.5554,0.391,162
139,1,-83.5775,133.1376,-4.2138,31.2259,0.188,163
141,1,-129.3982,161.9116,-1.0817,31.4887,-1.1013,178
149,1,-89.7601,137.1701,-4.2137,32.9792,0.2938,162
157,1,-315.6303,639.5859,-1.3104,33.193,2.1333,178
158,1,-73.7591,108.0989,-4.1994,31.9965,-0.5245,162
166,1,-54.6645,88.7514,-4.1847,28.498,-0.7446,164
167,1,-109.6422,125.315,-1.0698,31.0449,-0.7838,178
168,1,-253.0182,450.079,-1.2171,37.1975,-0.4128,177
169,1,-347.774,761.6703,-1.3531,26.0643,-0.1468,179
170,1,76.3658,-187.9204,-1.026,36.0645,-0.1175,153
171,1,-49.7619,73.4686,-4.1677,30.0288,-0.3345,163
172,1,-327.8525,705.4924,-1.3454,28.2015,-0.5352,177
173,1,53.7007,-143.7629,-1.026,36.7519,0.9185,152
174,1,53.2966,-149.8497,-1.026,36.0794,-1.6457,153
176,1,-289.7153,539.0667,-1.2779,33.0145,-0.556,179
180,1,-257.6452,442.3966,-1.2172,33.8484,-1.038,179
185,1,-57.0199,78.8925,-4.1846,31.2598,1.9002,162
188,1,-144.8477,191.6585,-1.0953,30.7929,0.4398,178
192,1,-36.9374,59.0784,-4.167,28.3548,1.6512,164
196,1,-358.7688,816.4217,-1.3826,24.1795,-0.1381,179
197,1,-21.5794,34.4607,-4.153,27.1888,1.5707,164
199,1,-33.8623,47.4837,-4.1528,29.0275,-0.0871,163
200,1,-70.3526,48.926,-1.0442,38.5229,0.5129,179
201,1,-41.0163,52.3412,-4.1589,29.9909,-1.8249,162
203,1,-363.5366,843.1639,-1.3972,23.411,0.2826,179
205,1,-22.9995,-16.9795,-1.0329,32.2312,1.0142,177
206,1,-368.2496,871.7617,-1.4103,23.0321,1.2051,179
209,1,-372.7918,903.0055,-1.4254,21.8423,1.9536,179
212,1,-24.3052,25.6291,-4.1528,29.2454,0.1792,162
213,1,-165.0761,231.7735,-1.1153,31.5243,0.7013,178
214,1,-377.2365,933.27,-1.419,18.3683,2.1379,179
215,1,-6.5249,10.4104,-4.1535,25.9881,-2.0664,164
220,1,-159.385,228.1698,-1.1079,32.6553,0.1069,177
221,1,-381.3313,961.5352,-1.4399,14.532,1.7707,179
222,1,-384.0294,982.0454,-1.4399,11.0804,1.9454,179
228,1,-331.0775,703.9072,-1.3454,35.8852,-1.2238,178
235,1,-297.8277,578.1102,-1.2779,35.2795,-0.9905,178
236,1,-18.8931,23.5807,-4.1528,27.8223,1.2948,163
237,1,7.9823,-13.2945,-4.1873,25.2173,0.6901,440
239,1,-90.0092,83.2712,-1.0574,34.9762,0.2058,179
248,1,-8.5792,0.4972,-4.1573,28.21,1.1351,162
249,1,34.8675,-112.6818,-1.026,35.6849,2.1654,152
251,1,-178.9163,260.8234,-1.1394,30.488,-2.6005,178
252,1,0.2412,-7.1485,-4.1705,27.7799,1.7778,439
253,1,21.9119,-37.3417,-4.1873,24.319,0.7734,146
254,1,-386.0656,997.5242,-1.4399,7.8536,1.5622,179
255,1,13.3874,-29.6142,-4.1873,26.22,-0.8854,145
266,1,7.7589,-26.8743,-4.1873,27.4611,1.11,144
274,1,-23.4748,-35.8471,-1.1856,38.1184,-0.0224,462
279,1,-271.8646,505.0621,-1.2635,36.9585,0.4643,177
283,1,33.682,-57.661,-4.1873,22.7608,-0.1473,146
284,1,-19.7928,-29.1626,-1.0308,36.5025,1.066,460
289,1,-337.3851,731.4196,-1.3454,34.1656,-1.8097,178
293,1,25.3063,-50.1877,-4.1873,24.6648,0.7667,145
295,1,21.1163,-49.9358,-4.1873,26.1391,1.5422,144
296,1,46.0212,-78.9627,-4.1873,21.7683,0.8741,146
298,1,-315.9183,654.6347,-1.3288,34.6617,-1.1383,177
300,1,-387.3911,1007.6007,-1.4399,4.596,2.598,179
302,1,-34.6766,-4.219,-1.0336,34.6099,0.5042,178
304,1,-334.2401,733.3553,-1.3454,27.1622,-0.1636,177
305,1,-248.73,428.3654,-1.2169,34.7525,-0.2156,178
308,1,-358.4054,834.1507,-1.3972,31.2404,-0.361,178
309,1,-352.0757,818.6724,-1.3826,33.9098,-0.9162,177
313,1,-342.7272,755.0916,-1.3531,32.198,2.2576,178
314,1,37.3118,-70.9108,-4.1873,23.2088,2.227,145
317,1,-292.201,547.3113,-1.2779,28.8366,-1.0383,179
323,1,36.2015,-75.9804,-4.1873,25.4597,1.2126,144
324,1,46.83,-94.3303,-4.1873,23.359,0.0983,144
327,1,-356.7538,844.9994,-1.3973,32.0901,-1.2173,177
328,1,-223.2174,372.3641,-1.1914,32.2364,-0.0119,177
330,1,-363.5043,864.3502,-1.4104,30.1948,0.0097,178
332,1,51.7032,-95.7527,-4.1873,22.5869,-0.5707,145
335,1,-362.2208,878.3602,-1.4109,30.6258,0.0137,177
336,1,-350.5804,792.3664,-1.3685,30.768,0.0969,178
337,1,58.201,-99.9898,-4.1873,20.7912,2.4589,146
338,1,68.4349,-117.6584,-4.1873,18.9878,0.5095,146
339,1,62.2528,-113.9665,-4.1873,20.7995,1.504,145
342,1,-365.4041,899.8495,-1.4253,28.3929,1.2755,177
349,1,-369.4351,903.196,-1.4253,30.2768,-0.1809,178
353,1,-368.312,919.707,-1.4253,25.8597,1.3189,177
354,1,57.9286,-113.4879,-4.1872,21.7964,0.5822,144
356,1,73.1991,-132.8649,-4.1873,17.1597,2.4672,145
365,1,68.0393,-130.9398,-4.1872,18.7527,1.8488,144
368,1,-371.4539,941.1633,-1.4253,23.8258,0.1676,177
369,1,-141.7657,193.3229,-1.0953,33.6067,0.2687,177
370,1,-266.4769,477.576,-1.2475,34.5531,0.4155,178
371,1,78.4992,-135.0342,-4.1873,16.5904,2.5433,146
372,1,-321.595,678.1972,-1.3454,32.56,-0.9656,177
375,1,76.7516,-145.978,-4.1872,15.2471,2.4156,144
376,1,81.8979,-147.8831,-4.1873,13.6889,1.7978,145
377,1,86.9752,-149.6679,-4.1873,13.7377,2.3523,146
379,1,-373.7376,932.5738,-1.4253,29.1475,0.3153,178
384,1,-376.3037,950.2305,-1.4332,26.106,1.5029,178
385,1,84.375,-159.1368,-4.1872,12.1692,2.069,144
386,1,-374.1193,960.3642,-1.44,21.7883,0.5125,177
387,1,89.0176,-160.1753,-4.1873,10.513,1.3319,145
389,1,0.9006,-63.3854,-1.0259,37.3437,2.3921,153
390,1,93.3723,-160.7123,-4.1873,10.548,1.5885,146
400,1,90.3897,-169.5187,-4.1872,8.8409,1.8188,144
405,1,95.0866,-170.6531,-4.1873,8.3098,2.4172,-1
412,1,-172.1016,254.4717,-1.1261,31.2425,1.2244,177
426,1,-381.3014,988.1265,-1.4401,20.5054,2.2865,178
431,1,-378.0818,990.4947,-1.44,21.8164,2.1092,177
434,1,-382.8571,999.9637,-1.4401,16.7951,1.9792,178
1,2,-81.4945,75.3087,-1.0573,28.5852,-0.5364,178
2,2,-237.9884,489.1319,-4.371,34.0528,0.9229,164
4,2,-340.3755,728.7776,-1.3452,26.6212,0.684,179
5,2,-205.8934,330.5677,-1.1685,31.9413,0.4336,177
7,2,-71.7366,118.7771,-4.2004,29.1083,-1.7237,164
8,2,2.7712,-59.7132,-1.026,31.291,0.7152,152
9,2,-276.749,508.8868,-1.2634,31.7397,-0.136,178
10,2,-170.1602,316.2638,-4.2993,29.5995,-0.6175,164
11,2,-68.0617,105.1225,-4.1991,30.6741,0.3546,163
12,2,-200.6551,380.1174,-4.3333,34.3626,0.7301,163
