timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,0.0,Front-left,166.71,37.71,162.2,36.1,-51.11,-2.04,0.11,-0.74,3.17,17.69,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,2.0,Front-left,955.49,189.02,950.98,187.41,14.32,12.13,0.41,-1.12,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
1.0,3.0,Front-left,753.94,116.35,749.43,114.74,13.71,9.33,0.75,-1.94,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
1.0,4.0,Front-left,756.02,120.73,751.51,119.12,18.72,10.99,-0.32,0.27,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
1.0,7.0,Front-left,421.11,62.37,416.6,60.76,-42.31,-4.68,0.55,-2.1,9.85,12.98,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,8.0,Front-left,386.34,53.05,381.84,51.44,-42.29,-4.14,0.09,-0.6,9.03,12.42,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,9.0,Front-left,1240.32,310.16,1235.81,308.55,18.9,14.78,0.42,-1.11,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
1.0,10.0,Front-left,165.45,34.13,160.95,32.52,-47.76,-1.85,0.09,-0.65,3.37,17.58,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,11.0,Front-left,1134.67,263.45,1130.16,261.84,18.14,14.44,0.4,-1.08,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
1.0,12.0,Front-left,867.78,157.31,863.27,155.7,11.7,10.24,0.12,-0.62,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
1.0,13.0,Front-left,730.67,140.99,726.16,139.38,-40.25,-8.29,0.57,-1.59,18.04,16.8,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,14.0,Front-left,673.2,91.92,668.69,90.31,15.25,8.37,0.36,-1.2,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
1.0,15.0,Front-left,814.44,166.31,809.93,164.7,-39.05,-8.86,0.5,-1.36,20.74,18.6,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,16.0,Front-left,492.37,75.78,487.86,74.17,-42.22,-5.58,0.13,-0.72,11.55,13.3,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,17.0,Front,92.13,1.14,87.62,0.0,7.52,0.37,0.31,-2.17,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
1.0,18.0,Front-left,551.19,57.1,546.69,55.49,13.58,6.43,-0.16,0.09,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
1.0,19.0,Front-left,1026.01,223.26,1021.51,221.65,13.98,12.34,0.17,-0.69,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
1.0,20.0,Front-left,106.64,8.5,102.13,6.89,9.17,0.75,0.41,-2.65,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
1.0,23.0,Front-left,1040.02,233.14,1035.51,231.53,20.0,14.95,-0.28,0.06,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
1.0,25.0,Front-left,262.29,46.21,257.78,44.6,-48.75,-3.73,-0.15,0.39,5.29,11.96,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,30.0,Front-left,348.43,48.77,343.92,47.16,-42.09,-3.29,-0.1,0.14,8.17,14.36,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,36.0,Front-left,212.05,40.87,207.54,39.26,-48.07,-3.0,0.06,-0.51,4.32,13.07,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,43.0,Front-left,1179.03,283.06,1174.52,281.45,17.49,14.16,-0.3,0.08,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
1.0,44.0,Front-left,422.52,59.06,418.01,57.45,-42.28,-4.69,0.15,-0.79,9.89,12.25,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,50.0,Front-left,416.7,65.17,412.19,63.56,-45.1,-5.16,-0.35,0.83,9.14,12.32,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,51.0,Front-left,829.57,139.17,825.06,137.56,12.63,9.83,0.04,-0.46,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
1.0,57.0,Front-left,458.45,65.55,453.94,63.94,-42.25,-5.19,0.04,-0.44,10.74,12.33,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,60.0,Front-left,235.74,39.75,231.23,38.14,-50.95,-4.1,0.06,-0.51,4.54,9.31,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,61.0,Front-left,1095.33,246.22,1090.82,244.61,18.16,13.86,-0.55,0.53,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
1.0,64.0,Front-left,383.1,56.11,378.59,54.5,-42.08,-4.12,0.04,-0.44,9.0,13.23,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,66.0,Front-left,489.28,78.73,484.77,77.12,-43.73,-5.89,-0.09,-0.06,11.09,13.1,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,72.0,Front-left,555.69,89.93,551.18,88.32,-40.84,-6.13,-0.16,0.08,13.5,14.4,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,76.0,Front-left,494.71,72.68,490.2,71.07,-42.34,-5.61,-0.11,0.0,11.58,12.67,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,77.0,Front-left,457.16,68.87,452.66,67.26,-42.37,-5.21,0.19,-0.89,10.68,12.91,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,79.0,Front-left,525.19,86.42,520.68,84.81,-43.4,-6.7,-0.19,0.17,12.0,12.65,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,81.0,Front-left,529.86,80.33,525.35,78.72,-42.11,-6.43,0.31,-1.16,12.48,12.25,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,82.0,Front-left,589.38,97.94,584.87,96.33,-40.64,-6.58,0.3,-1.12,14.39,14.63,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,83.0,Front-left,560.39,94.62,555.88,93.01,-43.17,-6.68,0.1,-0.61,12.88,13.93,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,86.0,Front-left,595.04,102.97,590.54,101.36,-42.72,-7.11,-0.42,0.72,13.82,14.25,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
