obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
20041,1,-9.5035,29.4219,2.1702,11.6245,0.4957,5906
20042,1,0.1761,8.0674,1.8559,10.8134,0.7288,13379
20043,1,-10.9431,-10.7545,1.0583,5.5713,-1.8395,5909
20045,1,12.2739,-5.2148,2.8143,12.8306,-4.1105,5086
20046,1,-14.0194,-43.5911,1.4621,8.9013,-0.6818,5909
20047,1,-16.6252,-67.4828,1.4621,9.0648,0.0105,5909
20048,1,67.402,-14.904,2.9821,14.8934,0.3528,5086
20049,1,-18.7282,-86.7642,1.4621,8.607,0.2183,5909
20050,1,-20.4711,-102.7445,1.4621,8.189,-0.0181,5909
20041,2,-10.1822,30.4151,2.1702,11.6741,0.4957,5906
20042,2,-0.1898,9.1184,1.9125,10.8863,0.7288,5906
20043,2,-10.6744,-10.2769,1.0583,5.3874,-1.8395,5909
20045,2,11.1083,-4.7358,2.6927,12.4195,-4.1105,5086
20046,2,-13.9233,-42.7096,1.4621,8.8331,-0.6818,5909
20047,2,-16.5269,-66.5816,1.4621,9.0658,0.0105,5909
20048,2,65.9298,-14.6673,2.9821,14.9287,0.3528,5086
20049,2,-18.6347,-85.9075,1.4621,8.6288,0.2183,5909
20050,2,-20.3823,-101.9305,1.4621,8.1872,-0.0181,5909
20041,3,-10.8882,31.3917,2.2949,11.7237,0.4957,5906
20042,3,-0.5651,10.1737,1.9125,10.9592,0.6876,5906
20043,3,-10.4144,-9.8156,0.9142,5.2034,-1.8395,5909
20045,3,10.0078,-4.2059,2.6927,12.0085,-4.1105,5086
20046,3,-13.8279,-41.8349,1.4621,8.7649,-0.6818,5909
20047,3,-16.4286,-65.6803,1.4621,9.0669,0.0105,5909
20048,3,64.4542,-14.4299,2.9821,14.964,0.3528,5086
20049,3,-18.5411,-85.0486,1.4621,8.6506,0.2183,5909
20050,3,-20.2936,-101.1167,1.4621,8.1854,-0.0181,5909
20041,4,-11.69,32.2983,2.2949,11.7665,0.4284,5906
20042,4,-0.9427,11.2354,1.9125,10.9592,0.7288,5906
20043,4,-10.1024,-9.4107,0.9142,5.0195,-1.8395,5909
20045,4,8.9879,-3.6169,2.5619,12.0085,-4.1105,5086
20046,4,-13.7332,-40.967,1.4621,8.6967,-0.6818,5909
20047,4,-16.3303,-64.7789,1.4621,9.0679,0.0105,5909
20048,4,62.975,-14.192,2.9821,14.9993,0.3528,5086
20049,4,-18.4472,-84.1875,1.4621,8.6725,0.2183,5909
