timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,20041.0,Front-left,55.48,3.25,50.97,1.64,1.67,7.53,-0.06,2.45,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
1.0,20042.0,Front-right,35.26,-8.63,30.75,-7.02,2.81,4.12,0.01,2.74,inf,1.7,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,20043.0,Front,15.37,0.45,10.86,0.0,-2.07,-2.21,-0.69,0.44,5.25,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
1.0,20045.0,Front-right,23.32,-22.05,18.82,-20.44,-4.36,12.52,4.11,0.72,4.31,1.63,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,20046.0,Behind,-17.61,0.05,-13.1,0.0,1.72,-0.03,0.14,1.37,7.64,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
1.0,20047.0,Behind,-41.64,0.13,-37.13,0.0,1.88,-0.03,0.22,2.05,19.76,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
1.0,20048.0,Front-right,19.49,-77.9,14.98,-76.29,-6.38,14.87,-0.13,2.1,2.35,5.13,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,20049.0,Behind,-61.04,0.19,-56.53,0.0,1.42,-0.03,0.24,2.26,39.78,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
1.0,20050.0,Behind,-77.11,0.24,-72.6,0.0,1.0,-0.03,0.21,2.03,72.39,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
2.0,20041.0,Front-left,55.69,3.5,51.18,1.89,2.23,7.48,-0.04,2.87,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
2.0,20042.0,Front-right,35.45,-8.49,30.94,-6.88,3.13,4.61,-0.01,3.14,inf,1.49,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,20043.0,Front,15.14,0.08,10.63,0.0,-1.8,-2.18,-0.67,0.85,5.89,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
2.0,20045.0,Front-right,22.74,-21.07,18.23,-19.46,-2.44,11.65,3.94,0.67,7.48,1.67,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,20046.0,Behind,-17.46,0.21,-12.95,0.0,2.1,-0.11,0.16,1.78,6.16,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
2.0,20047.0,Behind,-41.47,0.51,-36.96,0.0,2.33,-0.11,0.24,2.47,15.83,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
2.0,20048.0,Front-right,18.11,-76.59,13.61,-74.98,-5.78,14.9,-0.11,2.51,2.35,5.03,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,20049.0,Behind,-60.91,0.76,-56.4,0.0,1.9,-0.11,0.26,2.68,29.72,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
2.0,20050.0,Behind,-77.02,0.96,-72.52,0.0,1.46,-0.1,0.23,2.44,49.81,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
3.0,20041.0,Front-left,55.96,3.31,51.46,1.7,1.74,8.43,-0.17,2.35,inf,inf,Obstacle is moving away longitudinally. Obstacle is moving away laterally to the left.
3.0,20042.0,Front-right,35.62,-8.65,31.11,-7.04,3.6,4.47,-0.07,2.62,inf,1.57,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
