obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
0,1,-9.7167,-2.4178,0.1847,0.0,0.0,1979
2,1,1.962,-11.3775,-1.3995,8.2456,1.8665,86
7,1,6.5697,0.6644,-3.6818,7.3138,2.4092,3912
8,1,-17.09,-3.796,0.1847,0.0,0.0,1979
10,1,-24.4632,-5.1742,0.1847,0.0,0.0,1979
12,1,-31.8379,-6.5447,0.1816,0.0,0.0,1979
16,1,-39.2181,-7.8854,0.1787,0.0,-0.0,1979
17,1,28.9451,2.1093,-3.0134,4.0677,1.5055,832
19,1,5.4566,-11.0723,-4.5396,0.0,0.0,87
22,1,6.7595,-18.4591,-4.5362,0.0001,-0.0003,87
25,1,38.752,3.3724,-3.0134,2.9219,2.5124,832
30,1,-46.5998,-9.2188,0.1787,0.0002,-0.0003,1979
31,1,8.3473,-25.7889,-4.473,0.0022,-0.0018,87
32,1,47.8122,4.5394,-3.0134,1.8612,1.2544,832
33,1,10.4186,-33.0128,-4.3997,0.0207,-0.017,87
35,1,56.9332,5.7141,-3.0134,1.6728,0.2703,832
36,1,-53.9876,-10.5533,0.1787,0.0069,-0.0069,1979
38,1,67.4844,7.0731,-3.0134,2.6213,-0.8697,832
39,1,13.0386,-40.4965,-4.3488,0.4632,-0.471,87
41,1,-9.6425,1.1587,-2.9554,8.3685,1.8228,1978
42,1,16.6588,-49.4909,-4.3046,1.9385,-1.1949,87
44,1,85.6002,9.4064,-3.0134,6.9063,-0.6786,832
45,1,-4.0517,19.5652,-1.4143,8.8408,-4.4999,92
48,1,-5.4256,40.2569,-1.564,10.4744,-4.014,92
50,1,-61.4348,-11.877,0.1702,0.0673,-0.082,1979
51,1,22.8959,-63.6814,-4.297,5.4512,-2.0788,87
53,1,114.8443,13.1718,-3.0135,12.0425,-1.1208,832
0,2,-9.7167,-2.4178,0.1847,0.0,0.0,1979
2,2,2.1008,-12.2054,-1.3965,8.3943,1.4863,86
7,2,5.9559,1.0074,-3.8231,7.5431,2.293,3913
8,2,-17.09,-3.796,0.1847,0.0,0.0,1979
10,2,-24.4632,-5.1742,0.1847,0.0,0.0,1979
12,2,-31.8379,-6.5447,0.1816,0.0,0.0,1979
16,2,-39.2181,-7.8854,0.1787,0.0,-0.0,1979
17,2,28.5212,2.0547,-3.0134,4.2748,2.0709,832
19,2,5.4566,-11.0723,-4.5396,0.0,0.0,87
22,2,6.7594,-18.4591,-4.5362,0.0001,-0.0001,87
25,2,38.4466,3.3331,-3.0134,3.0787,1.5679,832
30,2,-46.5998,-9.2188,0.1787,0.0002,-0.0002,1979
