timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,0.0,Front,28.06,-0.46,23.55,0.0,-5.55,-0.0,-0.81,-0.1,4.24,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
1.0,2.0,Front-left,17.63,9.92,13.12,8.31,-5.91,8.24,-0.49,-1.94,2.22,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
1.0,7.0,Front,11.51,-1.43,7.01,0.0,0.19,-4.53,-2.88,1.13,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
1.0,8.0,Front,35.55,-0.04,31.04,0.0,-5.55,-0.0,-0.81,-0.1,5.59,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
1.0,10.0,Front,43.04,0.38,38.53,0.0,-5.55,-0.0,-0.81,-0.1,6.94,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
1.0,12.0,Front,50.53,0.8,46.02,0.0,-5.55,-0.0,-0.81,-0.1,8.29,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
1.0,16.0,Front,58.02,1.18,53.51,0.0,-5.55,-0.0,-0.81,-0.1,9.64,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
1.0,17.0,Behind,-10.86,0.0,-6.35,0.0,-1.49,-0.0,-2.3,-0.3,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
1.0,19.0,Front-left,14.12,10.07,9.61,8.46,-5.55,-0.0,-0.81,-0.1,1.73,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,22.0,Front-left,13.78,17.56,9.27,15.95,-5.55,-0.0,-0.81,-0.11,1.67,159686.02,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,25.0,Behind,-20.75,0.01,-16.24,0.0,-2.63,-0.0,-3.3,-0.43,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
1.0,30.0,Front,65.51,1.56,61.0,0.0,-5.55,-0.0,-0.81,-0.1,10.98,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
1.0,31.0,Front-left,13.14,25.03,8.63,23.42,-5.55,-0.0,-0.81,-0.11,1.55,10712.76,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,32.0,Behind,-29.88,0.01,-25.38,0.0,-3.69,-0.0,-2.06,-0.27,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
1.0,33.0,Front-left,12.01,32.46,7.5,30.85,-5.55,-0.02,-0.81,-0.12,1.35,1516.14,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,35.0,Behind,-39.08,0.01,-34.57,0.0,-3.88,-0.0,-1.08,-0.14,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
1.0,36.0,Front-left,73.01,1.94,68.5,0.33,-5.56,-0.0,-0.82,-0.11,12.32,943.64,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,38.0,Behind,-49.72,0.02,-45.21,0.0,-2.93,-0.0,0.05,0.01,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
1.0,39.0,Front-left,10.37,40.22,5.86,38.61,-5.45,-0.45,-0.64,-0.55,1.08,85.71,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,41.0,Front-right,27.53,-4.0,23.02,-2.39,2.8,0.48,-2.6,-0.44,inf,4.94,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,42.0,Front-left,7.93,49.6,3.43,47.99,-5.02,-1.86,-0.34,-1.2,0.68,25.76,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,44.0,Behind,-67.98,0.03,-63.48,0.0,1.35,-0.0,-0.14,-0.02,46.93,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
1.0,45.0,Front-right,19.63,-21.54,15.12,-19.93,-5.8,8.84,-1.51,4.34,2.61,2.25,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,48.0,Front-right,18.34,-42.23,13.83,-40.62,-4.28,10.4,-0.84,3.91,3.23,3.91,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
1.0,50.0,Front-left,80.57,2.3,76.06,0.69,-5.62,-0.0,-0.89,-0.12,13.53,244.19,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,51.0,Left,3.57,64.48,0.0,62.87,-4.01,-5.23,0.03,-2.01,0.0,12.02,Exact longitudinal alignment or co. Obstacle is driving toward the ego car laterally from the left.
1.0,53.0,Behind,-97.47,0.04,-92.96,0.0,6.49,-0.0,0.3,0.04,14.33,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
2.0,0.0,Front,27.5,-0.46,22.99,0.0,-5.31,-0.0,-1.61,-0.21,4.33,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
2.0,2.0,Front-left,17.03,10.76,12.53,9.15,-5.69,8.39,-1.35,-1.67,2.2,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
2.0,7.0,Front-right,11.52,-1.85,7.01,-0.24,-0.11,-5.46,-3.39,1.24,66.25,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the right.
2.0,8.0,Front,34.99,-0.04,30.48,0.0,-5.31,-0.0,-1.61,-0.21,5.74,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
2.0,10.0,Front,42.48,0.38,37.97,0.0,-5.31,-0.0,-1.61,-0.21,7.16,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
2.0,12.0,Front,49.97,0.8,45.46,0.0,-5.31,-0.0,-1.61,-0.21,8.57,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
2.0,16.0,Front,57.46,1.18,52.95,0.0,-5.31,-0.0,-1.61,-0.21,9.98,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
2.0,17.0,Behind,-10.99,0.0,-6.49,0.0,-1.03,-0.0,-3.66,-0.47,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
2.0,19.0,Front-left,13.56,10.07,9.05,8.46,-5.31,-0.0,-1.61,-0.21,1.71,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
2.0,22.0,Front-left,13.22,17.56,8.71,15.95,-5.31,-0.0,-1.61,-0.21,1.64,159686.01,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,25.0,Behind,-21.0,0.01,-16.49,0.0,-2.23,-0.0,-3.16,-0.41,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
2.0,30.0,Front,64.95,1.56,60.44,0.0,-5.31,-0.0,-1.61,-0.21,11.39,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
2.0,31.0,Front-left,12.58,25.03,8.07,23.42,-5.31,-0.0,-1.61,-0.21,1.52,11783.94,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,32.0,Behind,-30.24,0.01,-25.73,0.0,-3.28,-0.0,-3.3,-0.43,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
2.0,33.0,Front-left,11.45,32.46,6.94,30.85,-5.3,-0.02,-1.6,-0.23,1.31,1687.22,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,35.0,Behind,-39.47,0.01,-34.97,0.0,-3.63,-0.0,-1.69,-0.22,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
2.0,36.0,Front-left,72.45,1.94,67.94,0.33,-5.31,-0.0,-1.62,-0.21,12.79,1085.3,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,38.0,Behind,-50.02,0.02,-45.51,0.0,-2.73,-0.0,-1.12,-0.15,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
2.0,39.0,Front-left,9.82,40.18,5.31,38.57,-5.21,-0.4,-1.42,-0.71,1.02,96.75,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,41.0,Front-right,27.82,-3.95,23.31,-2.34,3.23,0.48,-3.39,-0.54,inf,4.84,Obstacle is moving away longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,42.0,Front-left,7.42,49.42,2.92,47.81,-4.79,-1.8,-1.36,-0.8,0.61,26.53,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,44.0,Behind,-67.88,0.03,-63.37,0.0,1.38,-0.0,0.53,0.07,45.81,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
2.0,45.0,Front-right,19.03,-20.7,14.52,-19.09,-5.63,8.38,-2.36,4.23,2.58,2.28,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,48.0,Front-right,17.9,-41.22,13.39,-39.61,-4.16,10.11,-1.65,2.78,3.22,3.92,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
2.0,50.0,Front-left,80.0,2.3,75.49,0.69,-5.37,-0.0,-1.67,-0.22,14.06,268.91,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,51.0,Left,3.16,63.96,0.0,62.35,-3.79,-5.14,-1.23,-1.08,0.0,12.14,Exact longitudinal alignment or co. Obstacle is driving toward the ego car laterally from the left.
2.0,53.0,Behind,-96.85,0.04,-92.34,0.0,6.49,-0.0,0.81,0.1,14.22,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
3.0,0.0,Front,26.96,-0.48,22.45,0.0,-5.05,-0.0,-1.72,-0.22,4.45,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
3.0,2.0,Front-left,16.46,11.61,11.95,10.0,-5.44,8.6,-1.34,-2.34,2.2,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
