ego_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id,goal_lanelet_id,time_horizon
57,0,10.6285,-16.2978,2.007996918772477,6.3229,-1.3525,2352,5288,100.0
57,1,10.3564,-15.7156,2.007996918772477,5.9697,-2.1457,2352,5288,100.0
57,2,10.0956,-15.1576,2.008011975692688,5.4784,-2.7326,2352,5288,100.0
57,3,9.8529,-14.6381,2.007844920723866,5.1834,-1.5759,2349,5288,100.0
57,4,9.6272,-14.1548,2.007695305751402,4.8512,-1.7382,2349,5288,100.0
57,5,9.4148,-13.6999,2.007628052024403,4.4913,-1.8532,2349,5288,100.0
57,6,9.2171,-13.2765,2.007643269666089,4.2633,-1.3362,2349,5288,100.0
57,7,9.0316,-12.8792,2.00761637720952,3.9634,-1.647,2349,5288,100.0
57,8,8.8573,-12.5061,2.0078342485487743,3.6111,-1.8591,2349,5288,100.0
57,9,8.6967,-12.1627,2.008252145266292,3.3982,-1.1913,2349,5288,100.0
57,10,8.5479,-11.8449,2.008697458993624,3.138,-1.4025,2349,5288,100.0
57,11,8.4092,-11.5486,2.0086053008826195,2.8405,-1.5633,2349,5288,100.0
57,12,8.2822,-11.2777,2.0091801733425623,2.6819,-0.8042,2349,5288,100.0
57,13,8.1649,-11.0277,2.0095017579922394,2.5192,-0.8216,2349,5288,100.0
57,14,8.0544,-10.7923,2.009676938479963,2.3536,-0.8338,2349,5288,100.0
57,15,7.9509,-10.5717,2.0094812499119827,2.2474,-0.6385,2349,5288,100.0
57,16,7.8528,-10.3632,2.010569614343611,2.1007,-0.8215,2349,5288,100.0
57,17,7.7601,-10.1662,2.010614463319137,1.9214,-0.9658,2349,5288,100.0
57,18,7.6743,-9.9841,2.0111148356475197,1.7968,-0.7521,2349,5288,100.0
57,19,7.595,-9.8154,2.0102106196559517,1.6247,-0.9587,2349,5288,100.0
57,20,7.5221,-9.6602,2.0099249787659463,1.4175,-1.1027,2349,5288,100.0
57,21,7.4574,-9.5223,2.009485830000078,1.2934,-0.6838,2349,5288,100.0
57,22,7.3997,-9.3994,2.009737267297436,1.1464,-0.7797,2349,5288,100.0
57,23,7.3477,-9.2889,2.0106389096106363,0.9839,-0.8392,2349,5288,100.0
57,24,7.3024,-9.1924,2.0096902854007,0.8917,-0.499,2349,5288,100.0
57,25,7.2624,-9.1074,2.0106389096106287,0.7859,-0.5548,2349,5288,100.0
