obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
20073,1,-3.1308,16.5243,-1.9262,0.0,0.0,2039
20075,1,2.8287,-16.4925,1.1892,0.0,0.0,1531
20076,1,21.2183,-5.8669,2.7981,0.0,0.0,2267
20078,1,-0.4183,-15.188,1.1892,0.0,0.0,1530
20081,1,-2.9649,-21.5353,1.1892,0.0,0.0,1530
20082,1,0.3853,-22.583,1.1892,0.0,0.0,1531
20084,1,-5.5047,-27.8655,1.1892,0.0,0.0,1530
20085,1,27.851,-8.0375,2.8417,0.0,0.0,2267
20086,1,0.1723,15.3676,-1.9262,0.0,0.0,2038
20087,1,34.5205,-10.0996,2.8417,0.0,0.0,2267
20088,1,1.2923,28.4397,-1.9262,0.0,0.0,2039
20089,1,-4.6929,-35.2412,1.1892,0.0,0.0,1531
20090,1,-2.1787,-28.9743,1.1892,0.0,0.0,1531
20091,1,4.3507,36.6785,-1.9262,0.0,0.0,2039
20093,1,41.1813,-12.1859,2.8053,0.0,0.0,2267
20094,1,53.1389,-16.8342,2.6764,0.0,0.0,2267
20095,1,-7.9605,-33.9864,1.1892,0.0,0.0,1530
20096,1,2.5282,21.7137,-1.9262,0.0,0.0,2038
20099,1,60.9662,-21.1279,2.6045,0.0,0.0,2267
20100,1,6.7197,43.0602,-1.9262,0.0,0.0,2039
20101,1,-10.4921,-40.3488,1.1973,0.0,0.0,1530
20102,1,7.2583,34.4556,-1.9262,0.0,0.0,2038
20103,1,4.8919,28.081,-1.9262,0.0,0.0,2038
20105,1,-7.106,-41.3004,1.1973,0.0,0.0,1531
20108,1,66.6097,-25.2107,2.411,0.0,0.0,2267
20109,1,-11.631,-52.8485,1.1973,0.0,0.0,1531
20110,1,9.1125,49.506,-1.9262,0.0,0.0,2039
20112,1,11.4927,55.9177,-1.9262,0.0,0.0,2039
20113,1,73.1315,-36.0641,1.8073,0.0,0.0,2267
20114,1,-14.8127,-61.0047,1.2179,0.0,0.0,1531
20115,1,-12.9761,-46.688,1.1973,0.0,0.0,1530
20117,1,74.5598,-44.8625,1.6393,0.0,0.0,2267
20118,1,75.0229,-51.8253,1.6052,0.0,0.0,2267
20119,1,-15.4143,-52.9105,1.1973,0.0,0.0,1530
20120,1,75.2243,-58.8006,1.5517,0.0,0.0,2267
20121,1,13.8886,62.3721,-1.9262,0.0,0.0,2039
20122,1,75.037,-65.7732,1.4988,0.0,0.0,2267
20123,1,74.4934,-72.7276,1.4482,0.0,0.0,2267
20124,1,73.6405,-79.6539,1.4482,0.0,0.0,2267
20125,1,9.5697,40.6821,-1.9262,0.0,0.0,2038
20127,1,-17.1503,-67.352,1.2179,0.0,0.0,1531
20128,1,16.2298,68.6787,-1.9262,0.0,0.0,2039
20129,1,72.5058,-86.541,1.4052,0.0,0.0,2267
