timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,20073.0,Front,91.0,-0.0,86.49,0.0,-11.92,-0.0,-1.98,-5.34,7.25,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
1.0,20075.0,Front-left,119.88,17.07,115.37,15.46,-11.92,0.0,-1.98,-5.34,9.68,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20076.0,Front-left,103.52,30.61,99.01,29.0,-11.92,-0.0,-1.98,-5.34,8.3,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20078.0,Front-left,119.79,13.57,115.28,11.96,-11.92,0.0,-1.98,-5.34,9.67,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20081.0,Front-left,126.63,13.39,122.12,11.78,-11.92,0.0,-1.98,-5.34,10.24,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20082.0,Front-left,126.44,16.9,121.93,15.29,-11.92,0.0,-1.98,-5.34,10.23,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20084.0,Front-left,133.44,13.22,128.94,11.61,-11.92,0.0,-1.98,-5.34,10.81,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20085.0,Front-left,103.25,37.59,98.74,35.98,-11.92,-0.0,-1.98,-5.34,8.28,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20086.0,Front-left,90.94,3.49,86.43,1.88,-11.92,-0.0,-1.98,-5.34,7.25,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20087.0,Front-left,102.86,44.56,98.35,42.95,-11.92,-0.0,-1.98,-5.34,8.25,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20088.0,Front,78.29,-0.0,73.78,0.0,-11.92,-0.0,-1.98,-5.34,6.19,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
1.0,20089.0,Front-left,140.08,16.54,135.57,14.93,-11.92,0.0,-1.98,-5.34,11.37,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20090.0,Front-left,133.33,16.72,128.82,15.11,-11.92,0.0,-1.98,-5.34,10.8,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20091.0,Front,69.5,-0.0,65.0,0.0,-11.92,-0.0,-1.98,-5.34,5.45,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
1.0,20093.0,Front-left,102.5,51.53,97.99,49.92,-11.92,-0.0,-1.98,-5.34,8.22,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20094.0,Front-left,102.7,64.36,98.19,62.75,-11.92,-0.0,-1.98,-5.34,8.24,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20095.0,Front-left,140.04,13.04,135.53,11.43,-11.92,0.0,-1.98,-5.34,11.37,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
1.0,20096.0,Front-left,84.17,3.49,79.66,1.88,-11.92,-0.0,-1.98,-5.34,6.68,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
