obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
30749,1,-53.9045,-204.5539,-2.352,0.0,0.0,3370
30750,1,-88.9348,-196.6796,-0.7908,5.7893,-4.0122,1171
30751,1,-57.085,-182.9173,-2.3531,11.9496,-5.3219,3368
30752,1,-31.1537,-181.6331,-2.3523,8.8818,-2.8332,779
30753,1,-46.6666,-197.2646,-2.3539,2.2784,-2.4569,3363
30754,1,-89.0096,-191.6275,-0.7916,8.415,-4.4816,3652
30755,1,-108.758,-166.6837,-0.7905,13.942,-3.7446,1164
30756,1,-19.1116,-169.4993,-2.3524,9.2006,-2.4263,779
30757,1,-99.3671,-171.2042,-0.7907,13.7582,-0.5639,1163
30758,1,-88.9647,-186.6939,-0.7908,10.0886,-4.4496,3651
30759,1,-8.377,-158.6865,-2.3525,8.6515,-0.6029,779
30760,1,-32.0033,-162.6234,-2.3523,12.0995,0.6731,783
30761,1,-0.1362,-150.3862,-2.3525,6.5715,1.3788,779
30762,1,-125.2932,-149.9756,-0.7907,12.1581,-0.8798,1164
30763,1,-118.7416,-166.5511,-0.7907,13.6661,0.3703,1166
30764,1,-137.7374,-142.3747,-0.7907,14.3317,-0.1564,1165
30766,1,-121.2922,-149.0429,-0.7907,12.6859,-0.2226,1163
30749,2,-53.9045,-204.5539,-2.352,0.0,0.0,3370
30750,2,-88.5487,-197.0699,-0.7907,5.3881,-4.0122,1171
30751,2,-57.8998,-183.7378,-2.3526,11.4174,-5.3219,3368
30752,2,-31.7637,-182.2477,-2.3523,8.5947,-2.627,779
30753,2,-46.8191,-197.4177,-2.3539,2.1307,-1.3451,3363
30754,2,-88.4429,-192.2016,-0.7918,7.9668,-4.4816,3652
30755,2,-107.7926,-167.659,-0.7905,13.6422,-3.2461,1164
30756,2,-19.7488,-170.1413,-2.3524,8.9725,-2.9307,779
30757,2,-98.3995,-172.1824,-0.7908,13.7536,-0.2737,1163
30758,2,-88.2779,-187.3883,-0.7908,9.6533,-4.4496,3651
30759,2,-8.9784,-159.2923,-2.3525,8.5133,-0.9248,779
30760,2,-32.8539,-163.4805,-2.3523,12.0775,0.1072,783
30761,2,-0.6088,-150.8622,-2.3525,6.7452,1.4975,779
30762,2,-124.4358,-150.8422,-0.7907,12.1656,-1.0251,1164
30763,2,-117.7791,-167.5241,-0.7907,13.6936,0.2778,1166
30764,2,-136.7311,-143.3918,-0.7907,14.3136,0.2047,1165
30766,2,-120.4002,-149.9444,-0.7907,12.668,-0.5634,1163
30749,3,-53.9045,-204.5539,-2.352,0.0,0.0,3370
30750,3,-88.1908,-197.4316,-0.7907,4.9869,-4.0122,1171
30751,3,-58.6754,-184.5194,-2.3523,10.8853,-5.3219,3368
30752,3,-32.3544,-182.8429,-2.3523,8.3053,-3.2248,779
30753,3,-46.9633,-197.5625,-2.3539,2.0312,-0.629,3363
30754,3,-87.9067,-192.7442,-0.7914,7.5186,-4.4816,3652
30755,3,-106.8529,-168.6083,-0.7905,13.2729,-3.4072,1164
30756,3,-20.373,-170.7703,-2.3524,8.8076,-2.1908,779
30757,3,-97.4326,-173.161,-0.7913,13.7764,-0.0726,1163
30758,3,-87.6229,-188.0507,-0.791,9.2083,-4.4496,3651
30759,3,-9.5728,-159.891,-2.3525,8.4473,0.4201,779
30760,3,-33.7047,-164.3378,-2.3523,12.0995,0.892,783
30761,3,-1.0949,-151.3518,-2.3525,6.9404,1.6172,779
30762,3,-123.58,-151.7072,-0.7907,12.1828,0.5848,1164
30763,3,-116.8176,-168.4959,-0.7907,13.6705,-0.0223,1166
30764,3,-135.725,-144.4086,-0.7907,14.2982,-0.298,1165
30766,3,-119.5086,-150.8456,-0.7907,12.6563,-0.8156,1163
30749,4,-53.9045,-204.5539,-2.352,0.0,0.0,3370
30750,4,-87.8612,-197.7648,-0.7906,4.5857,-4.0122,1171
30751,4,-59.4135,-185.2636,-2.352,10.3547,-5.3219,3368
30752,4,-32.9252,-183.418,-2.3523,8.0338,-2.8034,779
30753,4,-47.098,-197.6978,-2.3539,1.8865,-1.0105,3363
30754,4,-87.4015,-193.255,-0.7908,7.0705,-4.4816,1170
30755,4,-105.9375,-169.5331,-0.7905,12.9246,-3.5118,1164
30756,4,-20.9839,-171.3858,-2.3524,8.6265,-1.8481,779
30757,4,-96.4671,-174.1388,-0.7917,13.7527,-0.4126,1163
30758,4,-87.0001,-188.6809,-0.7913,8.7633,-4.4496,3651
30759,4,-10.1615,-160.4839,-2.3525,8.3434,-0.5174,779
30760,4,-34.5552,-165.1947,-2.3523,12.0699,-0.1322,783
30761,4,-1.5841,-151.8445,-2.3525,6.9268,-0.6649,779
30762,4,-122.7237,-152.5727,-0.7907,12.1939,0.7376,1164
30763,4,-115.8599,-169.4639,-0.7907,13.5447,-2.8982,1166
30764,4,-134.7196,-145.4248,-0.7907,14.2957,-0.021,1165
30766,4,-118.6177,-151.746,-0.7907,12.6679,0.0692,1163
30749,5,-53.9045,-204.5539,-2.352,0.0,0.0,3370
30750,5,-87.5597,-198.0694,-0.7906,4.1845,-4.0122,1171
30751,5,-60.1143,-185.9701,-2.3521,9.8225,-5.3219,3368
30752,5,-33.4746,-183.9716,-2.3523,7.7363,-2.5521,779
30753,5,-47.2215,-197.822,-2.3539,1.7263,-1.1306,3363
30754,5,-86.9274,-193.7339,-0.7904,6.6246,-4.4816,1170
30755,5,-105.0451,-170.4348,-0.7905,12.6141,-2.9063,1164
30756,5,-21.5799,-171.9863,-2.3524,8.3891,-2.8752,779
30757,5,-95.4993,-175.1179,-0.7912,13.7629,-0.2483,3650
30758,5,-86.4087,-189.2798,-0.7916,8.3184,-4.4496,3651
30759,5,-10.7431,-161.0698,-2.3525,8.2394,-0.6759,779
30760,5,-35.4063,-166.0524,-2.3523,12.0707,-0.4973,783
30761,5,-2.0734,-152.3373,-2.3525,6.9336,-0.4625,779
30762,5,-121.8661,-153.4395,-0.7907,12.198,0.1673,1164
30763,5,-114.9249,-170.409,-0.7907,13.2271,-2.7281,1166
30764,5,-133.713,-146.4422,-0.7907,14.3343,0.8267,1165
30766,5,-117.7261,-152.6472,-0.7907,12.6634,-0.519,1163
30749,6,-53.9045,-204.5539,-2.352,0.0,0.0,3370
30750,6,-87.2865,-198.3455,-0.7906,3.7832,-4.0122,1171
30751,6,-60.779,-186.6387,-2.3532,9.2903,-5.3219,798
30752,6,-34.0059,-184.507,-2.3523,7.4826,-2.4223,779
30753,6,-47.3376,-197.9385,-2.3539,1.6291,-0.7213,3363
30754,6,-86.4844,-194.1812,-0.7901,6.185,-4.3093,1170
30755,6,-104.1781,-171.3106,-0.7905,12.2508,-2.9166,1164
30756,6,-22.1623,-172.5731,-2.3524,8.2139,-2.1792,779
30757,6,-94.5317,-176.096,-0.7907,13.7522,-0.2443,3650
30758,6,-85.8487,-189.8471,-0.7918,7.8734,-4.4496,3651
30759,6,-11.3162,-161.647,-2.3525,8.1219,-0.4792,779
30760,6,-36.2582,-166.9108,-2.3523,12.0976,0.1943,783
30761,6,-2.5604,-152.8278,-2.3525,6.8946,-0.7309,779
30762,6,-121.0081,-154.3066,-0.7907,12.2059,0.2708,1164
30763,6,-114.0106,-171.3332,-0.7907,12.9258,-2.9858,1166
30764,6,-132.7046,-147.4615,-0.7907,14.3403,0.0456,1165
30766,6,-116.8345,-153.5484,-0.7907,12.6744,-0.1097,1163
30749,7,-53.9045,-204.5539,-2.352,0.0,0.0,3370
30750,7,-87.0415,-198.5931,-0.7906,3.382,-4.0122,1171
30751,7,-61.4062,-187.2694,-2.3534,8.7581,-5.3219,798
30752,7,-34.5183,-185.0233,-2.3523,7.203,-2.863,779
30753,7,-47.4454,-198.0468,-2.3539,1.5169,-0.5266,3363
30754,7,-86.0725,-194.5968,-0.7899,5.7369,-4.4816,1170
30755,7,-103.3338,-172.1636,-0.7905,11.9132,-3.5718,1164
30756,7,-22.733,-173.1482,-2.3524,8.0482,-2.1725,779
30757,7,-93.5618,-177.0757,-0.7904,13.7945,0.3661,3650
30758,7,-85.3186,-190.3835,-0.7913,7.4285,-4.4496,3651
30759,7,-11.8816,-162.2165,-2.3525,7.9997,-1.084,779
30760,7,-37.108,-167.7671,-2.3523,12.0628,-0.0402,783
30761,7,-3.0427,-153.3137,-2.3525,6.8322,-0.5744,779
30762,7,-120.1506,-155.1733,-0.7907,12.1762,-0.6279,1164
30763,7,-113.1184,-172.235,-0.7907,12.6055,-3.2228,1166
30764,7,-131.6985,-148.4783,-0.7907,14.2884,-0.6809,1165
30766,7,-115.9434,-154.4491,-0.7907,12.686,0.6436,1163
30749,8,-53.9045,-204.5539,-2.352,0.0,0.0,3370
30750,8,-86.8247,-198.8121,-0.7906,2.9808,-4.0122,1171
30751,8,-61.9956,-187.8625,-2.353,8.2259,-5.3219,798
30752,8,-35.01,-185.5188,-2.3523,6.9075,-2.9431,779
30753,8,-47.5454,-198.1473,-2.3539,1.3862,-1.3463,3363
30754,8,-85.6922,-194.9805,-0.7898,5.2887,-4.4816,1170
30755,8,-102.5135,-172.9923,-0.7905,11.5827,-3.1359,1164
30756,8,-23.2885,-173.708,-2.3524,7.8526,-1.3938,779
30757,8,-92.5937,-178.0533,-0.7902,13.7506,-0.2834,3650
30758,8,-84.8194,-190.8881,-0.7907,6.9835,-4.4496,1169
30759,8,-12.4397,-162.7786,-2.3525,7.8819,-1.5893,779
30760,8,-37.9602,-168.6257,-2.3523,12.0913,-0.2031,783
30761,8,-3.5244,-153.7989,-2.3525,6.8322,-0.2207,779
30762,8,-119.2943,-156.0386,-0.7906,12.1766,0.0905,1164
30763,8,-112.2475,-173.1153,-0.7907,12.3049,-3.1424,1166
30764,8,-130.691,-149.4967,-0.7907,14.3301,0.1403,1165
30766,8,-115.0511,-155.351,-0.7907,12.6739,-0.5295,1163
30749,9,-53.9045,-204.5539,-2.352,0.0,0.0,3370
30750,9,-86.6361,-199.0027,-0.7905,2.5805,-4.0122,1171
30751,9,-62.5474,-188.418,-2.3528,7.6937,-5.3219,798
30752,9,-35.4811,-185.9935,-2.3523,6.6281,-2.41,779
30753,9,-47.6373,-198.2397,-2.3538,1.2754,-1.114,3363
30754,9,-85.3434,-195.3324,-0.7897,4.8405,-4.4816,1170
30755,9,-101.7178,-173.7962,-0.7905,11.2459,-2.5864,1164
