timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
1.0,30784.0,Front,20.97,0.0,16.47,0.0,0.03,-0.0,-1.45,1.46,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
1.0,30785.0,Front-left,57.4,70.13,52.89,68.52,-11.99,-3.04,-1.38,1.86,4.41,22.53,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,30786.0,Front-left,36.22,3.5,31.71,1.89,-8.87,-0.0,2.41,-2.43,3.58,826.26,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
1.0,30787.0,Front-left,32.16,7.0,27.65,5.39,-4.58,0.0,2.24,-2.26,6.04,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
1.0,30789.0,Behind,-16.09,-0.0,-11.58,0.0,-1.07,0.0,-2.92,2.95,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
2.0,30784.0,Front,20.96,0.01,16.45,0.0,0.58,-0.0,-2.45,2.47,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
2.0,30785.0,Front-left,56.17,69.83,51.66,68.22,-11.45,-3.06,-1.54,2.77,4.51,22.28,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,30786.0,Front-left,35.27,3.51,30.77,1.9,-8.9,-0.0,1.87,-1.89,3.46,1384.61,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
2.0,30787.0,Front-left,31.64,7.01,27.13,5.4,-4.59,0.0,1.71,-1.72,5.91,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
2.0,30789.0,Behind,-16.21,-0.0,-11.7,0.0,-0.39,0.0,-3.2,3.22,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
3.0,30784.0,Front,20.99,0.01,16.48,0.0,0.94,-0.0,-1.39,1.4,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
3.0,30785.0,Front-left,54.99,69.53,50.48,67.92,-11.08,-3.07,-1.01,2.01,4.55,22.15,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,30786.0,Front-left,34.31,3.51,29.81,1.9,-9.09,-0.0,2.51,-2.54,3.28,1903.35,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
3.0,30787.0,Front-left,31.11,7.01,26.6,5.4,-4.76,0.0,2.35,-2.37,5.59,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
3.0,30789.0,Behind,-16.26,-0.0,-11.75,0.0,0.15,0.0,-2.31,2.33,77.82,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
4.0,30784.0,Front,21.06,0.01,16.55,0.0,1.4,0.01,-2.05,2.07,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
4.0,30785.0,Front-left,53.85,69.23,49.34,67.62,-10.61,-3.06,-1.58,2.1,4.65,22.07,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
4.0,30786.0,Front-left,33.34,3.51,28.83,1.9,-9.18,-0.0,2.19,-2.21,3.14,4004.14,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
4.0,30787.0,Front-left,30.57,7.01,26.07,5.4,-4.83,0.0,2.03,-2.04,5.39,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
4.0,30789.0,Behind,-16.25,-0.01,-11.75,0.0,0.73,0.01,-2.29,2.31,16.1,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
5.0,30784.0,Front,21.16,0.01,16.65,0.0,1.68,0.01,1.94,-1.95,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
5.0,30785.0,Front-left,52.77,68.93,48.26,67.32,-10.05,-3.06,-1.29,2.82,4.8,22.01,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
5.0,30786.0,Front-left,32.36,3.51,27.85,1.9,-9.2,-0.0,1.97,-1.99,3.03,6142.64,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
5.0,30787.0,Front-left,30.03,7.01,25.52,5.4,-4.83,0.0,1.81,-1.82,5.29,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
5.0,30789.0,Behind,-16.21,-0.01,-11.7,0.0,1.31,0.0,-2.54,2.56,8.94,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
6.0,30784.0,Front,21.26,0.01,16.75,0.0,1.37,0.01,3.2,-3.22,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
6.0,30785.0,Front-left,51.74,68.62,47.23,67.01,-9.76,-3.07,-0.66,1.38,4.84,21.85,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
6.0,30786.0,Front-left,31.37,3.51,26.86,1.9,-9.47,-0.0,2.86,-2.89,2.84,11292.73,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
6.0,30787.0,Front-left,29.47,7.01,24.97,5.4,-5.08,0.0,2.84,-2.86,4.91,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
6.0,30789.0,Behind,-16.11,-0.01,-11.6,0.0,1.51,0.01,0.33,-0.33,7.71,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
7.0,30784.0,Front,21.33,0.01,16.83,0.0,1.06,0.0,3.15,-3.17,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
7.0,30785.0,Front-left,50.75,68.32,46.24,66.71,-9.48,-3.05,-0.91,1.09,4.88,21.91,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
7.0,30786.0,Front-left,30.37,3.51,25.87,1.9,-9.48,-0.0,-0.85,0.85,2.73,14127554.11,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
7.0,30787.0,Front-left,28.91,7.01,24.4,5.4,-5.34,0.0,2.86,-2.88,4.57,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
7.0,30789.0,Behind,-15.99,-0.0,-11.49,0.0,1.49,0.0,0.8,-0.81,7.7,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
8.0,30784.0,Front,21.38,0.01,16.87,0.0,0.74,0.0,3.26,-3.29,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
8.0,30785.0,Front-left,49.79,68.01,45.28,66.4,-9.2,-3.02,-1.07,0.85,4.92,22.0,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
8.0,30786.0,Front-left,29.41,3.51,24.9,1.9,-9.2,-0.0,-0.96,0.96,2.71,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
8.0,30787.0,Front-left,28.32,7.01,23.81,5.4,-5.61,0.0,2.84,-2.85,4.24,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
8.0,30789.0,Behind,-15.88,-0.0,-11.37,0.0,1.49,0.0,0.92,-0.93,7.61,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
9.0,30784.0,Front,21.4,0.01,16.89,0.0,0.3,-0.01,3.62,-3.66,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
9.0,30785.0,Front-left,48.86,67.7,44.36,66.09,-9.05,-3.01,-1.36,-0.17,4.9,21.97,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
9.0,30786.0,Front-left,28.48,3.51,23.97,1.9,-9.05,-0.0,-0.59,0.59,2.65,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
9.0,30787.0,Front-left,27.71,7.01,23.2,5.4,-6.01,0.0,3.27,-3.29,3.86,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
9.0,30789.0,Behind,-15.77,-0.0,-11.26,0.0,1.35,0.0,1.75,-1.76,8.32,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
10.0,30784.0,Front,21.37,0.0,16.87,0.0,-0.12,-0.0,3.54,-3.58,138.7,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
10.0,30785.0,Front-left,47.96,67.4,43.45,65.79,-8.87,-3.02,-0.64,0.71,4.9,21.78,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
10.0,30786.0,Front-left,27.57,3.5,23.06,1.89,-8.87,-0.0,-0.67,0.68,2.6,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
10.0,30787.0,Front-left,27.06,7.01,22.55,5.4,-6.37,0.0,3.19,-3.21,3.54,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
10.0,30789.0,Behind,-15.65,0.0,-11.15,0.0,1.3,0.0,1.71,-1.72,8.57,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
11.0,30784.0,Front,21.31,0.0,16.8,0.0,-0.52,-0.0,3.5,-3.52,32.19,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
11.0,30785.0,Front-left,47.06,67.1,42.55,65.49,-8.67,-3.03,-0.62,0.83,4.91,21.62,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
11.0,30786.0,Front-left,26.67,3.5,22.16,1.89,-8.67,-0.0,-0.72,0.73,2.56,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
11.0,30787.0,Front-left,26.37,7.01,21.86,5.4,-6.72,0.0,3.14,-3.16,3.25,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
11.0,30789.0,Behind,-15.55,0.0,-11.04,0.0,1.24,0.0,1.81,-1.82,8.9,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
12.0,30784.0,Front,21.2,0.0,16.69,0.0,-1.0,0.0,3.75,-3.77,16.66,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
12.0,30785.0,Front-left,46.19,66.79,41.68,65.18,-8.55,-3.04,-0.19,0.75,4.87,21.45,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
12.0,30786.0,Front-left,25.79,3.5,21.28,1.89,-8.55,-0.0,-0.47,0.47,2.49,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
12.0,30787.0,Front-left,25.65,7.0,21.14,5.39,-7.15,0.0,3.39,-3.41,2.96,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
12.0,30789.0,Behind,-15.45,0.0,-10.95,0.0,1.12,0.0,0.92,-0.93,9.75,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
13.0,30784.0,Front,21.05,0.0,16.54,0.0,-1.45,0.0,3.67,-3.69,11.37,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
13.0,30785.0,Front-left,45.33,66.48,40.82,64.87,-8.41,-3.04,-0.46,0.65,4.86,21.35,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
13.0,30786.0,Front-left,24.93,3.5,20.42,1.89,-8.41,-0.0,-0.55,0.56,2.43,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
13.0,30787.0,Front-left,24.88,7.0,20.38,5.39,-7.55,0.0,3.31,-3.33,2.7,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
13.0,30789.0,Behind,-15.37,0.0,-10.86,0.0,0.99,-0.0,1.84,-1.85,11.02,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
14.0,30784.0,Front,20.85,0.0,16.34,0.0,-1.89,0.0,3.62,-3.64,8.65,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
14.0,30785.0,Front-left,44.48,66.18,39.97,64.57,-8.24,-3.06,-0.06,1.15,4.85,21.07,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
14.0,30786.0,Front-left,24.08,3.5,19.57,1.89,-8.24,-0.0,-0.6,0.61,2.37,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
14.0,30787.0,Front-left,24.08,7.0,19.57,5.39,-7.93,0.0,3.24,-3.26,2.47,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
14.0,30789.0,Behind,-15.29,0.0,-10.79,0.0,0.92,0.0,1.19,-1.2,11.77,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
15.0,30784.0,Front,20.61,0.0,16.1,0.0,-2.39,0.0,3.82,-3.85,6.74,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
15.0,30785.0,Front-left,43.65,65.87,39.15,64.26,-8.14,-3.03,-0.05,0.74,4.81,21.21,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
15.0,30786.0,Front-left,23.25,3.5,18.74,1.89,-8.14,-0.0,-0.4,0.4,2.3,inf,Obstacle is driving toward the ego car longitudinally. No lateral relative motion.
