obstacle_id,timestep,x_position,y_position,orientation,velocity,acceleration,lanelet_id
30794,1,-478.5976,-261.4171,-2.4705,13.8499,0.8116,40
30795,1,-463.8485,-195.1165,-0.4479,4.7871,-1.4289,367
30797,1,-486.546,-271.8726,-2.5013,15.0386,0.0889,39
30798,1,-428.0612,-215.5394,-2.3972,10.2071,1.5135,1513
30799,1,-451.1875,-201.2005,-0.4479,2.967,-2.4954,367
30800,1,-441.2294,-205.9857,-0.4479,0.1903,-0.187,367
30801,1,-409.5835,-201.3093,-2.2708,0.628,0.1591,705
30802,1,-434.3043,-209.3134,-0.4479,0.0,0.0,367
30803,1,-500.3864,-177.5597,-0.4479,9.2267,-0.2069,367
30804,1,-411.6138,-198.2925,-2.2701,8.4523,-0.0322,706
30805,1,-400.0437,-189.7048,-2.2268,5.0402,-2.1816,705
30806,1,-402.555,-187.2264,-2.223,7.7531,0.1643,706
30807,1,-391.0628,-176.8219,-2.1503,6.6001,-1.4983,705
30809,1,-473.6213,-190.4204,-0.4479,3.9463,-0.6052,367
30810,1,-385.8767,-168.8993,-2.1503,2.8501,1.5549,-1
30794,2,-479.6825,-262.2757,-2.472,13.861,0.9794,40
30795,2,-463.4268,-195.3192,-0.4479,4.6357,-1.7194,367
30797,2,-487.7634,-272.7536,-2.5151,15.0414,0.3484,39
30798,2,-428.8103,-216.2586,-2.3765,10.3847,1.6082,1513
30799,2,-450.933,-201.3228,-0.4479,2.7901,-1.3762,367
30800,2,-441.2137,-205.9932,-0.4479,0.1691,-0.2266,367
30801,2,-409.626,-201.3598,-2.2708,0.674,0.5702,705
30802,2,-434.3043,-209.3134,-0.4479,0.0,0.0,367
30803,2,-499.5556,-177.9588,-0.4479,9.2334,0.6616,367
30804,2,-412.1595,-198.9409,-2.2703,8.4843,0.4096,706
30805,2,-400.3409,-190.0887,-2.2294,4.8036,-2.0942,705
30806,2,-403.0298,-187.842,-2.2277,7.7818,0.2633,706
30807,2,-391.4186,-177.3655,-2.1503,6.435,-2.4671,705
30809,2,-473.2684,-190.59,-0.4479,3.9099,-0.2521,367
30810,2,-386.0394,-169.1478,-2.1503,3.0144,1.7501,-1
30794,3,-480.7726,-263.1224,-2.4812,13.8072,0.0625,40
30795,3,-463.0179,-195.5157,-0.4479,4.5074,-1.158,367
30797,3,-488.9875,-273.6234,-2.5238,15.0161,-0.0918,39
30798,3,-429.5555,-216.9953,-2.3619,10.5372,1.959,1513
30799,3,-450.6954,-201.437,-0.4479,2.5852,-2.008,367
30800,3,-441.1992,-206.0002,-0.4479,0.1564,-0.1515,367
30801,3,-409.6725,-201.415,-2.2708,0.7427,0.8483,705
30802,3,-434.3043,-209.3134,-0.4479,0.0,0.0,367
30803,3,-498.7255,-178.3577,-0.4479,9.2338,0.9715,367
30804,3,-412.7057,-199.5899,-2.2704,8.4793,-0.0987,706
